population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,T,policy,reducer,relative_t_mAP_retention,t2_t_mAP,t_mAP,reference_count,master_count
development_common_h5_canonical,M3-BASE-CONT,2c040c9748ad07968a613995feb89bc49f62362bbab581f33d8b60d2d587e23f,45,45,2,commit0,mean,1.0,0.49634355306625366,0.49634355306625366,8,47
development_common_h5_canonical,M3-BASE-CONT,2c040c9748ad07968a613995feb89bc49f62362bbab581f33d8b60d2d587e23f,45,45,3,commit0,mean,0.8289475185303983,0.49634355306625366,0.41144275665283203,8,47
development_common_h5_canonical,M3-BASE-CONT,2c040c9748ad07968a613995feb89bc49f62362bbab581f33d8b60d2d587e23f,45,45,4,commit0,mean,0.7354659027822227,0.49634355306625366,0.3650437593460083,8,47
development_common_h5_canonical,M3-BASE-CONT,2c040c9748ad07968a613995feb89bc49f62362bbab581f33d8b60d2d587e23f,45,45,5,commit0,mean,0.6868299944411507,0.49634355306625366,0.340903639793396,8,47
development_common_h5_canonical,M3-BASE-CONT,2c040c9748ad07968a613995feb89bc49f62362bbab581f33d8b60d2d587e23f,45,45,2,lag1,mean,1.0,0.52629554271698,0.52629554271698,8,47
development_common_h5_canonical,M3-BASE-CONT,2c040c9748ad07968a613995feb89bc49f62362bbab581f33d8b60d2d587e23f,45,45,3,lag1,mean,0.8283423222383721,0.52629554271698,0.4359528720378876,8,47
development_common_h5_canonical,M3-BASE-CONT,2c040c9748ad07968a613995feb89bc49f62362bbab581f33d8b60d2d587e23f,45,45,4,lag1,mean,0.7366572462670052,0.52629554271698,0.3876994252204895,8,47
development_common_h5_canonical,M3-BASE-CONT,2c040c9748ad07968a613995feb89bc49f62362bbab581f33d8b60d2d587e23f,45,45,5,lag1,mean,0.6917467536541705,0.52629554271698,0.36406323313713074,8,47
