variant,completed_epoch,seed,t_mAP,t_mAP50,t_mAP25,overall_mAP,stage1_mAP,stage2_mAP,SpatialStageMean,validation_sequence_count,checkpoint_sha256,elapsed_seconds
R0,60,45,0.1687433272600174,0.3188643753528595,0.5234301090240479,0.22914236783981323,0.25095993280410767,0.2720858156681061,0.2615228742361069,154,566fba0538e216b0a29c04d1ac1b68ab52fdc9c565b4db87c1b0f041cb37a20a,313.0054015154019
R0,60,46,0.1691739857196808,0.32671213150024414,0.5105184316635132,0.23033304512500763,0.2595498263835907,0.2684483826160431,0.2639991044998169,154,566fba0538e216b0a29c04d1ac1b68ab52fdc9c565b4db87c1b0f041cb37a20a,286.8756032041274
R0,60,47,0.17157211899757385,0.3152846097946167,0.5028178691864014,0.2309769093990326,0.2657068371772766,0.2660673260688782,0.2658870816230774,154,566fba0538e216b0a29c04d1ac1b68ab52fdc9c565b4db87c1b0f041cb37a20a,292.97831358527765
R1,60,45,0.21142159402370453,0.37827688455581665,0.5882663726806641,0.2864089608192444,0.3194465935230255,0.31889721751213074,0.3191719055175781,154,ebdd9663a276618a8333d74b78ea7b0dbbaac0eaa61a260b9ea72de2a2f30c9d,298.8653336451389
R1,60,46,0.19306454062461853,0.3259689211845398,0.5770546793937683,0.2756181061267853,0.3056761622428894,0.3097415864467621,0.30770887434482574,154,ebdd9663a276618a8333d74b78ea7b0dbbaac0eaa61a260b9ea72de2a2f30c9d,292.6663671080023
R1,60,47,0.20296388864517212,0.3670845031738281,0.5691744685173035,0.28481584787368774,0.3152131140232086,0.3181990087032318,0.3167060613632202,154,ebdd9663a276618a8333d74b78ea7b0dbbaac0eaa61a260b9ea72de2a2f30c9d,294.7792236478999
R0,90,45,0.20919185876846313,0.38415274024009705,0.5623044967651367,0.2849028408527374,0.33000263571739197,0.340614378452301,0.3353085070848465,154,3b2c286b02db2128d0caa9fef0a8eef67c097cf88fec5e191f23b1f7ab5cfd1b,283.74260433996096
R0,90,46,0.21554186940193176,0.3781210482120514,0.5725956559181213,0.28073596954345703,0.33582794666290283,0.33568766713142395,0.3357578068971634,154,3b2c286b02db2128d0caa9fef0a8eef67c097cf88fec5e191f23b1f7ab5cfd1b,296.47432666271925
R0,90,47,0.20434793829917908,0.3706251084804535,0.5657979249954224,0.27554500102996826,0.3304276466369629,0.3308764398097992,0.33065204322338104,154,3b2c286b02db2128d0caa9fef0a8eef67c097cf88fec5e191f23b1f7ab5cfd1b,297.70700040413067
R1,90,45,0.2193296253681183,0.40719151496887207,0.6112909317016602,0.30882006883621216,0.3477556109428406,0.3493872284889221,0.34857141971588135,154,cb41ff7c11c9df7008759ea62268552fc4207deb037e34f21dae66fea072882b,273.58249200508
R1,90,46,0.22962237894535065,0.4219166338443756,0.6167446970939636,0.3181588351726532,0.35395264625549316,0.35939931869506836,0.35667598247528076,154,cb41ff7c11c9df7008759ea62268552fc4207deb037e34f21dae66fea072882b,277.13302248809487
R1,90,47,0.22842440009117126,0.4059608280658722,0.5971708297729492,0.31108036637306213,0.35267728567123413,0.35090017318725586,0.351788729429245,154,cb41ff7c11c9df7008759ea62268552fc4207deb037e34f21dae66fea072882b,276.0740352529101
