variant,completed_epoch,optimizer_step,train_log_step,stage1_mAP,stage2_mAP,overall_mAP,t_mAP,t_mAP50,t_mAP25,SpatialStageMean,candidate_id,config_sha256,variant_authorization_sha256,metrics_csv_sha256
R0,15,990,989,0.04156607761979103,0.04052501916885376,0.03691517189145088,0.02617695927619934,0.05639054998755455,0.14885179698467255,0.041045548394322395,b73af784d4863a6654f4610136636cf4ef5299576d33cf16efbd67948c22b0be,ac669303b5262cefb47d69ce07f85e713075e68745395dad003a64c40f333a30,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,054e21d70bebd034a5284bd8918cf597a75ed41236462597512eccd59bca5251
R0,30,1980,1979,0.15175876021385193,0.153972327709198,0.13983069360256195,0.10093966871500015,0.1980993151664734,0.3765886425971985,0.15286554396152496,b73af784d4863a6654f4610136636cf4ef5299576d33cf16efbd67948c22b0be,ac669303b5262cefb47d69ce07f85e713075e68745395dad003a64c40f333a30,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,054e21d70bebd034a5284bd8918cf597a75ed41236462597512eccd59bca5251
R0,45,2970,2969,0.22303982079029083,0.22853600978851318,0.20129919052124023,0.1436142921447754,0.29234471917152405,0.5334352254867554,0.225787915289402,b73af784d4863a6654f4610136636cf4ef5299576d33cf16efbd67948c22b0be,ac669303b5262cefb47d69ce07f85e713075e68745395dad003a64c40f333a30,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,054e21d70bebd034a5284bd8918cf597a75ed41236462597512eccd59bca5251
R0,60,3960,3959,0.25850388407707214,0.2724420130252838,0.2315463125705719,0.17235897481441498,0.3142484128475189,0.4999069571495056,0.265472948551178,b73af784d4863a6654f4610136636cf4ef5299576d33cf16efbd67948c22b0be,ac669303b5262cefb47d69ce07f85e713075e68745395dad003a64c40f333a30,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,054e21d70bebd034a5284bd8918cf597a75ed41236462597512eccd59bca5251
R0,75,4950,4949,0.30376026034355164,0.3179571032524109,0.2787690758705139,0.20713549852371216,0.36386799812316895,0.5583746433258057,0.31085868179798126,b73af784d4863a6654f4610136636cf4ef5299576d33cf16efbd67948c22b0be,ac669303b5262cefb47d69ce07f85e713075e68745395dad003a64c40f333a30,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,054e21d70bebd034a5284bd8918cf597a75ed41236462597512eccd59bca5251
R0,90,5940,5939,0.3265317976474762,0.3378191888332367,0.2831179201602936,0.20606645941734314,0.3819690942764282,0.5777957439422607,0.33217549324035645,b73af784d4863a6654f4610136636cf4ef5299576d33cf16efbd67948c22b0be,ac669303b5262cefb47d69ce07f85e713075e68745395dad003a64c40f333a30,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,054e21d70bebd034a5284bd8918cf597a75ed41236462597512eccd59bca5251
R1,15,990,989,0.03422804921865463,0.033359840512275696,0.031515710055828094,0.02240157499909401,0.04423246160149574,0.11670374870300293,0.033793944865465164,510677dd89bca4bfcc3c4ff110a1235dd205afca497383d52e69a07a928ea3dd,3846415b6de3ea12b7b08d39ea20398916dd685c99ce7ad33e42df17d9ac6536,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,7b9d3d020558d37139bde54998aa1d9d09092cac22790ad4ce0c7bb11c2257bd
R1,30,1980,1979,0.1578657627105713,0.17170315980911255,0.14980360865592957,0.1199217438697815,0.21141894161701202,0.36732661724090576,0.16478446125984192,510677dd89bca4bfcc3c4ff110a1235dd205afca497383d52e69a07a928ea3dd,3846415b6de3ea12b7b08d39ea20398916dd685c99ce7ad33e42df17d9ac6536,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,2e66075c16d670a8b3af9ed225c3270bc6ee24a0a66529d8e246777d435c6a66
R1,45,2970,2969,0.27251026034355164,0.2787869870662689,0.25528669357299805,0.185026615858078,0.33119335770606995,0.5442582368850708,0.2756486237049103,510677dd89bca4bfcc3c4ff110a1235dd205afca497383d52e69a07a928ea3dd,3846415b6de3ea12b7b08d39ea20398916dd685c99ce7ad33e42df17d9ac6536,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,f1ecd799304d1cc21f012630c5c0b890ad9dfa950b8f351a7dd2b9ea39b107c9
R1,60,3960,3959,0.3002795875072479,0.31527048349380493,0.27505043148994446,0.20152173936367035,0.3327942192554474,0.5944536924362183,0.30777503550052643,510677dd89bca4bfcc3c4ff110a1235dd205afca497383d52e69a07a928ea3dd,3846415b6de3ea12b7b08d39ea20398916dd685c99ce7ad33e42df17d9ac6536,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,f1ecd799304d1cc21f012630c5c0b890ad9dfa950b8f351a7dd2b9ea39b107c9
R1,75,4950,4949,0.3309144973754883,0.3277986943721771,0.2838006019592285,0.20502188801765442,0.35430824756622314,0.6031306385993958,0.3293565958738327,510677dd89bca4bfcc3c4ff110a1235dd205afca497383d52e69a07a928ea3dd,3846415b6de3ea12b7b08d39ea20398916dd685c99ce7ad33e42df17d9ac6536,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,f1ecd799304d1cc21f012630c5c0b890ad9dfa950b8f351a7dd2b9ea39b107c9
