reducer,candidate,baseline,metric,T,raw_delta,delta_pp,positive,evidence_scope
mean,C2_mean,R1_B4_mean,t_mAP,2,0.005388021469116211,0.5388021469116211,True,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_mAP,3,0.005560442805290222,0.5560442805290222,True,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_mAP,4,-0.004158914089202881,-0.4158914089202881,False,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_mAP,5,-0.007212527096271515,-0.7212527096271515,False,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_mAP50,2,-0.020208150148391724,-2.0208150148391724,False,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_mAP50,3,-0.0018844902515411377,-0.18844902515411377,False,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_mAP50,4,-0.004926308989524841,-0.49263089895248413,False,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_mAP50,5,-0.012132793664932251,-1.213279366493225,False,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_mAP25,2,0.0025730133056640625,0.25730133056640625,True,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_mAP25,3,0.005781888961791992,0.5781888961791992,True,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_mAP25,4,-0.02181646227836609,-2.181646227836609,False,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_mAP25,5,-0.009027287364006042,-0.9027287364006042,False,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_REC,2,0.021568328142166138,2.1568328142166138,True,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_REC,3,0.021448075771331787,2.1448075771331787,True,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_REC,4,0.010206341743469238,1.0206341743469238,True,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,t_REC,5,0.00849461555480957,0.849461555480957,True,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,prefix_overall_mAP,2,0.009566068649291992,0.9566068649291992,True,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,prefix_overall_mAP,3,0.013941943645477295,1.3941943645477295,True,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,prefix_overall_mAP,4,0.009979650378227234,0.9979650378227234,True,protocol_b_43_masters_3_orders
mean,C2_mean,R1_B4_mean,prefix_overall_mAP,5,0.007418036460876465,0.7418036460876465,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_mAP,2,0.010562121868133545,1.0562121868133545,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_mAP,3,0.016919486224651337,1.6919486224651337,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_mAP,4,0.006546489894390106,0.6546489894390106,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_mAP,5,0.002925105392932892,0.2925105392932892,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_mAP50,2,-0.015721142292022705,-1.5721142292022705,False,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_mAP50,3,0.01806671917438507,1.806671917438507,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_mAP50,4,0.009814076125621796,0.9814076125621796,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_mAP50,5,0.003010854125022888,0.3010854125022888,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_mAP25,2,0.00038433074951171875,0.038433074951171875,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_mAP25,3,0.011511743068695068,1.1511743068695068,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_mAP25,4,0.012011796236038208,1.2011796236038208,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_mAP25,5,0.00431746244430542,0.431746244430542,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_REC,2,0.021568328142166138,2.1568328142166138,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_REC,3,0.021448075771331787,2.1448075771331787,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_REC,4,0.010206341743469238,1.0206341743469238,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,t_REC,5,0.00849461555480957,0.849461555480957,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,prefix_overall_mAP,2,0.012051612138748169,1.205161213874817,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,prefix_overall_mAP,3,0.018903329968452454,1.8903329968452454,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,prefix_overall_mAP,4,0.017830610275268555,1.7830610275268555,True,protocol_b_43_masters_3_orders
latest,C2_latest,R1_B4_latest,prefix_overall_mAP,5,0.019193395972251892,1.9193395972251892,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_mAP,2,0.01430577039718628,1.430577039718628,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_mAP,3,0.01622793823480606,1.622793823480606,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_mAP,4,0.008776053786277771,0.8776053786277771,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_mAP,5,0.009697303175926208,0.9697303175926208,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_mAP50,2,-0.007921695709228516,-0.7921695709228516,False,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_mAP50,3,0.018942221999168396,1.8942221999168396,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_mAP50,4,0.016023926436901093,1.6023926436901093,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_mAP50,5,0.013545148074626923,1.3545148074626923,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_mAP25,2,0.014332234859466553,1.4332234859466553,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_mAP25,3,0.023475825786590576,2.3475825786590576,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_mAP25,4,0.008640468120574951,0.8640468120574951,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_mAP25,5,0.018802598118782043,1.8802598118782043,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_REC,2,0.021568328142166138,2.1568328142166138,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_REC,3,0.021448075771331787,2.1448075771331787,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_REC,4,0.010206341743469238,1.0206341743469238,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,t_REC,5,0.00849461555480957,0.849461555480957,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,prefix_overall_mAP,2,0.01771906018257141,1.7719060182571411,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,prefix_overall_mAP,3,0.024120882153511047,2.4120882153511047,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,prefix_overall_mAP,4,0.023649781942367554,2.3649781942367554,True,protocol_b_43_masters_3_orders
max,C2_max,R1_B4_max,prefix_overall_mAP,5,0.024347111582756042,2.4347111582756042,True,protocol_b_43_masters_3_orders
