metric,T,estimand,cluster_count,equal_cluster_mean_delta,bootstrap_resamples,bootstrap_seed,ci_level,bootstrap_ci_lower,bootstrap_ci_upper
t_mAP,2,equal_cluster_effect,6,-0.018331676721572876,1000,45,0.95,-0.0659548361475269,0.021687588964899362
t_mAP,3,equal_cluster_effect,6,-0.021410463998715084,1000,45,0.95,-0.07503829511503379,0.026211996873219807
t_mAP,4,equal_cluster_effect,6,-0.035614700987935066,1000,45,0.95,-0.06968987411819398,-0.0008884193220486458
t_mAP,5,equal_cluster_effect,6,-0.03759277674059073,1000,45,0.95,-0.06859957923491795,-0.005631607258692405
t_mAP50,2,equal_cluster_effect,6,-0.03574908276398977,1000,45,0.95,-0.07637142638365428,0.002045239011446635
t_mAP50,3,equal_cluster_effect,6,-0.03208090364933014,1000,45,0.95,-0.06877095500628154,0.015007577091455443
t_mAP50,4,equal_cluster_effect,6,-0.06489523500204086,1000,45,0.95,-0.0921044188241164,-0.03720598667860031
t_mAP50,5,equal_cluster_effect,6,-0.05809591400126616,1000,45,0.95,-0.10527215005519489,-0.015236672013998032
t_mAP25,2,equal_cluster_effect,6,-0.05550523598988851,1000,45,0.95,-0.094229211161534,-0.018499731769164408
t_mAP25,3,equal_cluster_effect,6,-0.0739954983194669,1000,45,0.95,-0.10075075179338455,-0.04034522287547589
t_mAP25,4,equal_cluster_effect,6,-0.09012703845898311,1000,45,0.95,-0.14400200297435126,-0.031529088815053306
t_mAP25,5,equal_cluster_effect,6,-0.08055480445424716,1000,45,0.95,-0.1655381226912141,0.007688594361146291
t_REC,2,equal_cluster_effect,6,-0.015102162957191467,1000,45,0.95,-0.06594958404699962,0.026962076624234516
t_REC,3,equal_cluster_effect,6,-0.00785579284032186,1000,45,0.95,-0.05482473112642765,0.038187697529792786
t_REC,4,equal_cluster_effect,6,-0.02253995214899381,1000,45,0.95,-0.06567912797133128,0.034528406957785286
t_REC,5,equal_cluster_effect,6,-0.016410671174526215,1000,45,0.95,-0.057926240066687264,0.04233397791783015
prefix_overall_mAP,2,equal_cluster_effect,6,-0.01752319186925888,1000,45,0.95,-0.05782891809940338,0.01969843606154124
prefix_overall_mAP,3,equal_cluster_effect,6,-0.029332570731639862,1000,45,0.95,-0.06034373628596465,0.00047526191920041326
prefix_overall_mAP,4,equal_cluster_effect,6,-0.04876110206047694,1000,45,0.95,-0.0713033378124237,-0.022704795002937317
prefix_overall_mAP,5,equal_cluster_effect,6,-0.05731012672185898,1000,45,0.95,-0.0926841846977671,-0.025708332657814026
