parent,status,episodes,references,candidate_records,ambiguous_candidate_count,empty_target_candidate_count,matched_candidate_count,paired_candidate_count,written_candidate_count
R1,PASS,64,32,5220,1256,4234,986,6476,5220
P,NOT_RUN,,,,,,,,
