method,T,outcome,bin_low,bin_high,count,fraction
B3,4,wrong,0.05,0.1,5,0.056818181818181816
B3,4,wrong,0.1,0.2,19,0.2159090909090909
B3,4,wrong,0.2,0.4,18,0.20454545454545456
B3,4,wrong,0.4,0.8,31,0.3522727272727273
B3,4,wrong,0.8,1.2,11,0.125
B3,4,wrong,1.2,2.25,0,0.0
B3,5,correct,0.0,0.05,4,0.03125
B3,5,correct,0.05,0.1,7,0.0546875
B3,5,correct,0.1,0.2,25,0.1953125
B3,5,correct,0.2,0.4,42,0.328125
B3,5,correct,0.4,0.8,44,0.34375
B3,5,correct,0.8,1.2,6,0.046875
B3,5,correct,1.2,2.25,0,0.0
B3,5,wrong,0.0,0.05,14,0.0880503144654088
B3,5,wrong,0.05,0.1,11,0.06918238993710692
B3,5,wrong,0.1,0.2,29,0.18238993710691823
B3,5,wrong,0.2,0.4,34,0.2138364779874214
B3,5,wrong,0.4,0.8,52,0.3270440251572327
B3,5,wrong,0.8,1.2,19,0.11949685534591195
B3,5,wrong,1.2,2.25,0,0.0
B4,3,correct,0.0,0.05,3,0.030612244897959183
B4,3,correct,0.05,0.1,4,0.04081632653061224
B4,3,correct,0.1,0.2,18,0.1836734693877551
B4,3,correct,0.2,0.4,28,0.2857142857142857
B4,3,correct,0.4,0.8,32,0.32653061224489793
B4,3,correct,0.8,1.2,13,0.1326530612244898
B4,3,correct,1.2,2.25,0,0.0
B4,3,wrong,0.0,0.05,5,0.15151515151515152
B4,3,wrong,0.05,0.1,5,0.15151515151515152
B4,3,wrong,0.1,0.2,6,0.18181818181818182
B4,3,wrong,0.2,0.4,13,0.3939393939393939
B4,3,wrong,0.4,0.8,4,0.12121212121212122
B4,3,wrong,0.8,1.2,0,0.0
B4,3,wrong,1.2,2.25,0,0.0
B4,4,correct,0.0,0.05,8,0.032388663967611336
B4,4,correct,0.05,0.1,16,0.06477732793522267
B4,4,correct,0.1,0.2,43,0.17408906882591094
B4,4,correct,0.2,0.4,75,0.30364372469635625
B4,4,correct,0.4,0.8,76,0.3076923076923077
B4,4,correct,0.8,1.2,29,0.11740890688259109
B4,4,correct,1.2,2.25,0,0.0
B4,4,wrong,0.0,0.05,14,0.1414141414141414
B4,4,wrong,0.05,0.1,19,0.1919191919191919
B4,4,wrong,0.1,0.2,22,0.2222222222222222
B4,4,wrong,0.2,0.4,30,0.30303030303030304
B4,4,wrong,0.4,0.8,13,0.13131313131313133
B4,4,wrong,0.8,1.2,1,0.010101010101010102
B4,4,wrong,1.2,2.25,0,0.0
