method,T,stage_id,capacity,birth_count,occupied_count,active_count,dormant_count,peak_occupied,peak_active,peak_dormant,occupancy_ratio,rejected_births,persistent_state_bytes
B4,2,0,100,1337,24,24,0,28,26,12,0.24,0,61008
B4,2,1,100,425,28,26,2,28,26,12,0.28,0,61008
B4,3,0,100,1337,24,24,0,30,26,17,0.24,0,61008
B4,3,1,100,425,28,26,2,30,26,17,0.28,0,61008
B4,3,2,100,176,30,26,4,30,26,17,0.3,0,61008
B4,4,0,100,1337,24,24,0,30,26,19,0.24,0,61008
B4,4,1,100,425,28,26,2,30,26,19,0.28,0,61008
B4,4,2,100,176,30,26,4,30,26,19,0.3,0,61008
B4,4,3,100,177,30,26,4,30,26,19,0.3,0,61008
B4,5,0,100,1337,24,24,0,30,26,19,0.24,0,61008
B4,5,1,100,425,28,26,2,30,26,19,0.28,0,61008
B4,5,2,100,176,30,26,4,30,26,19,0.3,0,61008
B4,5,3,100,177,30,26,4,30,26,19,0.3,0,61008
B4,5,4,100,99,30,26,4,30,26,19,0.3,0,61008
