method,reference_scene_id,master_sequence_id,scene_id,sequence_id,order_id,prefix,T,prediction_digest,id_switches,transition_opportunities,id_switch_rate,active_correct_matches,active_wrong_matches,births,false_births,rejected_births,fragmentation_count,merge_count,gap_opportunities,reactivation_attempts,predicted_reactivation_events,correct_reactivations,wrong_reactivations,no_attempts,reactivation_accuracy,reactivation_precision,reactivation_recall,reactivation_coverage
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01:canonical,canonical,2,2,efea0ed33b39fb0578faa946ee6058d877e93ab4784a031d60c3b88dc19c5e85,4,4,1.0,0,0,19,6,0,4,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01:canonical,canonical,3,3,efea0ed33b39fb0578faa946ee6058d877e93ab4784a031d60c3b88dc19c5e85,11,11,1.0,0,0,27,14,0,11,0,4,0,0,0,0,4,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01:canonical,canonical,4,4,efea0ed33b39fb0578faa946ee6058d877e93ab4784a031d60c3b88dc19c5e85,14,14,1.0,0,0,33,18,0,14,0,5,0,0,0,0,5,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01:canonical,canonical,5,5,efea0ed33b39fb0578faa946ee6058d877e93ab4784a031d60c3b88dc19c5e85,21,21,1.0,0,0,44,28,0,21,0,10,0,0,0,0,10,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01:reverse,reverse,2,2,25ae8559acdf019945cd93b8cd78e2b0f0445b02a6e3bf91b1fb3ee951cf30a0,2,2,1.0,0,0,17,6,0,2,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01:reverse,reverse,3,3,25ae8559acdf019945cd93b8cd78e2b0f0445b02a6e3bf91b1fb3ee951cf30a0,7,7,1.0,0,0,27,13,0,7,0,3,0,0,0,0,3,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01:reverse,reverse,4,4,25ae8559acdf019945cd93b8cd78e2b0f0445b02a6e3bf91b1fb3ee951cf30a0,13,13,1.0,0,0,34,19,0,13,0,6,0,0,0,0,6,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01:reverse,reverse,5,5,25ae8559acdf019945cd93b8cd78e2b0f0445b02a6e3bf91b1fb3ee951cf30a0,21,21,1.0,0,0,44,27,0,21,0,9,0,0,0,0,9,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01:sha256_seed45,sha256_seed45,2,2,dd4f391d02133998f91a023b2383143d57b784445b7f6bfd59945c7014fd83a2,5,5,1.0,0,0,19,9,0,5,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01:sha256_seed45,sha256_seed45,3,3,dd4f391d02133998f91a023b2383143d57b784445b7f6bfd59945c7014fd83a2,8,8,1.0,0,0,25,13,0,8,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01:sha256_seed45,sha256_seed45,4,4,dd4f391d02133998f91a023b2383143d57b784445b7f6bfd59945c7014fd83a2,16,16,1.0,0,0,36,22,0,16,0,6,0,0,0,0,6,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01:sha256_seed45,sha256_seed45,5,5,dd4f391d02133998f91a023b2383143d57b784445b7f6bfd59945c7014fd83a2,22,22,1.0,0,0,45,30,0,22,0,8,0,0,0,0,8,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08:canonical,canonical,2,2,2fc4f6b7a53730175242f40e3c9a08aee5fc7f21ee8ad11e931126e447014dc0,4,4,1.0,0,0,16,7,0,4,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08:canonical,canonical,3,3,2fc4f6b7a53730175242f40e3c9a08aee5fc7f21ee8ad11e931126e447014dc0,8,8,1.0,0,0,22,11,0,8,0,1,0,0,0,0,1,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08:canonical,canonical,4,4,2fc4f6b7a53730175242f40e3c9a08aee5fc7f21ee8ad11e931126e447014dc0,11,11,1.0,0,0,28,14,0,11,0,3,0,0,0,0,3,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08:canonical,canonical,5,5,2fc4f6b7a53730175242f40e3c9a08aee5fc7f21ee8ad11e931126e447014dc0,14,14,1.0,0,0,36,21,0,14,0,6,0,0,0,0,6,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08:reverse,reverse,2,2,6f3a91fab140c7fd730cbd4b67ab83c3ea29cf5fad9aea991cf7c399de701c88,3,3,1.0,0,0,13,6,0,3,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08:reverse,reverse,3,3,6f3a91fab140c7fd730cbd4b67ab83c3ea29cf5fad9aea991cf7c399de701c88,6,6,1.0,0,0,19,10,0,6,0,1,0,0,0,0,1,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08:reverse,reverse,4,4,6f3a91fab140c7fd730cbd4b67ab83c3ea29cf5fad9aea991cf7c399de701c88,10,10,1.0,0,0,25,15,0,10,0,2,0,0,0,0,2,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08:reverse,reverse,5,5,6f3a91fab140c7fd730cbd4b67ab83c3ea29cf5fad9aea991cf7c399de701c88,14,14,1.0,0,0,34,21,0,14,0,3,0,0,0,0,3,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08:sha256_seed45,sha256_seed45,2,2,36ee18ec763ccc279c155697842d38a248ab4d7da3738da0d073a6aed0614f4b,3,3,1.0,0,0,17,9,0,3,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08:sha256_seed45,sha256_seed45,3,3,36ee18ec763ccc279c155697842d38a248ab4d7da3738da0d073a6aed0614f4b,7,7,1.0,0,0,27,16,0,7,0,1,0,0,0,0,1,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08:sha256_seed45,sha256_seed45,4,4,36ee18ec763ccc279c155697842d38a248ab4d7da3738da0d073a6aed0614f4b,10,10,1.0,0,0,33,19,0,10,0,3,0,0,0,0,3,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08:sha256_seed45,sha256_seed45,5,5,36ee18ec763ccc279c155697842d38a248ab4d7da3738da0d073a6aed0614f4b,15,15,1.0,0,0,40,25,0,15,0,5,0,0,0,0,5,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06:canonical,canonical,2,2,b7bfb7bf071bf0d02c849f8094a466dbd0e7056d68fcb44e1bd1f6e4f3dfc405,4,4,1.0,0,0,15,6,0,4,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06:canonical,canonical,3,3,b7bfb7bf071bf0d02c849f8094a466dbd0e7056d68fcb44e1bd1f6e4f3dfc405,7,7,1.0,0,0,21,10,0,7,0,0,0,0,0,0,0,,,,
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06:canonical,canonical,4,4,b7bfb7bf071bf0d02c849f8094a466dbd0e7056d68fcb44e1bd1f6e4f3dfc405,13,13,1.0,0,0,32,19,0,13,0,3,0,0,0,0,3,,,0.0,0.0
B0,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06:canonical,canonical,5,5,b7bfb7bf071bf0d02c849f8094a466dbd0e7056d68fcb44e1bd1f6e4f3dfc405,18,18,1.0,0,0,38,24,0,18,0,4,0,0,0,0,4,,,0.0,0.0
