method,T,raw_AP,online_t_mAP,online_t_REC,id_switch_rate,reactivation_accuracy
B0,2,0.30026498436927795,0.0381195992231369,0.1643470674753189,1.0,
B0,3,0.29839739203453064,0.014237156137824059,0.09959964454174042,1.0,
B0,4,0.2925824522972107,0.005036705639213324,0.053949739784002304,1.0,
B0,5,0.30607080459594727,0.0026664268225431442,0.036176957190036774,1.0,
B0_sanity,2,0.30026498436927795,0.03513103723526001,0.15547102689743042,0.9892008639308856,
B0_sanity,3,0.29839739203453064,0.011820945888757706,0.08606712520122528,0.9909584086799277,
B0_sanity,4,0.2925824522972107,0.004165734630078077,0.04014093801379204,0.9919571045576407,
B0_sanity,5,0.30607080459594727,0.0029118109960108995,0.02648075670003891,0.9902731013842125,
B1,2,0.30026498436927795,0.15786945819854736,0.26990342140197754,0.12095032397408208,
B1,3,0.29839739203453064,0.08017117530107498,0.1908210813999176,0.19077757685352623,0.5517241379310345
B1,4,0.2925824522972107,0.03926505520939827,0.1287640631198883,0.24396782841823056,0.45774647887323944
B1,5,0.30607080459594727,0.015628747642040253,0.07974451035261154,0.2783389450056117,0.4393305439330544
B2,2,0.30026498436927795,0.15683315694332123,0.2677476704120636,0.1079913606911447,
B2,3,0.29839739203453064,0.07954607158899307,0.18829555809497833,0.17450271247739602,0.5555555555555556
B2,4,0.2925824522972107,0.03898722678422928,0.12813803553581238,0.22734584450402145,0.45695364238410596
B2,5,0.30607080459594727,0.016111688688397408,0.08052019029855728,0.26000748222970443,0.42857142857142855
B3,2,0.30026498436927795,0.15683315694332123,0.2677476704120636,0.1079913606911447,
B3,3,0.29839739203453064,0.08059833198785782,0.18892471492290497,0.16998191681735986,0.5675675675675675
B3,4,0.2925824522972107,0.03896726295351982,0.12621940672397614,0.2230563002680965,0.49714285714285716
B3,5,0.30607080459594727,0.01660783216357231,0.07940219342708588,0.2558922558922559,0.445993031358885
B4,2,0.30026498436927795,0.15863607823848724,0.2724342346191406,0.10151187904967603,
B4,3,0.29839739203453064,0.09889432787895203,0.19456875324249268,0.10397830018083183,0.7480916030534351
B4,4,0.2925824522972107,0.05956951901316643,0.13616830110549927,0.11742627345844504,0.7138728323699421
B4,5,0.30607080459594727,0.04449684917926788,0.10665469616651535,0.12158623269734381,0.7201986754966887
