method,T,category,count,share
B4,3,F3,48,0.012834224598930482
B4,3,F4,153,0.04090909090909091
B4,3,F5,33,0.008823529411764706
B4,3,F6,602,0.16096256684491977
B4,3,F7,706,0.18877005347593584
B4,3,unclassified,0,0.0
B4,4,F1,2154,0.41615146831530136
B4,4,F2,970,0.187403400309119
B4,4,F3,81,0.01564914992272025
B4,4,F4,229,0.04424265842349304
B4,4,F5,99,0.019126738794435858
B4,4,F6,813,0.15707109737248842
B4,4,F7,830,0.16035548686244205
B4,4,unclassified,0,0.0
B4,5,F1,2686,0.41101759755164496
B4,5,F2,1342,0.2053557765876052
B4,5,F3,125,0.019127773527161437
B4,5,F4,293,0.044835501147666414
B4,5,F5,169,0.025860749808722265
B4,5,F6,1012,0.154858454475899
B4,5,F7,908,0.1389441469013007
B4,5,unclassified,0,0.0
