method,T,outcome,bin_low,bin_high,count,fraction
B1,3,correct,-1.0,-0.5,0,0.0
B1,3,correct,-0.5,0.0,0,0.0
B1,3,correct,0.0,0.25,0,0.0
B1,3,correct,0.25,0.5,0,0.0
B1,3,correct,0.5,0.75,3,0.09375
B1,3,correct,0.75,1.0,29,0.90625
B1,3,correct,1.0,1.25,0,0.0
B1,3,wrong,-1.0,-0.5,0,0.0
B1,3,wrong,-0.5,0.0,0,0.0
B1,3,wrong,0.0,0.25,0,0.0
B1,3,wrong,0.25,0.5,0,0.0
B1,3,wrong,0.5,0.75,15,0.5769230769230769
B1,3,wrong,0.75,1.0,11,0.4230769230769231
B1,3,wrong,1.0,1.25,0,0.0
B1,4,correct,-1.0,-0.5,0,0.0
B1,4,correct,-0.5,0.0,0,0.0
B1,4,correct,0.0,0.25,0,0.0
B1,4,correct,0.25,0.5,0,0.0
B1,4,correct,0.5,0.75,3,0.046153846153846156
B1,4,correct,0.75,1.0,62,0.9538461538461539
B1,4,correct,1.0,1.25,0,0.0
B1,4,wrong,-1.0,-0.5,0,0.0
B1,4,wrong,-0.5,0.0,0,0.0
B1,4,wrong,0.0,0.25,0,0.0
B1,4,wrong,0.25,0.5,0,0.0
B1,4,wrong,0.5,0.75,40,0.5194805194805194
B1,4,wrong,0.75,1.0,37,0.4805194805194805
B1,4,wrong,1.0,1.25,0,0.0
B1,5,correct,-1.0,-0.5,0,0.0
B1,5,correct,-0.5,0.0,0,0.0
B1,5,correct,0.0,0.25,0,0.0
B1,5,correct,0.25,0.5,0,0.0
B1,5,correct,0.5,0.75,3,0.02857142857142857
B1,5,correct,0.75,1.0,102,0.9714285714285714
B1,5,correct,1.0,1.25,0,0.0
B1,5,wrong,-1.0,-0.5,0,0.0
B1,5,wrong,-0.5,0.0,0,0.0
B1,5,wrong,0.0,0.25,0,0.0
B1,5,wrong,0.25,0.5,0,0.0
B1,5,wrong,0.5,0.75,64,0.47761194029850745
B1,5,wrong,0.75,1.0,70,0.5223880597014925
B1,5,wrong,1.0,1.25,0,0.0
B2,3,correct,-1.0,-0.5,0,0.0
B2,3,correct,-0.5,0.0,0,0.0
B2,3,correct,0.0,0.25,0,0.0
B2,3,correct,0.25,0.5,0,0.0
B2,3,correct,0.5,0.75,4,0.11428571428571428
B2,3,correct,0.75,1.0,2,0.05714285714285714
B2,3,correct,1.0,1.25,29,0.8285714285714286
B2,3,wrong,-1.0,-0.5,0,0.0
B2,3,wrong,-0.5,0.0,0,0.0
B2,3,wrong,0.0,0.25,0,0.0
B2,3,wrong,0.25,0.5,0,0.0
B2,3,wrong,0.5,0.75,5,0.17857142857142858
B2,3,wrong,0.75,1.0,13,0.4642857142857143
B2,3,wrong,1.0,1.25,10,0.35714285714285715
B2,4,correct,-1.0,-0.5,0,0.0
B2,4,correct,-0.5,0.0,0,0.0
B2,4,correct,0.0,0.25,0,0.0
