method,T,gap_length,outcome,count,fraction
B1,3,1,correct,32,0.5517241379310345
B1,3,1,wrong,26,0.4482758620689655
B1,4,1,correct,62,0.5344827586206896
B1,4,1,wrong,54,0.46551724137931033
B1,4,2,correct,3,0.11538461538461539
B1,4,2,wrong,23,0.8846153846153846
B1,5,1,correct,91,0.5449101796407185
B1,5,1,wrong,76,0.4550898203592814
B1,5,2,correct,12,0.23529411764705882
B1,5,2,wrong,39,0.7647058823529411
B1,5,3,correct,2,0.09523809523809523
B1,5,3,wrong,19,0.9047619047619048
B2,3,1,correct,35,0.5555555555555556
B2,3,1,wrong,28,0.4444444444444444
B2,4,1,correct,66,0.532258064516129
B2,4,1,wrong,58,0.46774193548387094
B2,4,2,correct,3,0.1111111111111111
B2,4,2,wrong,24,0.8888888888888888
B2,5,1,correct,97,0.5300546448087432
B2,5,1,wrong,86,0.46994535519125685
B2,5,2,correct,12,0.22641509433962265
B2,5,2,wrong,41,0.7735849056603774
B2,5,3,correct,2,0.08695652173913043
B2,5,3,wrong,21,0.9130434782608695
B3,3,1,correct,42,0.5675675675675675
B3,3,1,wrong,32,0.43243243243243246
B3,4,1,correct,78,0.5693430656934306
B3,4,1,wrong,59,0.4306569343065693
B3,4,2,correct,9,0.23684210526315788
B3,4,2,wrong,29,0.7631578947368421
B3,5,1,correct,109,0.545
B3,5,1,wrong,91,0.455
B3,5,2,correct,17,0.27419354838709675
B3,5,2,wrong,45,0.7258064516129032
B3,5,3,correct,2,0.08
B3,5,3,wrong,23,0.92
B4,3,1,correct,98,0.7480916030534351
B4,3,1,wrong,33,0.25190839694656486
B4,4,1,correct,209,0.7572463768115942
B4,4,1,wrong,67,0.2427536231884058
B4,4,2,correct,38,0.5428571428571428
B4,4,2,wrong,32,0.45714285714285713
B4,5,1,correct,335,0.7919621749408984
B4,5,1,wrong,88,0.20803782505910165
B4,5,2,correct,74,0.5826771653543307
B4,5,2,wrong,53,0.41732283464566927
B4,5,3,correct,26,0.48148148148148145
B4,5,3,wrong,28,0.5185185185185185
