model,reference_scene_id,master_sequence_id,order_id,T,measured_repeats,median_latency_ms,minimum_latency_ms,maximum_latency_ms,peak_allocated_bytes,maximum_incremental_peak_allocated_bytes,window_voxel_points,window_segments
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,10,448.085873,447.05115,450.378614,1516502528,908720640,65164,1957
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,10,398.5783955,397.222556,402.374286,1315165184,711325696,50920,1820
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,10,370.437465,370.144072,374.573138,1249281536,645443072,46465,1790
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,10,405.21891949999997,404.066977,405.932921,1400599552,794766336,57788,1792
C2,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,2,10,512.2741875,511.395485,512.882732,1820649472,1207976448,85754,2692
C2,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,3,10,442.26933199999996,441.59898,443.775377,1517179904,908375040,64388,2078
C2,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,4,10,418.79908450000005,418.471639,419.730451,1409456640,803221504,56976,2004
C2,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,5,10,342.437841,342.026468,343.56513,1116376064,515438080,36561,1315
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,2,10,685.3948085,683.880846,689.27483,2398852096,1777576960,128276,5592
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,10,632.9173825,632.457878,635.150335,2232671232,1614315008,116239,4927
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,10,576.1882635,575.14114,576.854443,2015870976,1401058816,100742,4181
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,10,688.2796995,687.424682,690.618608,2409272320,1786164224,130500,6378
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,10,492.63453949999996,492.224823,493.419434,1734483968,1123694592,81299,2187
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,3,10,496.15081799999996,495.216133,497.856968,1732671488,1122275328,81724,2266
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,4,10,457.834424,456.908109,458.820816,1571881984,963428352,69725,1981
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,5,10,464.9780855,463.572712,466.180495,1613086208,1004907008,72765,2441
C2,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,2,10,731.5175415,730.83206,731.919535,2544139776,1920178176,135435,4689
C2,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,3,10,571.7301745,571.005353,572.6542,1968183296,1351833600,95953,3668
C2,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,4,10,522.3897935,521.054089,524.653128,1817657344,1206196736,84439,2686
C2,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,5,10,526.8963455,526.042207,528.359046,1817820160,1205445632,83265,2603
C2,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,2,10,717.538957,716.659575,718.579447,2469559296,1846293504,132307,5273
C2,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,3,10,736.5240114999999,735.391956,738.730925,2529950720,1904112640,137183,6243
C2,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,4,10,566.388369,565.714296,568.168445,1934788608,1319766528,95061,4589
C2,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,5,10,355.22720749999996,354.860434,357.800616,1157771264,553919488,43818,3158
FH-adapt,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,10,444.1967525,443.61369,444.921307,1516016128,908545024,65164,1957
FH-adapt,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,10,546.7483715000001,546.018416,547.697439,1913056256,1300630528,92769,3008
FH-adapt,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,10,624.3844145,623.122461,625.683388,2175321600,1556819968,111735,3728
FH-adapt,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,10,775.2236895000001,773.808264,777.244284,2720964096,2094559232,150718,4814
