config,attempt,status,completed_units,expected_units,cpu_core_hours,T2,T3,T4,T5
A0-U-tau-0.6,CURRENT_PARENT,PASS,23,23,0.46295308402583335,0.36262261867523193,0.27523431181907654,0.2266813963651657,0.20284244418144226
A0-U-tau-0.666666666667,CURRENT_PARENT,PASS,23,23,0.45148967145416663,0.36262261867523193,0.2874433696269989,0.23900361359119415,0.22002892196178436
A0-U-tau-0.73,CURRENT_PARENT,PASS,23,23,0.4780215460394446,0.36262261867523193,0.290004163980484,0.24293111264705658,0.22163911163806915
A1-theta-0.5,CURRENT_PARENT,PASS,23,23,0.45899325419805537,0.36262261867523193,0.284333735704422,0.23824936151504517,0.21873216331005096
A1-theta-0.65,CURRENT_PARENT,PASS,23,23,0.4563047298302776,0.36262261867523193,0.28433388471603394,0.23824064433574677,0.2187497913837433
A1-theta-0.8,CURRENT_PARENT,PASS,23,23,0.4683478954261111,0.36262261867523193,0.2871769666671753,0.23886127769947052,0.21878881752490997
A2-lambda-0.25-tau-0.6,CURRENT_PARENT,PASS,23,23,0.4519788250841667,0.36262261867523193,0.2695173919200897,0.2232562154531479,0.19361259043216705
A2-lambda-0.25-tau-0.666666666667,CURRENT_PARENT,PASS,23,23,0.4431039681291663,0.36262261867523193,0.27692297101020813,0.2347147911787033,0.2125786989927292
A2-lambda-0.25-tau-0.73,CURRENT_PARENT,PASS,23,23,0.4586783414591668,0.36262261867523193,0.2901761531829834,0.24360151588916779,0.2196793407201767
A2-lambda-0.5-tau-0.6,CURRENT_PARENT,PASS,23,23,0.46079289767972165,0.36262261867523193,0.26489004492759705,0.21506670117378235,0.18305714428424835
A2-lambda-0.5-tau-0.666666666667,CURRENT_PARENT,PASS,23,23,0.46562411639416695,0.36262261867523193,0.2652326822280884,0.22093512117862701,0.19014371931552887
A2-lambda-0.5-tau-0.73,CURRENT_PARENT,PASS,23,23,0.4769631067869452,0.36262261867523193,0.26598119735717773,0.2251145839691162,0.19857299327850342
A0-U-tau-0.6,HISTORICAL_PARENT,INVALIDATED_PARENT_RUNTIME,23,23,0.4791090007238889,0.36447855830192566,0.2825133800506592,0.22725355625152588,0.20482075214385986
A0-U-tau-0.666666666667,HISTORICAL_PARENT,INVALIDATED_PARENT_RUNTIME,23,23,0.4583676364741667,0.36447855830192566,0.29153433442115784,0.2399497777223587,0.22098052501678467
A0-U-tau-0.73,HISTORICAL_PARENT,INVALIDATED_PARENT_RUNTIME,23,23,0.46912974970583327,0.36447855830192566,0.289980411529541,0.24295301735401154,0.22158874571323395
A1-theta-0.5,HISTORICAL_PARENT,INVALIDATED_PARENT_RUNTIME,23,23,0.4647116900316668,0.36447855830192566,0.2918775975704193,0.2429216504096985,0.22385963797569275
