completed_epoch,optimizer_step,train_log_step,t_mAP,t_mAP50,t_mAP25,overall_mAP,stage1_mAP,stage2_mAP,SpatialStageMean,metrics_csv_sha256
15,990,989,0.055176910012960434,0.1323254257440567,0.23769627511501312,0.07377009093761444,0.07717425376176834,0.08424045145511627,0.0807073526084423,3919e85712909fe43869aa36e254b36840bd02958672e77e640b4e798638a373
30,1980,1979,0.11117871850728989,0.2163187712430954,0.413912832736969,0.14577597379684448,0.16269636154174805,0.16731396317481995,0.165005162358284,3919e85712909fe43869aa36e254b36840bd02958672e77e640b4e798638a373
45,2970,2969,0.157451793551445,0.32246527075767517,0.5606842041015625,0.23257936537265778,0.2606666386127472,0.2630904018878937,0.26187852025032043,3919e85712909fe43869aa36e254b36840bd02958672e77e640b4e798638a373
60,3960,3959,0.2073969691991806,0.3983558416366577,0.6046708822250366,0.28287577629089355,0.32279229164123535,0.31568512320518494,0.31923870742321014,3919e85712909fe43869aa36e254b36840bd02958672e77e640b4e798638a373
75,4950,4949,0.25290608406066895,0.45866334438323975,0.6692726612091064,0.3253205418586731,0.35993918776512146,0.35747554898262024,0.35870736837387085,3919e85712909fe43869aa36e254b36840bd02958672e77e640b4e798638a373
90,5940,5939,0.24575358629226685,0.4643074572086334,0.6432552933692932,0.3233339190483093,0.3625522255897522,0.3637322187423706,0.3631422221660614,3919e85712909fe43869aa36e254b36840bd02958672e77e640b4e798638a373
105,6930,6929,0.21277745068073273,0.416479229927063,0.6471837162971497,0.29150283336639404,0.3361211121082306,0.34660598635673523,0.3413635492324829,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
120,7920,7919,0.24420291185379028,0.4672534167766571,0.6309123635292053,0.3250524699687958,0.36757180094718933,0.3886859118938446,0.37812885642051697,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
135,8910,8909,0.25481992959976196,0.4469870328903198,0.6483961939811707,0.34306657314300537,0.37951958179473877,0.39483433961868286,0.3871769607067108,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
150,9900,9899,0.250466912984848,0.45812124013900757,0.6448485851287842,0.3445209264755249,0.38218843936920166,0.39602604508399963,0.38910724222660065,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
165,10890,10889,0.2790197432041168,0.4906272292137146,0.6425080299377441,0.36142414808273315,0.41022273898124695,0.41047829389572144,0.4103505164384842,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
180,11880,11879,0.2821420729160309,0.4806586503982544,0.6513549089431763,0.37194588780403137,0.41941288113594055,0.4313098192214966,0.42536135017871857,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
195,12870,12869,0.2726269066333771,0.47152912616729736,0.6230284571647644,0.35191282629966736,0.40695062279701233,0.3947775065898895,0.4008640646934509,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
210,13860,13859,0.28450509905815125,0.4826221466064453,0.6431148052215576,0.360797643661499,0.4087933301925659,0.42056071758270264,0.4146770238876343,715d4e2b36c2b4b625aa4cb521e5719d0bc1ed4f2bb486fe17165cdfa45f41e1
