filename,role,sha256,bytes,completed_epoch,selected_step,selection_metric_exact,selection_metric_filename_rounded,state_dict_entry_count,optimizer_state_count,scheduler_state_count
epoch=434-val_mean_t-AP=0.313.ckpt,best_validation,0bf2476a6fc53768f97aad7e14a4ac8779661f302725325993d5b37442a7864f,755165656,435,28710,0.31340423226356506,0.313,802,1,1
epoch=450.ckpt,exact_full_boundary,e444a4e2b93819e7cd51871915e524e3337f9f19eb6d909f63701375bc8a405a,755165656,450,29700,,,802,1,1
