population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,T,episode_count,policy,reducer,prefix_overall_mAP,local_current_AP,t_REC,t_mAP,t_mAP25,t_mAP50,reference_count,master_count
development_common_h5_canonical,M3-V-LAST,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,45,45,2,47,commit0,mean,0.5932039022445679,0.646076500415802,0.5764163732528687,0.4840392470359802,0.8372616767883301,0.6923888921737671,8,47
development_common_h5_canonical,M3-V-LAST,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,45,45,3,47,commit0,mean,0.5729634761810303,0.6452071070671082,0.5032055974006653,0.403431236743927,0.7587118148803711,0.6099438667297363,8,47
development_common_h5_canonical,M3-V-LAST,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,45,45,4,47,commit0,mean,0.5618188977241516,0.6431844830513,0.44806718826293945,0.36447107791900635,0.7161304354667664,0.5672950744628906,8,47
development_common_h5_canonical,M3-V-LAST,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,45,45,5,47,commit0,mean,0.5521353483200073,0.6484569311141968,0.4164832532405853,0.33207109570503235,0.6771148443222046,0.5240723490715027,8,47
development_common_h5_canonical,M3-V-LAST,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,45,45,2,47,lag1,mean,0.6459231972694397,0.6506520509719849,0.6153241395950317,0.5253106951713562,0.9128718972206116,0.7541211247444153,8,47
development_common_h5_canonical,M3-V-LAST,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,45,45,3,47,lag1,mean,0.6206024885177612,0.6466125249862671,0.5313168168067932,0.43849000334739685,0.8195785284042358,0.6703658103942871,8,47
development_common_h5_canonical,M3-V-LAST,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,45,45,4,47,lag1,mean,0.6018090844154358,0.65043044090271,0.47516530752182007,0.3872230350971222,0.7597828507423401,0.6140142679214478,8,47
development_common_h5_canonical,M3-V-LAST,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,45,45,5,47,lag1,mean,0.5818050503730774,0.6558744311332703,0.4288901686668396,0.352140337228775,0.7155457139015198,0.5640508532524109,8,47
