population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,visual_content_control,T,episode_count,policy,reducer,prefix_overall_mAP,local_current_AP,t_REC,t_mAP,t_mAP25,t_mAP50,reference_count,master_count
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,2,47,commit0,mean,0.051506154239177704,0.655735969543457,0.05591429024934769,0.015427638776600361,0.01831570826470852,0.017827516421675682,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,3,47,commit0,mean,0.023761389777064323,0.662251353263855,0.04790368303656578,0.02014208771288395,0.02280541881918907,0.022579777985811234,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,4,47,commit0,mean,0.01909325085580349,0.6509481072425842,0.03725263103842735,0.015664013102650642,0.017770355567336082,0.017755305394530296,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,5,47,commit0,mean,0.021645870059728622,0.6601901054382324,0.041706349700689316,0.020151974633336067,0.022834395989775658,0.02281612530350685,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,2,47,lag1,latest,0.6504318714141846,0.655735969543457,0.6116125583648682,0.5290291905403137,0.9083892703056335,0.7574255466461182,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,3,47,lag1,latest,0.6035311818122864,0.662251353263855,0.549659788608551,0.4185401499271393,0.7791340351104736,0.6294771432876587,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,4,47,lag1,latest,0.5201137065887451,0.6509481072425842,0.48202937841415405,0.34740468859672546,0.6335460543632507,0.5228930115699768,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,5,47,lag1,latest,0.4683426320552826,0.6601901054382324,0.42911556363105774,0.2929447889328003,0.5138315558433533,0.43566641211509705,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,2,47,lag1,max,0.6504318714141846,0.655735969543457,0.6116125583648682,0.5290291905403137,0.9083892703056335,0.7574255466461182,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,3,47,lag1,max,0.6001412868499756,0.625420331954956,0.549659788608551,0.424100399017334,0.7899839878082275,0.6342976093292236,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,4,47,lag1,max,0.533431351184845,0.5888822674751282,0.48202937841415405,0.3531661331653595,0.6618115305900574,0.5369964241981506,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,5,47,lag1,max,0.48558032512664795,0.5912862420082092,0.42911556363105774,0.30506137013435364,0.5751294493675232,0.4688245356082916,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,2,47,lag1,mean,0.6504318714141846,0.655735969543457,0.6116125583648682,0.5290291905403137,0.9083892703056335,0.7574255466461182,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,3,47,lag1,mean,0.5977218151092529,0.6525054574012756,0.549659788608551,0.41797149181365967,0.7855870127677917,0.6343132853507996,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,4,47,lag1,mean,0.5101923942565918,0.6351258158683777,0.48202937841415405,0.339846670627594,0.6404669880867004,0.5174193978309631,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,5,47,lag1,mean,0.4594235420227051,0.6401480436325073,0.42911556363105774,0.29911917448043823,0.5422674417495728,0.45179957151412964,8,47
