population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,visual_content_control,T,policy,reducer,relative_t_mAP_retention,t2_t_mAP,t_mAP,reference_count,master_count
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,2,commit0,mean,1.0,0.015427638776600361,0.015427638776600361,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,3,commit0,mean,1.305584607246195,0.015427638776600361,0.02014208771288395,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,4,commit0,mean,1.0153214843485185,0.015427638776600361,0.015664013102650642,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,5,commit0,mean,1.3062254649040184,0.015427638776600361,0.020151974633336067,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,2,lag1,latest,1.0,0.5290291905403137,0.5290291905403137,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,3,lag1,latest,0.7911475536910759,0.5290291905403137,0.4185401499271393,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,4,lag1,latest,0.6566834019913163,0.5290291905403137,0.34740468859672546,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,5,lag1,latest,0.5537403118221261,0.5290291905403137,0.2929447889328003,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,2,lag1,max,1.0,0.5290291905403137,0.5290291905403137,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,3,lag1,max,0.8016578415723852,0.5290291905403137,0.424100399017334,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,4,lag1,max,0.6675740006041256,0.5290291905403137,0.3531661331653595,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,5,lag1,max,0.5766437383592862,0.5290291905403137,0.30506137013435364,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,2,lag1,mean,1.0,0.5290291905403137,0.5290291905403137,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,3,lag1,mean,0.790072644926781,0.5290291905403137,0.41797149181365967,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,4,lag1,mean,0.6423968217717781,0.5290291905403137,0.339846670627594,8,47
development_common_h5_canonical,FH-CONT,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,45,45,native,5,lag1,mean,0.5654114741285612,0.5290291905403137,0.29911917448043823,8,47
