row_type,method,K,T,model_update_ms,output_materialization_ms,end_to_end_ms,cumulative_ms,allocated_peak_bytes,reserved_peak_bytes,cpu_rss_bytes,resident_bytes,buffer_bytes,archive_bytes,materialized_bytes,cache_replay_with_metrics_ms,t_mAP,peak_occupied_slots,rejected_births,status,reason
PROFILE,FH-R1-native,100,2,,,,,,,,,,,,,,,,BLOCKED_ASSET,fh_native_cache_root is unavailable
PROFILE,FH-R1-native,100,3,,,,,,,,,,,,,,,,BLOCKED_ASSET,fh_native_cache_root is unavailable
PROFILE,FH-R1-native,100,4,,,,,,,,,,,,,,,,BLOCKED_ASSET,fh_native_cache_root is unavailable
PROFILE,FH-R1-native,100,5,,,,,,,,,,,,,,,,BLOCKED_ASSET,fh_native_cache_root is unavailable
PROFILE,D0,100,2,,,,,,,,,,,,199456.16829600476,,,,CACHE_REPLAY_ONLY,not a real-forward timing measurement
PROFILE,D0,100,3,,,,,,,,,,,,199456.16829600476,,,,CACHE_REPLAY_ONLY,not a real-forward timing measurement
PROFILE,D0,100,4,,,,,,,,,,,,199456.16829600476,,,,CACHE_REPLAY_ONLY,not a real-forward timing measurement
PROFILE,D0,100,5,,,,,,,,,,,,199456.16829600476,,,,CACHE_REPLAY_ONLY,not a real-forward timing measurement
PROFILE,frozen-final-candidate,100,2,,,,,,,,,,,,199456.16829600476,,,,CACHE_REPLAY_ONLY,not a real-forward timing measurement
PROFILE,frozen-final-candidate,100,3,,,,,,,,,,,,199456.16829600476,,,,CACHE_REPLAY_ONLY,not a real-forward timing measurement
PROFILE,frozen-final-candidate,100,4,,,,,,,,,,,,199456.16829600476,,,,CACHE_REPLAY_ONLY,not a real-forward timing measurement
PROFILE,frozen-final-candidate,100,5,,,,,,,,,,,,199456.16829600476,,,,CACHE_REPLAY_ONLY,not a real-forward timing measurement
CAPACITY,D0,16,2,,,,,,,,10032,12345345,4041451,100099560,,0.24922862648963928,16,1087,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,D0,16,3,,,,,,,,10032,12345345,4041451,100099560,,0.15070191025733948,16,1087,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,D0,16,4,,,,,,,,10032,12345345,4041451,100099560,,0.0829414576292038,16,1087,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,D0,16,5,,,,,,,,10032,12345345,4041451,100099560,,0.05590687692165375,16,1087,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,A1-default,16,2,,,,,,,,10032,13934984,35323878,77349660,,0.24922862648963928,16,1365,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,A1-default,16,3,,,,,,,,10032,13934984,35323878,77349660,,0.15465141832828522,16,1365,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,A1-default,16,4,,,,,,,,10032,13934984,35323878,77349660,,0.08818977326154709,16,1365,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,A1-default,16,5,,,,,,,,10032,13934984,35323878,77349660,,0.059553470462560654,16,1365,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,D0,32,2,,,,,,,,20048,12344607,4040448,99644562,,0.24922862648963928,32,5,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,D0,32,3,,,,,,,,20048,12344607,4040448,99644562,,0.15534649789333344,32,5,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,D0,32,4,,,,,,,,20048,12344607,4040448,99644562,,0.09011446684598923,32,5,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,D0,32,5,,,,,,,,20048,12344607,4040448,99644562,,0.06433149427175522,32,5,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,A1-default,32,2,,,,,,,,20048,13934984,35323878,78259656,,0.24922862648963928,32,20,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,A1-default,32,3,,,,,,,,20048,13934984,35323878,78259656,,0.15445512533187866,32,20,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,A1-default,32,4,,,,,,,,20048,13934984,35323878,78259656,,0.08949655294418335,32,20,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,A1-default,32,5,,,,,,,,20048,13934984,35323878,78259656,,0.06106029823422432,32,20,MEASURED_PARENT_TRAJECTORY,capacity reached
CAPACITY,D0,100,2,,,,,,,,62616,12344335,4040448,99644562,,0.24922862648963928,36,0,MEASURED_PARENT_TRAJECTORY,capacity-uninformative
CAPACITY,D0,100,3,,,,,,,,62616,12344335,4040448,99644562,,0.15534649789333344,36,0,MEASURED_PARENT_TRAJECTORY,capacity-uninformative
CAPACITY,D0,100,4,,,,,,,,62616,12344335,4040448,99644562,,0.09011446684598923,36,0,MEASURED_PARENT_TRAJECTORY,capacity-uninformative
CAPACITY,D0,100,5,,,,,,,,62616,12344335,4040448,99644562,,0.06433148682117462,36,0,MEASURED_PARENT_TRAJECTORY,capacity-uninformative
CAPACITY,A1-default,100,2,,,,,,,,62616,13934984,35323878,78259656,,0.24922862648963928,38,0,MEASURED_PARENT_TRAJECTORY,capacity-uninformative
CAPACITY,A1-default,100,3,,,,,,,,62616,13934984,35323878,78259656,,0.15445512533187866,38,0,MEASURED_PARENT_TRAJECTORY,capacity-uninformative
CAPACITY,A1-default,100,4,,,,,,,,62616,13934984,35323878,78259656,,0.08949655294418335,38,0,MEASURED_PARENT_TRAJECTORY,capacity-uninformative
CAPACITY,A1-default,100,5,,,,,,,,62616,13934984,35323878,78259656,,0.06106029823422432,38,0,MEASURED_PARENT_TRAJECTORY,capacity-uninformative
