population_id,data_role,reference_count,logical_unit_count,method,config_id,source_commit,R1_SHA,head_SHA,producer_id,policy,mask_selector,score_mode,K,reference,master,order,T,t_mAP,t_mAP50,t_mAP25,t_REC,prefix_overall_mAP,raw_current_AP,published_current_AP,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,wrong_reactivations,wrong_reactivation_rate,gap_recovery_accuracy,gap_recovery_recall,status,reason
development,PROTOCOL-B,6,129,FH-R1-native,FH-R1-native,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,SYSTEM_SELECTED_SCORE,100,all,all,all,2,,,,,,,,326,637,326,637,25,336,0,0,0,,,,0,,,,BLOCKED_ASSET,fh_native_cache_root is unavailable
development,PROTOCOL-B,6,129,FH-R1-native,FH-R1-native,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,SYSTEM_SELECTED_SCORE,100,all,all,all,3,,,,,,,,326,637,326,637,25,336,0,0,0,,,,0,,,,BLOCKED_ASSET,fh_native_cache_root is unavailable
development,PROTOCOL-B,6,129,FH-R1-native,FH-R1-native,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,SYSTEM_SELECTED_SCORE,100,all,all,all,4,,,,,,,,326,637,326,637,25,336,0,0,0,,,,0,,,,BLOCKED_ASSET,fh_native_cache_root is unavailable
development,PROTOCOL-B,6,129,FH-R1-native,FH-R1-native,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,SYSTEM_SELECTED_SCORE,100,all,all,all,5,,,,,,,,326,637,326,637,25,336,0,0,0,,,,0,,,,BLOCKED_ASSET,fh_native_cache_root is unavailable
development,PROTOCOL-B,6,129,D-LEGACY,D-LEGACY-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,2,0.24922862648963928,0.42429015040397644,0.5770128965377808,0.41084298491477966,0.3293818533420563,0.3832939863204956,0.3832939863204956,326,637,326,637,25,336,0,0,0,0.5117739403453689,0.5117739403453689,0.0744047619047619,0,,,,MEASURED_ALIAS_D0,D0 is the corrected LAST legacy route on this fixed source
development,PROTOCOL-B,6,129,D-LEGACY,D-LEGACY-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,3,0.15534649789333344,0.27921998500823975,0.44855594635009766,0.31026777625083923,0.27506813406944275,0.37418749928474426,0.37554723024368286,639,1283,697,1495,48,846,272,130,61,0.49805144193296963,0.4662207357859532,0.05673758865248227,69,0.5307692307692308,0.46923076923076923,0.22426470588235295,MEASURED_ALIAS_D0,D0 is the corrected LAST legacy route on this fixed source
development,PROTOCOL-B,6,129,D-LEGACY,D-LEGACY-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,4,0.09011446684598923,0.15753018856048584,0.31024423241615295,0.2242196649312973,0.2176332324743271,0.3669537901878357,0.36649346351623535,955,1961,1085,2484,84,1483,696,354,163,0.48699643039265683,0.4367954911433172,0.056641942009440324,191,0.53954802259887,0.4604519774011299,0.23419540229885058,MEASURED_ALIAS_D0,D0 is the corrected LAST legacy route on this fixed source
development,PROTOCOL-B,6,129,D-LEGACY,D-LEGACY-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,5,0.06433148682117462,0.11730562895536423,0.2590074837207794,0.1715535670518875,0.19659288227558136,0.36905595660209656,0.356425404548645,1262,2663,1473,3520,114,2161,1093,568,249,0.47390161472024034,0.4184659090909091,0.052753354928273946,319,0.5616197183098591,0.43838028169014087,0.22781335773101555,MEASURED_ALIAS_D0,D0 is the corrected LAST legacy route on this fixed source
development,PROTOCOL-B,6,129,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,2,0.24922862648963928,0.42429015040397644,0.5770128965377808,0.41084298491477966,0.3293818533420563,0.3832939863204956,0.3832939863204956,326,637,326,637,25,336,0,0,0,0.5117739403453689,0.5117739403453689,0.0744047619047619,0,,,,MEASURED,
development,PROTOCOL-B,6,129,D0,D0,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,3,0.15534649789333344,0.27921998500823975,0.44855594635009766,0.31026777625083923,0.27506813406944275,0.37418749928474426,0.37554723024368286,639,1283,697,1495,48,846,272,130,61,0.49805144193296963,0.4662207357859532,0.05673758865248227,69,0.5307692307692308,0.46923076923076923,0.22426470588235295,MEASURED,
