scope,method,seed,population,order_id,horizon,sequence_count,reference_cluster_count,t_mAP,t_mAP50,t_mAP25,t_REC,t_REC50,t_REC25,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC,reference_scene_id
pooled,ReScene4D-C-local-reimplementation,45,full154_t2,official,2,154,,0.2767498791217804,0.4555942714214325,0.5866539478302002,0.4144887924194336,0.568499743938446,0.652485191822052,0.4228789210319519,0.6375489234924316,0.7569398880004883,0.6223949193954468,
pooled,ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,canonical,2,43,6,0.2034766674041748,0.3142823874950409,0.5439363121986389,0.439652681350708,0.5960884690284729,0.6948032379150391,0.3691546618938446,0.5580179691314697,0.7713626623153687,0.5551176071166992,
reference_cluster,ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,canonical,2,10,1,0.3002864420413971,0.40485653281211853,0.46703270077705383,0.6350793838500977,0.8810741305351257,0.894677996635437,0.5415317416191101,0.678737223148346,0.7189660668373108,0.7073137164115906,10b17940-3938-2467-8a7a-958300ba83d3
reference_cluster,ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,canonical,2,12,1,0.2839573621749878,0.42897307872772217,0.5815049409866333,0.31770697236061096,0.4604388177394867,0.5151339769363403,0.4181027412414551,0.6086581349372864,0.7894037365913391,0.41488832235336304,137a8158-1db5-2cc0-8003-31c12610471e
reference_cluster,ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,canonical,2,5,1,0.33129531145095825,0.5535376071929932,0.7014662623405457,0.4504755437374115,0.6709239482879639,0.826003909111023,0.48730215430259705,0.7418040037155151,0.8375474214553833,0.7077012658119202,280d8ebb-6cc6-2788-9153-98959a2da801
reference_cluster,ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,canonical,2,5,1,0.14676466584205627,0.20573052763938904,0.5329563617706299,0.3263888657093048,0.4000000059604645,0.6916666030883789,0.3987298607826233,0.5961744785308838,0.83018958568573,0.5456019043922424,5630cfcf-12bf-2860-8784-83d28a611a83
reference_cluster,ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,canonical,2,5,1,0.2348363995552063,0.3757532835006714,0.5987495183944702,0.5714918971061707,0.6862454414367676,0.7498306035995483,0.4448285698890686,0.6346406936645508,0.894481897354126,0.7829221487045288,8eabc45f-5af7-2f32-8528-640861d2a135
reference_cluster,ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,canonical,2,6,1,0.1937689185142517,0.3528076112270355,0.46183258295059204,0.27623695135116577,0.53738933801651,0.7392212748527527,0.33522605895996094,0.5645797252655029,0.7069004774093628,0.4397253096103668,ddc73797-765b-241a-9e2c-097c5989baf6
pooled,ReScene4D-C-local-reimplementation,46,full154_t2,official,2,154,,0.26606613397598267,0.45312514901161194,0.5889236927032471,0.3966818153858185,0.5547064542770386,0.6406514048576355,0.4144541025161743,0.6427556276321411,0.766297459602356,0.5923308730125427,
pooled,ReScene4D-C-local-reimplementation,46,bridge43_canonical_t2,canonical,2,43,6,0.1951536387205124,0.3222947120666504,0.5332412123680115,0.4616362154483795,0.6145302057266235,0.7539095282554626,0.3597079813480377,0.5426220297813416,0.7746333479881287,0.5540141463279724,
reference_cluster,ReScene4D-C-local-reimplementation,46,bridge43_canonical_t2,canonical,2,10,1,0.2896419167518616,0.41918185353279114,0.43899160623550415,0.6569781303405762,0.8660740852355957,0.872632622718811,0.547330379486084,0.6964803338050842,0.7230625152587891,0.7405726909637451,10b17940-3938-2467-8a7a-958300ba83d3
reference_cluster,ReScene4D-C-local-reimplementation,46,bridge43_canonical_t2,canonical,2,12,1,0.2602347135543823,0.40520599484443665,0.5125010013580322,0.35934963822364807,0.45518484711647034,0.6867911219596863,0.3718659281730652,0.5686143636703491,0.7176889181137085,0.36269301176071167,137a8158-1db5-2cc0-8003-31c12610471e
reference_cluster,ReScene4D-C-local-reimplementation,46,bridge43_canonical_t2,canonical,2,5,1,0.33906880021095276,0.5329160690307617,0.6483092308044434,0.5103864669799805,0.7459454536437988,0.8605417609214783,0.4781893193721771,0.7342475652694702,0.7969743609428406,0.6874520778656006,280d8ebb-6cc6-2788-9153-98959a2da801
reference_cluster,ReScene4D-C-local-reimplementation,46,bridge43_canonical_t2,canonical,2,5,1,0.136234313249588,0.1842276155948639,0.5326075553894043,0.32152777910232544,0.46875,0.7875000238418579,0.4231065809726715,0.547339677810669,0.8838528990745544,0.5590277910232544,5630cfcf-12bf-2860-8784-83d28a611a83
reference_cluster,ReScene4D-C-local-reimplementation,46,bridge43_canonical_t2,canonical,2,5,1,0.28624868392944336,0.4176201820373535,0.6227953433990479,0.5871268510818481,0.6950732469558716,0.7539170980453491,0.4294334948062897,0.5866684913635254,0.870349109172821,0.7397143244743347,8eabc45f-5af7-2f32-8528-640861d2a135
reference_cluster,ReScene4D-C-local-reimplementation,46,bridge43_canonical_t2,canonical,2,6,1,0.19401030242443085,0.37351274490356445,0.5223321914672852,0.27064013481140137,0.531252384185791,0.8061181306838989,0.34933575987815857,0.5941997170448303,0.7420435547828674,0.524716854095459,ddc73797-765b-241a-9e2c-097c5989baf6
pooled,ReScene4D-C-local-reimplementation,47,full154_t2,official,2,154,,0.2803468108177185,0.45402970910072327,0.5880525708198547,0.3775133192539215,0.530495285987854,0.6197460889816284,0.4279651343822479,0.6358110904693604,0.7603246569633484,0.6179834008216858,
pooled,ReScene4D-C-local-reimplementation,47,bridge43_canonical_t2,canonical,2,43,6,0.20068682730197906,0.33802855014801025,0.5369054079055786,0.501695454120636,0.6221394538879395,0.6998537182807922,0.3662751615047455,0.5527542233467102,0.7692403197288513,0.6099305748939514,
