record_type,method,comparison,reference_scene_id,master_count,pooled_t_mAP,pooled_t_REC,current_stage_AP,independence_unit,order_unit_count_is_independent,paired_master_mean_delta_t_mAP,cluster_effect_min,cluster_effect_max,cluster_bootstrap_95_low,cluster_bootstrap_95_high,bootstrap_replicates,bootstrap_seed,interval_interpretation
pooled_descriptive,FullHistory,canonical,pooled-43,43,0.20722658932209015,0.349545419216156,0.36980727314949036,reference_scene_id,false,,,,,,,,
pooled_descriptive,Persist4D-V2,canonical,pooled-43,43,0.2149520218372345,0.3534661531448364,0.36135682463645935,reference_scene_id,false,,,,,,,,
pooled_descriptive,FullHistory,reverse,pooled-43,43,0.21109874546527863,0.3575153052806854,0.3819788098335266,reference_scene_id,false,,,,,,,,
pooled_descriptive,Persist4D-V2,reverse,pooled-43,43,0.21162836253643036,0.3542424142360687,0.3749467134475708,reference_scene_id,false,,,,,,,,
pooled_descriptive,FullHistory,sha256_seed45,pooled-43,43,0.1711808741092682,0.3174183666706085,0.407415509223938,reference_scene_id,false,,,,,,,,
pooled_descriptive,Persist4D-V2,sha256_seed45,pooled-43,43,0.19893194735050201,0.3360233008861542,0.3985053598880768,reference_scene_id,false,,,,,,,,
cluster_effect,FullHistory,reverse-minus-canonical,10b17940-3938-2467-8a7a-958300ba83d3,10,,,,reference_scene_id,false,-0.013220098614692689,,,,,,,
cluster_effect,FullHistory,reverse-minus-canonical,137a8158-1db5-2cc0-8003-31c12610471e,12,,,,reference_scene_id,false,-0.004261343429485957,,,,,,,
cluster_effect,FullHistory,reverse-minus-canonical,280d8ebb-6cc6-2788-9153-98959a2da801,5,,,,reference_scene_id,false,0.012423604726791382,,,,,,,
cluster_effect,FullHistory,reverse-minus-canonical,5630cfcf-12bf-2860-8784-83d28a611a83,5,,,,reference_scene_id,false,0.011342594027519226,,,,,,,
cluster_effect,FullHistory,reverse-minus-canonical,8eabc45f-5af7-2f32-8528-640861d2a135,5,,,,reference_scene_id,false,-0.004868263006210327,,,,,,,
cluster_effect,FullHistory,reverse-minus-canonical,ddc73797-765b-241a-9e2c-097c5989baf6,6,,,,reference_scene_id,false,0.004782520234584808,,,,,,,
