method,seed,population,reference_scene_id,master_sequence_id,sequence_id,order_id,horizon,scan_id_1,scan_id_2,t_mAP,t_mAP50,t_mAP25,t_REC,t_REC50,t_REC25,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC
ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,scene0069_00-scene0069_02,canonical,2,scene0069_00,scene0069_02,0.3798353970050812,0.5388888716697693,0.5601851940155029,0.6697530746459961,0.8055555820465088,0.8333333134651184,0.7063491940498352,0.8214285969734192,0.8214285969734192,0.8171296119689941
ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,scene0069_01-scene0069_06,canonical,2,scene0069_01,scene0069_06,0.6539351940155029,0.84375,0.84375,0.8018518686294556,0.949999988079071,0.949999988079071,0.8209876418113708,1.0,1.0,0.8518518209457397
ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,scene0069_02-scene0069_04,canonical,2,scene0069_02,scene0069_04,0.4139232039451599,0.6111111044883728,0.7222222089767456,0.45370373129844666,0.75,0.8166666626930237,0.5257630348205566,0.6944444179534912,0.8055555820465088,0.6203703880310059
ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,scene0069_03-scene0069_01,canonical,2,scene0069_03,scene0069_01,0.49151235818862915,0.5370370745658875,0.7037037014961243,0.7481482028961182,0.7888889312744141,0.8888888955116272,0.7435279488563538,0.8571428656578064,1.0,0.8388888835906982
ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,scene0069_04-scene0069_03,canonical,2,scene0069_04,scene0069_03,0.30943697690963745,0.47685182094573975,0.5740740299224854,0.3861111104488373,0.6499999761581421,0.6499999761581421,0.5231481194496155,0.569444477558136,0.7083333134651184,0.6666666865348816
ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_05-scene0069_08-scene0069_07-scene0069_00-scene0069_02,scene0069_05-scene0069_08,canonical,2,scene0069_05,scene0069_08,0.32754629850387573,0.34375,0.34375,0.5069444179534912,0.5208333730697632,0.5208333730697632,0.5714285969734192,0.5714285969734192,0.5714285969734192,0.75
ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_06-scene0069_09-scene0069_05-scene0069_08-scene0069_07,scene0069_06-scene0069_09,canonical,2,scene0069_06,scene0069_09,0.434027761220932,0.53125,0.53125,0.5462962985038757,0.6666666269302368,0.6666666269302368,0.6666666865348816,0.7857142686843872,0.7857142686843872,0.8500000238418579
ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_07-scene0069_00-scene0069_02-scene0069_04-scene0069_03,scene0069_07-scene0069_00,canonical,2,scene0069_07,scene0069_00,0.4016754627227783,0.5873015522956848,0.6990740895271301,0.5264550447463989,0.785714328289032,0.8333333134651184,0.5740740299224854,0.8611111044883728,0.8935185670852661,0.8015872836112976
ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_08-scene0069_07-scene0069_00-scene0069_02-scene0069_04,scene0069_08-scene0069_07,canonical,2,scene0069_08,scene0069_07,0.3571428656578064,0.4365079402923584,0.4365079402923584,0.6018518805503845,0.75,0.75,0.699999988079071,0.800000011920929,0.800000011920929,0.7222222685813904
ReScene4D-C-local-reimplementation,45,bridge43_canonical_t2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_09-scene0069_05-scene0069_08-scene0069_07-scene0069_00,scene0069_09-scene0069_05,canonical,2,scene0069_09,scene0069_05,0.34567901492118835,0.4722222089767456,0.4722222089767456,0.4081481397151947,0.5666666626930237,0.5666666626930237,0.53125,0.65625,0.65625,0.7453703880310059
