method,reference_scene_id,T,repeat,input_load_ms,filesystem_cache_state
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,5,2,47.420536,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,1,-1,27.282476,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,2,-1,34.834451,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,3,-1,40.834548,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,4,-1,45.728743,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,5,-1,53.28029,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,1,0,27.666429,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,2,0,32.77446,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,3,0,44.221431,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,4,0,47.895077,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,5,0,48.918303,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,1,1,27.704388,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,2,1,31.883479,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,3,1,44.463854,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,4,1,43.005308,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,5,1,50.066093,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,1,2,26.686522,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,2,2,36.215465,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,3,2,42.178867,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,4,2,45.288513,UNCONTROLLED
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,5,2,50.042488,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,1,-1,29.928961,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,2,-1,58.275039,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,3,-1,53.647336,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,4,-1,64.098601,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,5,-1,78.491267,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,1,0,30.235959,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,2,0,44.376681,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,3,0,54.320242,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,4,0,63.40391,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,5,0,82.197082,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,1,1,30.114321,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,2,1,44.766573,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,3,1,53.769399,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,4,1,70.274144,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,5,1,84.405027,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,1,2,29.914247,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,2,2,44.528938,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,3,2,56.458689,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,4,2,63.576319,UNCONTROLLED
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,5,2,80.738497,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,1,-1,20.162746,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,2,-1,32.430699,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,3,-1,43.336565,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,4,-1,52.361085,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,5,-1,59.565682,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,1,0,20.941697,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,2,0,31.602217,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,3,0,42.596174,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,4,0,47.431749,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,5,0,57.942367,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,1,1,26.70867,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,2,1,32.558189,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,3,1,40.054781,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,4,1,50.890837,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,5,1,56.987305,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,1,2,20.600543,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,2,2,36.333441,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,3,2,41.883447,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,4,2,49.657872,UNCONTROLLED
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,5,2,54.492506,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,1,-1,30.602242,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,2,-1,43.720575,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,3,-1,54.009397,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,4,-1,56.894543,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,5,-1,77.095197,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,1,0,34.73381,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,2,0,44.580121,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,3,0,61.820319,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,4,0,65.874221,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,5,0,71.187686,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,1,1,37.166048,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,2,1,64.025915,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,3,1,56.556198,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,4,1,94.189283,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,5,1,101.111242,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,1,2,39.639904,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,2,2,60.467285,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,3,2,74.999759,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,4,2,116.441094,UNCONTROLLED
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,5,2,85.98469,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,1,-1,32.769794,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,2,-1,47.79384,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,3,-1,61.005379,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,4,-1,63.87751,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,5,-1,94.369801,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,1,0,30.258112,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,2,0,47.236028,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,3,0,58.539577,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,4,0,64.83304,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,5,0,94.04758,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,1,1,30.732449,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,2,1,43.892851,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,3,1,55.658275,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,4,1,66.665704,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,5,1,72.41968,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,1,2,31.801095,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,2,2,44.919423,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,3,2,65.175073,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,4,2,71.223187,UNCONTROLLED
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,5,2,87.848319,UNCONTROLLED
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,5,-1,106.063979,UNCONTROLLED
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,5,0,107.943768,UNCONTROLLED
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,5,1,123.469806,UNCONTROLLED
R1-D0,10b17940-3938-2467-8a7a-958300ba83d3,5,2,166.08469,UNCONTROLLED
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,5,-1,155.800788,UNCONTROLLED
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,5,0,146.889781,UNCONTROLLED
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,5,1,144.531418,UNCONTROLLED
R1-D0,137a8158-1db5-2cc0-8003-31c12610471e,5,2,149.162113,UNCONTROLLED
R1-D0,280d8ebb-6cc6-2788-9153-98959a2da801,5,-1,254.787883,UNCONTROLLED
R1-D0,280d8ebb-6cc6-2788-9153-98959a2da801,5,0,233.258138,UNCONTROLLED
R1-D0,280d8ebb-6cc6-2788-9153-98959a2da801,5,1,234.199056,UNCONTROLLED
R1-D0,280d8ebb-6cc6-2788-9153-98959a2da801,5,2,290.748118,UNCONTROLLED
R1-D0,5630cfcf-12bf-2860-8784-83d28a611a83,5,-1,148.073067,UNCONTROLLED
R1-D0,5630cfcf-12bf-2860-8784-83d28a611a83,5,0,136.662741,UNCONTROLLED
R1-D0,5630cfcf-12bf-2860-8784-83d28a611a83,5,1,153.506881,UNCONTROLLED
R1-D0,5630cfcf-12bf-2860-8784-83d28a611a83,5,2,158.540312,UNCONTROLLED
R1-D0,8eabc45f-5af7-2f32-8528-640861d2a135,5,-1,200.364963,UNCONTROLLED
R1-D0,8eabc45f-5af7-2f32-8528-640861d2a135,5,0,167.316557,UNCONTROLLED
R1-D0,8eabc45f-5af7-2f32-8528-640861d2a135,5,1,186.442995,UNCONTROLLED
R1-D0,8eabc45f-5af7-2f32-8528-640861d2a135,5,2,170.559434,UNCONTROLLED
R1-D0,ddc73797-765b-241a-9e2c-097c5989baf6,5,-1,216.260704,UNCONTROLLED
R1-D0,ddc73797-765b-241a-9e2c-097c5989baf6,5,0,198.122854,UNCONTROLLED
R1-D0,ddc73797-765b-241a-9e2c-097c5989baf6,5,1,187.288571,UNCONTROLLED
R1-D0,ddc73797-765b-241a-9e2c-097c5989baf6,5,2,185.422761,UNCONTROLLED
