method,reference_scene_id,master_sequence_id,order_id,T,repeat,input_prepare_ms,network_forward_ms,scorer_ms,refiner_ms,state_update_ms,materialize_ms,end_to_end_ms,prefix_cumulative_ms,peak_allocated_bytes,peak_reserved_bytes,cpu_rss_bytes,resident_state_bytes,soft_buffer_bytes,archive_bytes,window_voxel_points,window_segments
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,0,99.835439,439.27937,0.0,0.0,0.0,224.641542,763.7925,1364.019262,1515893760,8095006720,2388836352,0,0,0,65164,1961
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0,154.113116,548.030798,0.0,0.0,0.0,421.912736,1124.098053,2488.117315,1915132928,8095006720,2388836352,0,0,0,92769,3014
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0,176.008911,622.579418,0.0,0.0,0.0,463.806345,1262.431902,3750.5492169999998,2173818368,8095006720,2388836352,0,0,0,111735,3721
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,0,239.734387,761.055196,0.0,0.0,0.0,715.058186,1715.890646,5466.439863,2720326656,8095006720,2388836352,0,0,0,150718,4831
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,1,101.748715,438.901469,0.0,0.0,0.0,215.289421,755.981529,1353.105841,1515893760,8095006720,2388836352,0,0,0,65164,1961
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,1,148.66402,548.668619,0.0,0.0,0.0,389.605052,1086.974884,2440.080725,1915132928,8095006720,2388836352,0,0,0,92769,3014
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,1,170.330687,616.174166,0.0,0.0,0.0,478.085656,1264.627177,3704.707902,2173818368,8095006720,2388836352,0,0,0,111735,3721
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,1,239.090351,779.800206,0.0,0.0,0.0,699.563479,1718.491214,5423.199116,2720326656,8095006720,2388836352,0,0,0,150718,4831
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,104.605803,443.760275,0.0,0.0,0.0,218.542226,766.943606,1364.533094,1515893760,8095006720,2388836352,0,0,0,65164,1961
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,2,144.11673,545.754226,0.0,0.0,0.0,387.689548,1077.597871,2442.130965,1915132928,8095006720,2388836352,0,0,0,92769,3014
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,2,172.752252,614.776905,0.0,0.0,0.0,495.724385,1283.291136,3725.422101,2173818368,8095006720,2388836352,0,0,0,111735,3721
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,2,225.704353,773.73931,0.0,0.0,0.0,676.524918,1676.00565,5401.427751,2720326656,8095006720,2388836352,0,0,0,150718,4831
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,2,0,156.775495,517.476895,0.0,0.0,0.0,319.789828,994.081779,1837.902949,1819833856,10622074880,2400321536,0,0,0,85754,2689
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,3,0,218.629833,697.021086,0.0,0.0,0.0,566.377335,1482.06631,3319.969259,2474959872,10622074880,2400321536,0,0,0,131573,4315
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,4,0,237.021773,743.207436,0.0,0.0,0.0,638.70538,1618.972859,4938.942118,2636235776,10622074880,2400321536,0,0,0,142835,4709
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,5,0,271.734766,839.228464,0.0,0.0,0.0,782.656666,1893.656428,6832.598546,2991079936,10622074880,2400321536,0,0,0,168113,5627
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,2,1,156.165607,514.600021,0.0,0.0,0.0,320.463119,991.272023,1827.997341,1819833856,10622074880,2400321536,0,0,0,85754,2689
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,3,1,221.691471,691.241082,0.0,0.0,0.0,609.410503,1522.381929,3350.37927,2474959872,10622074880,2400321536,0,0,0,131573,4315
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,4,1,237.79045,743.796358,0.0,0.0,0.0,641.696118,1623.320288,4973.699558,2636235776,10622074880,2400321536,0,0,0,142835,4709
