method,reference_scene_id,T,master_sequence_id,measured_repeats,median_input_prepare_ms,minimum_input_prepare_ms,maximum_input_prepare_ms,median_network_forward_ms,minimum_network_forward_ms,maximum_network_forward_ms,median_scorer_ms,minimum_scorer_ms,maximum_scorer_ms,median_refiner_ms,minimum_refiner_ms,maximum_refiner_ms,median_state_update_ms,minimum_state_update_ms,maximum_state_update_ms,median_materialize_ms,minimum_materialize_ms,maximum_materialize_ms,median_end_to_end_ms,minimum_end_to_end_ms,maximum_end_to_end_ms,median_prefix_cumulative_ms,minimum_prefix_cumulative_ms,maximum_prefix_cumulative_ms,maximum_peak_allocated_bytes,maximum_peak_reserved_bytes,maximum_cpu_rss_bytes,maximum_resident_state_bytes,maximum_soft_buffer_bytes,maximum_archive_bytes
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,4,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,3,258.41933,218.298314,286.936162,757.766793,756.980614,805.889072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.158434,654.198981,735.197371,1670.4222,1658.473656,1828.070292,4624.951647,4591.566237999999,5042.366856000001,2719516672,21414019072,2413133824,0,0,0
FH-R1-native,5630cfcf-12bf-2860-8784-83d28a611a83,5,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,3,286.855302,286.478362,383.704034,930.72156,927.832391,979.812853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.443171,984.785937,1062.431529,2276.783448,2202.399192,2413.010523,7004.576760999999,6827.350839,7319.150304000001,3318796288,21414019072,2413133824,0,0,0
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,2,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,3,262.373636,256.861317,325.351998,732.300217,720.444456,776.03315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.055626,679.259215,720.141795,1692.407319,1674.021085,1821.575213,2705.9946449999998,2693.201723,2731.654337,2546152960,21414019072,2413133824,0,0,0
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,3,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,3,325.166116,313.287146,449.795801,924.651818,862.821263,938.682837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.914109,823.029481,1051.656081,2297.52946,1999.175715,2301.627522,4994.829245000001,4705.17036,5029.183797,3021490688,21414019072,2413133824,0,0,0
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,4,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,3,536.507174,420.567909,605.440897,1144.749599,1087.730012,1146.474946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281.587721,1211.537516,1301.402081,2962.959737,2809.736856,2963.574774,7958.404019000001,7514.907216,7992.143534,3765902848,21414019072,2413133824,0,0,0
FH-R1-native,8eabc45f-5af7-2f32-8528-640861d2a135,5,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,3,476.915784,475.93125,477.340466,1228.6987,1224.108368,1262.186088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.99003,1372.211442,1496.824338,3111.369221,3080.071587,3202.999276,11069.773240000002,10594.978803,11195.14281,4241058304,21414019072,2413133824,0,0,0
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,2,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,3,246.198588,239.558024,246.995964,705.44169,703.6412,710.034454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.142568,664.345294,687.44837,1633.617538,1607.602035,1643.729645,2522.4443309999997,2475.413394,2557.929061,2468527104,21414019072,2413133824,0,0,0
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,3,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,3,387.490467,375.243984,401.919104,1002.162539,1001.964055,1004.302109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.023601,1092.720665,1127.890205,2496.645472,2478.470064,2519.736595,5000.914395,4972.058866,5077.665655999999,3463305728,21414019072,2413133824,0,0,0
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,4,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,3,436.902422,417.522382,444.486126,1109.288119,1104.431953,1148.626313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.198052,1162.042335,1376.487317,2724.047051,2711.012777,2962.091771,7724.961445999999,7683.071643,8039.757426999999,3806471680,21414019072,2413133824,0,0,0
FH-R1-native,ddc73797-765b-241a-9e2c-097c5989baf6,5,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,3,558.798521,470.030933,577.969865,1170.390883,1169.315629,1211.854345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.138341,1305.491169,1472.272374,3120.327686,2945.97941,3262.150998,10987.112443999999,10629.051053,11160.085113,4017501184,21414019072,2413133824,0,0,0
