metric,horizon,cluster_count,bootstrap_replicates,seed,full_history_mean,persist4d_mean,difference,relative_difference,ci_lower,ci_upper
causal_prefix_t_mAP,2,6,10000,45,0.3470343644834227,0.31644936552685166,-0.03058499895657102,-0.08813247933557894,-0.06788836895591682,0.012020101501709882
causal_prefix_t_mAP,3,6,10000,45,0.24245027807299738,0.23939799252656047,-0.0030522855464369114,-0.0125893258225834,-0.039953680329576684,0.034884311176008646
causal_prefix_t_mAP,4,6,10000,45,0.16807925926728384,0.16555733988406482,-0.0025219193832190234,-0.015004346129397227,-0.0495998103223327,0.046760431540854
causal_prefix_t_mAP,5,6,10000,45,0.12502064363755008,0.13594717017150726,0.010926526533957176,0.08739777860714343,-0.03391729761432441,0.05788932381870432
causal_prefix_t_REC,2,6,10000,45,0.40333361319369737,0.38368416919062537,-0.019649444003072003,-0.04871759595606908,-0.07207645895994375,0.03502627659192358
causal_prefix_t_REC,3,6,10000,45,0.3008374868512705,0.2846765215267186,-0.016160965324551912,-0.053719918663399986,-0.06581535281406507,0.034740387606951945
causal_prefix_t_REC,4,6,10000,45,0.21669571146506952,0.20215083746480997,-0.014544874000259556,-0.06712118990229361,-0.07808684176351462,0.048997093762995464
causal_prefix_t_REC,5,6,10000,45,0.16211643598076922,0.1653303341784825,0.003213898197713283,0.01982462899748503,-0.05052904083772941,0.05885610827934686
normalized_id_switch_rate,2,6,10000,45,0.9910978835978835,0.22635341510341508,-0.7647444684944684,-0.7716134613447998,-0.930410052910053,-0.5815259740259741
normalized_id_switch_rate,3,6,10000,45,0.9816946633613303,0.18016966639261012,-0.8015249969687201,-0.8164707692555772,-0.9104026052510902,-0.6797043564900708
normalized_id_switch_rate,4,6,10000,45,0.9838424653369038,0.13623177731158534,-0.8476106880253185,-0.8615309034613234,-0.9105369874659547,-0.7765767518716874
normalized_id_switch_rate,5,6,10000,45,0.9840415636849184,0.13220902336339388,-0.8518325403215244,-0.8656469114289098,-0.9052751506711402,-0.793535330953206
gap_recovery_recall,2,0,10000,45,,,,,,
gap_recovery_recall,3,5,10000,45,0.0,0.277188865884518,0.277188865884518,,0.14959627329192543,0.4203703703703704
gap_recovery_recall,4,6,10000,45,0.010638620638620639,0.40414102872436203,0.3935024080857414,36.98810413985787,0.17784139620300332,0.6624278543326162
gap_recovery_recall,5,6,10000,45,0.010741310322240733,0.419877707062684,0.4091363967404433,38.08998943949082,0.20377098099296295,0.666592748814971
median_latency_ms,2,6,10000,45,594.3864355,607.6912218333333,13.304786333333368,0.022384067903806277,10.938983916666672,15.361645749999989
median_latency_ms,3,6,10000,45,782.8713475833333,553.5316791666667,-229.33966841666665,-0.2929468157502781,-276.48973858333335,-180.56607583333331
median_latency_ms,4,6,10000,45,909.650686,491.9020175833334,-417.74866841666653,-0.4592407556505339,-516.4717148333333,-316.53136783333326
median_latency_ms,5,6,10000,45,1080.0877328333333,472.12013099999996,-607.9676018333334,-0.562887239019451,-741.6650415833334,-471.4909878333333
