method,horizon,deployment_id_switches,identity_transition_opportunities,normalized_id_switch_rate,fragmentation_count,fragmentation_opportunities,fragmentation_rate,merge_count,merge_opportunities,merge_rate
FullHistory,2,458,463,0.9892008639308856,458,463,0.9892008639308856,42,47,0.8936170212765957
Persist4D,2,47,463,0.10151187904967603,47,463,0.10151187904967603,80,496,0.16129032258064516
FullHistory,3,931,950,0.98,1066,1087,0.9806807727690893,141,162,0.8703703703703703
Persist4D,3,96,963,0.09968847352024922,99,1106,0.08951175406871609,159,1166,0.13636363636363635
FullHistory,4,1442,1469,0.9816201497617427,1810,1869,0.9684323167469235,294,353,0.8328611898016998
Persist4D,4,154,1488,0.10349462365591398,167,1865,0.08954423592493298,245,1943,0.12609366958311888
FullHistory,5,1978,2017,0.9806643529995042,2613,2699,0.9681363467951093,488,574,0.8501742160278746
Persist4D,5,226,2029,0.11138491867915229,236,2673,0.08829031051253274,317,2754,0.11510530137981119
