metric,horizon,direction_reversal,canonical_difference,reverse_difference,sha256_seed45_difference
causal_prefix_t_mAP,2,False,-0.04259599346754163,-0.04551107260983351,-0.012985949252927027
causal_prefix_t_mAP,3,True,-0.0020182703426757523,2.9643022910107013e-05,0.0015594530634062236
causal_prefix_t_mAP,4,True,0.010115143041624579,-0.00011477043289084767,0.0033261055928156817
causal_prefix_t_mAP,5,True,0.022875088721860285,-0.0005936630091868168,0.030724324751645327
causal_prefix_t_REC,2,True,-0.02373423132785531,-0.03584312448321387,0.0015462751305380532
causal_prefix_t_REC,3,False,-0.012434946633009024,-0.01794620079183301,-0.011149055692692136
causal_prefix_t_REC,4,False,-0.001301513941482056,-0.006980794265346472,-0.011958591921558214
causal_prefix_t_REC,5,True,0.016892253529540328,-0.009566489000653112,0.023291957174796006
normalized_id_switch_rate,2,False,-0.8632173382173383,-0.8993265993265993,-0.6739837398373983
normalized_id_switch_rate,3,False,-0.8236884808313379,-0.8505534743034744,-0.773214640656501
normalized_id_switch_rate,4,False,-0.842650205191096,-0.8737443184532504,-0.8417919745553127
normalized_id_switch_rate,5,False,-0.8537280084084149,-0.8847674694598197,-0.8376978175626619
gap_recovery_recall,2,,,,
gap_recovery_recall,3,False,0.3015707671957672,0.3318452380952381,0.19047619047619044
gap_recovery_recall,4,False,0.30244577952911283,0.3205710184876851,0.26922623172623167
gap_recovery_recall,5,False,0.32482617668279434,0.338988820380223,0.35943368646857016
