method,horizon,cumulative_median_latency_ms,cumulative_scans_processed,mean_cumulative_point_count
FullHistory,2,597.33935225,2.0,143202.5
FullHistory,3,1381.77140175,5.0,350632.8333333333
FullHistory,4,2314.59209675,9.0,598479.8333333334
FullHistory,5,3382.2254970000004,14.0,905141.0
Persist4D,2,610.6198075,2.0,143202.5
Persist4D,3,1149.964657,4.0,270400.3333333333
Persist4D,4,1645.362439,6.0,375044.8333333333
Persist4D,5,2085.7911384999998,8.0,474275.6666666667
