method,reference_scene_id,master_sequence_id,order_id,horizon,status,error_type,error_message,median_latency_ms,mean_latency_ms,std_latency_ms,peak_allocated_bytes,peak_reserved_bytes,peak_allocated_mib,peak_reserved_mib,update_scan_count,cumulative_scan_count,update_point_count,cumulative_point_count,model_input_bytes,cumulative_model_input_bytes,persistent_state_bytes,explicit_history_input_bytes
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,pass,,,436.0032665,437.0662008,2.9462981628079987,1600581632,2298478592,1526.43359375,2192.0,2,2,87611,87611,12088688,12088688,,12088688
Persist4D,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,pass,,,444.4854675,444.7134959,0.7530453569468979,1600268288,2334130176,1526.134765625,2226.0,2,2,87611,87611,12088688,12088688,61008,
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,pass,,,541.1954535,541.7200434,1.5047247102023789,2011760640,3026190336,1918.564453125,2886.0,3,5,126591,214202,17239596,29328284,,17239596
Persist4D,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,pass,,,398.478651,398.6805832,1.2763235278047478,1399111680,1952448512,1334.296875,1862.0,2,4,71425,159036,9493696,21582384,61008,
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,pass,,,619.0133619999999,618.8695719,1.2771194509275525,2267302912,3317694464,2162.2685546875,3164.0,4,9,154346,368548,20794108,50122392,,20794108
Persist4D,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,pass,,,377.606333,377.7002192,0.4111119854163304,1332170240,1868562432,1270.45654296875,1782.0,2,6,66735,225771,8688036,30270420,61008,
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,pass,,,770.9469575,771.4230668,1.5708652954517734,2816404992,4383047680,2685.93310546875,4180.0,5,14,205984,574532,28013536,78135928,,28013536
Persist4D,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,pass,,,411.52205649999996,411.5572867,2.4739873406148742,1482713088,2092957696,1414.025390625,1996.0,2,8,79393,305164,10747536,41017956,61008,
FullHistory,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,2,pass,,,509.2701975,509.1401675,0.6434756331027995,1947138048,2835349504,1856.935546875,2704.0,2,2,113770,113770,15883992,15883992,,15883992
Persist4D,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,2,pass,,,520.7616365,521.0014753,1.2307284752084042,1912265728,2831155200,1823.6787109375,2700.0,2,2,113770,113770,15883992,15883992,61008,
FullHistory,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,3,pass,,,690.9151965,691.3779839,1.7064808159723615,2584879616,4034920448,2465.13330078125,3848.0,3,5,175774,289544,24390380,40274372,,24390380
Persist4D,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,3,pass,,,447.48053949999996,447.5033934,1.0947473831193428,1608118784,2271215616,1533.62158203125,2166.0,2,4,85522,199292,11928000,27811992,61008,
FullHistory,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,4,pass,,,740.625602,740.836683,0.6843021370565788,2742358016,4213178368,2615.31640625,4018.0,4,9,190080,479624,26466252,66740624,,26466252
Persist4D,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,4,pass,,,422.36885800000005,422.4201605,0.5241091228691315,1499720192,2118123520,1430.24462890625,2020.0,2,6,76310,275602,10565040,38377032,61008,
FullHistory,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,5,pass,,,848.6932684999999,848.8465441,1.0010569408201806,3098420736,4846518272,2954.88427734375,4622.0,5,14,224746,704370,31166508,97907132,,31166508
Persist4D,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,5,pass,,,349.94503399999996,350.2215087,1.2937679983388028,1207824896,1656750080,1151.87158203125,1580.0,2,8,48972,324574,6779572,45156604,61008,
FullHistory,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,2,pass,,,685.408507,685.45125,0.9277325509562492,2606006272,3942645760,2485.28125,3760.0,2,2,184174,184174,23984064,23984064,,23984064
Persist4D,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,2,pass,,,700.4779785000001,700.5278955,1.3260644525093275,2583172096,3963617280,2463.5048828125,3780.0,2,2,184174,184174,23984064,23984064,61008,
FullHistory,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,pass,,,922.769033,922.9395747,2.065846887625116,3403608576,5286920192,3245.93408203125,5042.0,3,5,265887,450061,34629312,58613376,,34629312
Persist4D,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,pass,,,645.5327015,645.3916868,0.6408058924081161,2415183360,3594518528,2303.29833984375,3428.0,2,4,167087,351261,21736604,45720668,61008,
FullHistory,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,pass,,,1107.6215085,1108.2495713,2.132909503125077,4029839872,6329204736,3843.15478515625,6036.0,4,9,326452,776513,42864380,101477756,,42864380
Persist4D,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,pass,,,588.126716,588.5396885,0.9350231806392056,2197756416,3282042880,2095.94384765625,3130.0,2,6,142278,493539,18798152,64518820,61008,
FullHistory,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,pass,,,1478.6171075,1477.1303391000001,3.11072307550742,5205187584,8401190912,4964.0537109375,8012.0,5,14,454986,1231499,58989016,160466772,,58989016
Persist4D,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,pass,,,707.5414505,707.2131141,1.440092291056831,2593016832,3946840064,2472.8935546875,3764.0,2,8,189099,682638,24427600,88946420,61008,
FullHistory,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,pass,,,489.5087775,490.14253759999997,1.8523752279609107,1921651712,2736783360,1832.6298828125,2610.0,2,2,108716,108716,15072508,15072508,,15072508
Persist4D,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,pass,,,501.9795875,501.6564484,1.076569393377698,1840994816,2768240640,1755.70947265625,2640.0,2,2,108716,108716,15072508,15072508,61008,
FullHistory,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,3,pass,,,645.895819,645.8555006,0.8492268192070302,2423502848,3655335936,2311.232421875,3486.0,3,5,162752,271468,22557444,37629952,,22557444
Persist4D,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,3,pass,,,502.379321,502.4278823,0.85060564600843,1839915520,2669674496,1754.68017578125,2546.0,2,4,109605,218321,15156432,30228940,61008,
