variant,completed_epoch,optimizer_step,train_log_step,stage1_mAP,stage2_mAP,overall_mAP,t_mAP,t_mAP50,t_mAP25,SpatialStageMean,candidate_id,config_sha256,variant_authorization_sha256,metrics_csv_sha256
R1,15,990,989,0.03422804921865463,0.033359840512275696,0.031515710055828094,0.02240157499909401,0.04423246160149574,0.11670374870300293,0.033793944865465164,510677dd89bca4bfcc3c4ff110a1235dd205afca497383d52e69a07a928ea3dd,3846415b6de3ea12b7b08d39ea20398916dd685c99ce7ad33e42df17d9ac6536,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,7b9d3d020558d37139bde54998aa1d9d09092cac22790ad4ce0c7bb11c2257bd
R1,30,1980,1979,0.1578657627105713,0.17170315980911255,0.14980360865592957,0.1199217438697815,0.21141894161701202,0.36732661724090576,0.16478446125984192,510677dd89bca4bfcc3c4ff110a1235dd205afca497383d52e69a07a928ea3dd,3846415b6de3ea12b7b08d39ea20398916dd685c99ce7ad33e42df17d9ac6536,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,2e66075c16d670a8b3af9ed225c3270bc6ee24a0a66529d8e246777d435c6a66
R1,45,2970,2969,0.27251026034355164,0.2787869870662689,0.25528669357299805,0.185026615858078,0.33119335770606995,0.5442582368850708,0.2756486237049103,510677dd89bca4bfcc3c4ff110a1235dd205afca497383d52e69a07a928ea3dd,3846415b6de3ea12b7b08d39ea20398916dd685c99ce7ad33e42df17d9ac6536,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,f1ecd799304d1cc21f012630c5c0b890ad9dfa950b8f351a7dd2b9ea39b107c9
R1,60,3960,3959,0.3002795875072479,0.31527048349380493,0.27505043148994446,0.20152173936367035,0.3327942192554474,0.5944536924362183,0.30777503550052643,510677dd89bca4bfcc3c4ff110a1235dd205afca497383d52e69a07a928ea3dd,3846415b6de3ea12b7b08d39ea20398916dd685c99ce7ad33e42df17d9ac6536,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,f1ecd799304d1cc21f012630c5c0b890ad9dfa950b8f351a7dd2b9ea39b107c9
R1,75,4950,4949,0.3309144973754883,0.3277986943721771,0.2838006019592285,0.20502188801765442,0.35430824756622314,0.6031306385993958,0.3293565958738327,510677dd89bca4bfcc3c4ff110a1235dd205afca497383d52e69a07a928ea3dd,3846415b6de3ea12b7b08d39ea20398916dd685c99ce7ad33e42df17d9ac6536,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,f1ecd799304d1cc21f012630c5c0b890ad9dfa950b8f351a7dd2b9ea39b107c9
R1,90,5940,5939,0.3600327968597412,0.35856422781944275,0.3223942220211029,0.23053981363773346,0.40080106258392334,0.6070623397827148,0.359298512339592,510677dd89bca4bfcc3c4ff110a1235dd205afca497383d52e69a07a928ea3dd,3846415b6de3ea12b7b08d39ea20398916dd685c99ce7ad33e42df17d9ac6536,7c9dee029bf1998d57834757a9d6428582845f81cba70c3ab14370b08c4fa191,f1ecd799304d1cc21f012630c5c0b890ad9dfa950b8f351a7dd2b9ea39b107c9
A1,15,990,989,0.07717425376176834,0.08424045145511627,0.07377009093761444,0.055176910012960434,0.1323254257440567,0.23769627511501312,0.0807073526084423,f9b660495ca07dcbe9eb331ad3e52cbb3724caca6b1f68abc0e6c7ad0b1438c0,4b193162acc5c3a54ea57c5b14b6c9909745e68d16fe7f92687462fadb283d9c,969f42e7debcc8de259f5327fd144bb04f9f3dbd3d81bfd534ddd8f371cd8d3b,3919e85712909fe43869aa36e254b36840bd02958672e77e640b4e798638a373
A1,30,1980,1979,0.16269636154174805,0.16731396317481995,0.14577597379684448,0.11117871850728989,0.2163187712430954,0.413912832736969,0.165005162358284,f9b660495ca07dcbe9eb331ad3e52cbb3724caca6b1f68abc0e6c7ad0b1438c0,4b193162acc5c3a54ea57c5b14b6c9909745e68d16fe7f92687462fadb283d9c,969f42e7debcc8de259f5327fd144bb04f9f3dbd3d81bfd534ddd8f371cd8d3b,3919e85712909fe43869aa36e254b36840bd02958672e77e640b4e798638a373
A1,45,2970,2969,0.2606666386127472,0.2630904018878937,0.23257936537265778,0.157451793551445,0.32246527075767517,0.5606842041015625,0.26187852025032043,f9b660495ca07dcbe9eb331ad3e52cbb3724caca6b1f68abc0e6c7ad0b1438c0,4b193162acc5c3a54ea57c5b14b6c9909745e68d16fe7f92687462fadb283d9c,969f42e7debcc8de259f5327fd144bb04f9f3dbd3d81bfd534ddd8f371cd8d3b,3919e85712909fe43869aa36e254b36840bd02958672e77e640b4e798638a373
A1,60,3960,3959,0.32279229164123535,0.31568512320518494,0.28287577629089355,0.2073969691991806,0.3983558416366577,0.6046708822250366,0.31923870742321014,f9b660495ca07dcbe9eb331ad3e52cbb3724caca6b1f68abc0e6c7ad0b1438c0,4b193162acc5c3a54ea57c5b14b6c9909745e68d16fe7f92687462fadb283d9c,969f42e7debcc8de259f5327fd144bb04f9f3dbd3d81bfd534ddd8f371cd8d3b,3919e85712909fe43869aa36e254b36840bd02958672e77e640b4e798638a373
