tracker,score_reducer,reference_scene_id,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,trajectory_current_slice_AP,trajectory_current_slice_AP50,trajectory_current_slice_AP25,trajectory_current_slice_REC,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC,inference_unit
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,canonical,2,10,0.3624708950519562,0.5286058783531189,0.5542689561843872,0.5463483929634094,0.6961400508880615,0.7262986898422241,0.556598961353302,0.7414668202400208,0.7678972482681274,0.7352715730667114,0.556598961353302,0.7414668202400208,0.7678972482681274,0.7352715730667114,reference_scene_id
B2,latest,137a8158-1db5-2cc0-8003-31c12610471e,canonical,2,12,0.273318886756897,0.46149054169654846,0.528888463973999,0.42203962802886963,0.5948969125747681,0.6485943794250488,0.43916022777557373,0.6590098142623901,0.756643533706665,0.5646557807922363,0.43916022777557373,0.6590098142623901,0.756643533706665,0.5646557807922363,reference_scene_id
B2,latest,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,2,5,0.3172210454940796,0.5130375027656555,0.6243455410003662,0.36858969926834106,0.573693037033081,0.6931288838386536,0.5483886003494263,0.7878963947296143,0.9180539846420288,0.6228996515274048,0.5483886003494263,0.7878963947296143,0.9180539846420288,0.6228996515274048,reference_scene_id
B2,latest,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,2,5,0.25014087557792664,0.38229188323020935,0.6649087071418762,0.3203703463077545,0.4888888895511627,0.7777777910232544,0.4240644872188568,0.6305913329124451,0.8853012919425964,0.5172839760780334,0.4240644872188568,0.6305913329124451,0.8853012919425964,0.5172839760780334,reference_scene_id
B2,latest,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,2,5,0.26915135979652405,0.36500319838523865,0.5514289140701294,0.4538649916648865,0.6193958520889282,0.7599116563796997,0.512006402015686,0.6815729141235352,0.8832219839096069,0.58858722448349,0.512006402015686,0.6815729141235352,0.8832219839096069,0.58858722448349,reference_scene_id
B2,latest,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,2,6,0.17445515096187592,0.335271954536438,0.44791561365127563,0.2704974114894867,0.4594576060771942,0.6059186458587646,0.3218107521533966,0.5354750156402588,0.6925543546676636,0.4312182664871216,0.3218107521533966,0.5354750156402588,0.6925543546676636,0.4312182664871216,reference_scene_id
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,canonical,3,10,0.24400252103805542,0.3430399000644684,0.3477371633052826,0.435933381319046,0.5569023489952087,0.5741863250732422,0.5380901098251343,0.7222356796264648,0.7486612200737,0.7352715730667114,0.556598961353302,0.7414668202400208,0.7678972482681274,0.7352715730667114,reference_scene_id
B2,latest,137a8158-1db5-2cc0-8003-31c12610471e,canonical,3,12,0.11473490297794342,0.20390677452087402,0.25945478677749634,0.27776896953582764,0.3952809274196625,0.43868371844291687,0.43916022777557373,0.6590098142623901,0.756643533706665,0.5646557807922363,0.43916022777557373,0.6590098142623901,0.756643533706665,0.5646557807922363,reference_scene_id
B2,latest,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,3,5,0.25957462191581726,0.4307507276535034,0.5437416434288025,0.30323076248168945,0.4910539388656616,0.5913235545158386,0.5483886003494263,0.7878963947296143,0.9180539846420288,0.6228996515274048,0.5483886003494263,0.7878963947296143,0.9180539846420288,0.6228996515274048,reference_scene_id
B2,latest,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,3,5,0.20995883643627167,0.3459259271621704,0.6427513957023621,0.24938271939754486,0.4000000059604645,0.7111111283302307,0.4240644872188568,0.6305913329124451,0.8853012919425964,0.5172839760780334,0.4240644872188568,0.6305913329124451,0.8853012919425964,0.5172839760780334,reference_scene_id
B2,latest,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,3,5,0.11730894446372986,0.1640075296163559,0.3242320418357849,0.30884531140327454,0.40849927067756653,0.5461416840553284,0.5113039016723633,0.6789547204971313,0.8800172209739685,0.586394190788269,0.512006402015686,0.6815729141235352,0.8832219839096069,0.58858722448349,reference_scene_id
B2,latest,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,3,6,0.07836738973855972,0.16693590581417084,0.2577216923236847,0.18101079761981964,0.3175208568572998,0.43335941433906555,0.3218107521533966,0.5354750156402588,0.6925543546676636,0.4312182664871216,0.3218107521533966,0.5354750156402588,0.6925543546676636,0.4312182664871216,reference_scene_id
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,canonical,4,10,0.15205010771751404,0.22321073710918427,0.22533999383449554,0.29434192180633545,0.3864996135234833,0.3920551538467407,0.5491343140602112,0.7312366962432861,0.7573943138122559,0.7211623191833496,0.556598961353302,0.7414668202400208,0.7678972482681274,0.7352715730667114,reference_scene_id
B2,latest,137a8158-1db5-2cc0-8003-31c12610471e,canonical,4,12,0.04439406096935272,0.08373571932315826,0.12936238944530487,0.18118387460708618,0.24866069853305817,0.28338295221328735,0.43916022777557373,0.6590098142623901,0.756643533706665,0.5646557807922363,0.43916022777557373,0.6590098142623901,0.756643533706665,0.5646557807922363,reference_scene_id
B2,latest,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,4,5,0.22969664633274078,0.38988494873046875,0.49695301055908203,0.2663888931274414,0.45124998688697815,0.5462499856948853,0.5483886003494263,0.7878963947296143,0.9180539846420288,0.6228996515274048,0.5483886003494263,0.7878963947296143,0.9180539846420288,0.6228996515274048,reference_scene_id
B2,latest,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,4,5,0.08676954358816147,0.19333334267139435,0.5096032023429871,0.1876543015241623,0.35555556416511536,0.6444444060325623,0.4240644872188568,0.6305913329124451,0.8853012919425964,0.5172839760780334,0.4240644872188568,0.6305913329124451,0.8853012919425964,0.5172839760780334,reference_scene_id
B2,latest,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,4,5,0.0526202991604805,0.06753227859735489,0.21861883997917175,0.18924008309841156,0.24331121146678925,0.37947192788124084,0.5173856019973755,0.6861041188240051,0.8905990123748779,0.5923721790313721,0.512006402015686,0.6815729141235352,0.8832219839096069,0.58858722448349,reference_scene_id
B2,latest,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,4,6,0.028139851987361908,0.07023822516202927,0.12443319708108902,0.1151445060968399,0.18704907596111298,0.2948683500289917,0.3218107521533966,0.5354750156402588,0.6925543546676636,0.4312182664871216,0.3218107521533966,0.5354750156402588,0.6925543546676636,0.4312182664871216,reference_scene_id
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,canonical,5,10,0.12010424584150314,0.18383583426475525,0.18384818732738495,0.23848003149032593,0.31080129742622375,0.31080129742622375,0.5760762691497803,0.7652198076248169,0.7913774251937866,0.7355655431747437,0.556598961353302,0.7414668202400208,0.7678972482681274,0.7352715730667114,reference_scene_id
B2,latest,137a8158-1db5-2cc0-8003-31c12610471e,canonical,5,12,0.021996714174747467,0.043762050569057465,0.08781891316175461,0.1116797924041748,0.16851550340652466,0.21191829442977905,0.43916022777557373,0.6590098142623901,0.756643533706665,0.5646557807922363,0.43916022777557373,0.6590098142623901,0.756643533706665,0.5646557807922363,reference_scene_id
B2,latest,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,5,5,0.12878994643688202,0.24152013659477234,0.3082892596721649,0.1852777600288391,0.33500000834465027,0.4475000202655792,0.5483886003494263,0.7878963947296143,0.9180539846420288,0.6228996515274048,0.5483886003494263,0.7878963947296143,0.9180539846420288,0.6228996515274048,reference_scene_id
B2,latest,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,5,5,0.07193415611982346,0.20222224295139313,0.47552913427352905,0.14814816415309906,0.31111109256744385,0.5777777433395386,0.4240644872188568,0.6305913329124451,0.8853012919425964,0.5172839760780334,0.4240644872188568,0.6305913329124451,0.8853012919425964,0.5172839760780334,reference_scene_id
B2,latest,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,5,5,0.029673777520656586,0.032140832394361496,0.17949412763118744,0.13148148357868195,0.15000000596046448,0.2958333492279053,0.5113039016723633,0.6789547204971313,0.8793554306030273,0.586394190788269,0.512006402015686,0.6815729141235352,0.8832219839096069,0.58858722448349,reference_scene_id
B2,latest,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,5,6,0.008791787549853325,0.026234976947307587,0.0646216943860054,0.06309597194194794,0.10356635600328445,0.20177073776721954,0.3218107521533966,0.5354750156402588,0.6925543546676636,0.4312182664871216,0.3218107521533966,0.5354750156402588,0.6925543546676636,0.4312182664871216,reference_scene_id
