tracker,score_reducer,reference_scene_id,master_sequence_id,order_id,horizon,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,trajectory_current_slice_AP,trajectory_current_slice_AP50,trajectory_current_slice_AP25,trajectory_current_slice_REC,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC,local_sidecar_sha256,trajectory_mask_sha256,trajectory_class_sha256,trajectory_key_sha256
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0.34567901492118835,0.5,0.5138888955116272,0.34567901492118835,0.5,0.6111111044883728,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,adf525d5a43c1c3fcda99e56acc8c1abfcea29e255d6185888ca7de12ebbb35b,c6b15ed6737264e775e57efe73a0b81d7c53e2adaffc144cbb989fe31d0655fd,cfcc7268c1487328f95f9fb016883d95fbcd58f9f75ab21a419533101eb8ac4c,3c5eede2d163e394f059d5c71de83019e38218576645e55fa00f4d6373bc50c6
B2,max,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0.34567901492118835,0.5,0.6111111044883728,0.34567901492118835,0.5,0.6111111044883728,0.5320020914077759,0.7222222089767456,0.9166666865348816,0.6172839403152466,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,adf525d5a43c1c3fcda99e56acc8c1abfcea29e255d6185888ca7de12ebbb35b,c6b15ed6737264e775e57efe73a0b81d7c53e2adaffc144cbb989fe31d0655fd,cfcc7268c1487328f95f9fb016883d95fbcd58f9f75ab21a419533101eb8ac4c,3c5eede2d163e394f059d5c71de83019e38218576645e55fa00f4d6373bc50c6
B3,mean,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0.34567901492118835,0.5,0.6111111044883728,0.34567901492118835,0.5,0.6111111044883728,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,adf525d5a43c1c3fcda99e56acc8c1abfcea29e255d6185888ca7de12ebbb35b,c6b15ed6737264e775e57efe73a0b81d7c53e2adaffc144cbb989fe31d0655fd,cfcc7268c1487328f95f9fb016883d95fbcd58f9f75ab21a419533101eb8ac4c,3c5eede2d163e394f059d5c71de83019e38218576645e55fa00f4d6373bc50c6
B3,latest,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0.34567901492118835,0.5,0.5138888955116272,0.34567901492118835,0.5,0.6111111044883728,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,adf525d5a43c1c3fcda99e56acc8c1abfcea29e255d6185888ca7de12ebbb35b,c6b15ed6737264e775e57efe73a0b81d7c53e2adaffc144cbb989fe31d0655fd,cfcc7268c1487328f95f9fb016883d95fbcd58f9f75ab21a419533101eb8ac4c,3c5eede2d163e394f059d5c71de83019e38218576645e55fa00f4d6373bc50c6
B3,max,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0.34567901492118835,0.5,0.6111111044883728,0.34567901492118835,0.5,0.6111111044883728,0.5320020914077759,0.7222222089767456,0.9166666865348816,0.6172839403152466,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,adf525d5a43c1c3fcda99e56acc8c1abfcea29e255d6185888ca7de12ebbb35b,c6b15ed6737264e775e57efe73a0b81d7c53e2adaffc144cbb989fe31d0655fd,cfcc7268c1487328f95f9fb016883d95fbcd58f9f75ab21a419533101eb8ac4c,3c5eede2d163e394f059d5c71de83019e38218576645e55fa00f4d6373bc50c6
B4,mean,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0.3580246865749359,0.6111111044883728,0.7361111044883728,0.3580246865749359,0.6111111044883728,0.7777777910232544,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,adf525d5a43c1c3fcda99e56acc8c1abfcea29e255d6185888ca7de12ebbb35b,056d7b2e6ede78b448536e0359cf3f906ee8206d336ef98c74fed83236442872,0a4aebd174f3ed1bd2e7b4b02aded8466c2326d9f647bebce967ef2d08e6d972,407c89b08a451a0af5797e04fd5cf845b4126049c8c79d38075fbde8479fda31
B4,latest,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0.3580246865749359,0.6111111044883728,0.6388888955116272,0.3580246865749359,0.6111111044883728,0.7777777910232544,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,adf525d5a43c1c3fcda99e56acc8c1abfcea29e255d6185888ca7de12ebbb35b,056d7b2e6ede78b448536e0359cf3f906ee8206d336ef98c74fed83236442872,0a4aebd174f3ed1bd2e7b4b02aded8466c2326d9f647bebce967ef2d08e6d972,407c89b08a451a0af5797e04fd5cf845b4126049c8c79d38075fbde8479fda31
B4,max,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0.3580246865749359,0.6111111044883728,0.7361111044883728,0.3580246865749359,0.6111111044883728,0.7777777910232544,0.5320020914077759,0.7222222089767456,0.9166666865348816,0.6172839403152466,0.5597798824310303,0.8055555820465088,1.0,0.6172839403152466,adf525d5a43c1c3fcda99e56acc8c1abfcea29e255d6185888ca7de12ebbb35b,056d7b2e6ede78b448536e0359cf3f906ee8206d336ef98c74fed83236442872,0a4aebd174f3ed1bd2e7b4b02aded8466c2326d9f647bebce967ef2d08e6d972,407c89b08a451a0af5797e04fd5cf845b4126049c8c79d38075fbde8479fda31
B2,mean,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0.2716049253940582,0.3888888955116272,0.3888888955116272,0.2716049253940582,0.3888888955116272,0.3888888955116272,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0e7a3762416e6f9acc579bf869ae14293da8a67893ee2b1d88209e69fb13d141,4e06d8b26d48657f4a4a2adb7379741b28e9190ee25af04c6837723db0a4958a,b3bfaa5dbdba42f244bec276d33a7d607a1abeabec858a081c67f0b493a42a4d,2c3c619a3976c0f589fb4ab267d2705530159d3cb0256d2e99cfc4fc09cc57ba
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0.2716049253940582,0.3888888955116272,0.3888888955116272,0.2716049253940582,0.3888888955116272,0.3888888955116272,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0e7a3762416e6f9acc579bf869ae14293da8a67893ee2b1d88209e69fb13d141,4e06d8b26d48657f4a4a2adb7379741b28e9190ee25af04c6837723db0a4958a,b3bfaa5dbdba42f244bec276d33a7d607a1abeabec858a081c67f0b493a42a4d,2c3c619a3976c0f589fb4ab267d2705530159d3cb0256d2e99cfc4fc09cc57ba
