tracker,score_reducer,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,trajectory_current_slice_AP,trajectory_current_slice_AP50,trajectory_current_slice_AP25,trajectory_current_slice_REC,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC
B2,latest,all,2,129,0.2029813677072525,0.31643402576446533,0.5154672265052795,0.34743866324424744,0.5327015519142151,0.6786665320396423,0.371692419052124,0.5463876724243164,0.7624458074569702,0.4963539242744446,0.371692419052124,0.5463876724243164,0.7624458074569702,0.4963539242744446
B2,latest,all,3,129,0.10154809057712555,0.17150232195854187,0.33935225009918213,0.24769896268844604,0.39532071352005005,0.5357382297515869,0.38409721851348877,0.5667939782142639,0.7751362323760986,0.5231457352638245,0.38442501425743103,0.5673840641975403,0.775846540927887,0.523158609867096
B2,latest,all,4,129,0.04395882785320282,0.07904163002967834,0.22164855897426605,0.1619921177625656,0.26867902278900146,0.4044623076915741,0.365923136472702,0.5720521807670593,0.7824838757514954,0.5050413608551025,0.36625537276268005,0.5726837515830994,0.7827478051185608,0.5050792694091797
B2,latest,all,5,129,0.020154573023319244,0.03974108397960663,0.16935692727565765,0.1109112948179245,0.19508080184459686,0.325813889503479,0.3828856647014618,0.5737573504447937,0.7898914813995361,0.5076167583465576,0.3829203248023987,0.5740538239479065,0.790086030960083,0.5078316926956177
B2,latest,canonical,2,43,0.21580198407173157,0.35164621472358704,0.5543152093887329,0.35706475377082825,0.5309151411056519,0.7031175494194031,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B2,latest,canonical,3,43,0.10868112742900848,0.18262039124965668,0.3551390469074249,0.2540697753429413,0.38026151061058044,0.5432702302932739,0.3722105622291565,0.5636523365974426,0.7781248688697815,0.5032063126564026,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B2,latest,canonical,4,43,0.050506509840488434,0.08961155265569687,0.23598946630954742,0.1738080233335495,0.26447322964668274,0.4165569245815277,0.37252601981163025,0.5639541745185852,0.7788800597190857,0.5028339624404907,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B2,latest,canonical,5,43,0.026327945291996002,0.04772831127047539,0.18635854125022888,0.12139875441789627,0.188499316573143,0.3421083986759186,0.3734106719493866,0.5651854276657104,0.7796314358711243,0.5031508207321167,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B2,latest,reverse,2,43,0.20957283675670624,0.3338119685649872,0.5341047644615173,0.3534207344055176,0.5317513346672058,0.6981421709060669,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B2,latest,reverse,3,43,0.09606803208589554,0.16332754492759705,0.33022046089172363,0.2370789498090744,0.3720409572124481,0.5320612788200378,0.38024359941482544,0.5599650740623474,0.7670450806617737,0.510774552822113,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
