population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,T,episode_count,policy,reducer,prefix_overall_mAP,local_current_AP,t_REC,t_mAP,t_mAP25,t_mAP50,reference_count,master_count
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,2,47,commit0,mean,0.04909577593207359,0.6576996445655823,0.057360853999853134,0.015263027511537075,0.018496055155992508,0.018147578462958336,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,3,47,commit0,mean,0.018320100381970406,0.6573715806007385,0.04906482994556427,0.015064699575304985,0.017583414912223816,0.01742083951830864,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,4,47,commit0,mean,0.016506917774677277,0.6652823686599731,0.03730524331331253,0.013587947934865952,0.015716196969151497,0.015658777207136154,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,5,47,commit0,mean,0.015335817821323872,0.6665375232696533,0.0414251908659935,0.014058474451303482,0.01623925380408764,0.016200026497244835,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,2,47,lag1,latest,0.6477146744728088,0.6576996445655823,0.6222794055938721,0.534764289855957,0.9127033948898315,0.772951066493988,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,3,47,lag1,latest,0.5710921883583069,0.6573715806007385,0.54868483543396,0.4041895270347595,0.745604395866394,0.5996062159538269,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,4,47,lag1,latest,0.4977502226829529,0.6652823686599731,0.48070228099823,0.32562828063964844,0.6192695498466492,0.49458757042884827,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,5,47,lag1,latest,0.45333874225616455,0.6665375232696533,0.4203938841819763,0.27361807227134705,0.514880895614624,0.4139414131641388,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,2,47,lag1,max,0.6477146744728088,0.6576996445655823,0.6222794055938721,0.534764289855957,0.9127033948898315,0.772951066493988,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,3,47,lag1,max,0.5773018598556519,0.626694917678833,0.54868483543396,0.4208386540412903,0.7676395773887634,0.6245028972625732,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,4,47,lag1,max,0.51734459400177,0.610419511795044,0.48070228099823,0.33974871039390564,0.6472287178039551,0.5210014581680298,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,5,47,lag1,max,0.4799618124961853,0.6031498908996582,0.4203938841819763,0.2876858413219452,0.552468478679657,0.4455072283744812,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,2,47,lag1,mean,0.6477146744728088,0.6576996445655823,0.6222794055938721,0.534764289855957,0.9127033948898315,0.772951066493988,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,3,47,lag1,mean,0.5650408864021301,0.6426825523376465,0.54868483543396,0.4103575348854065,0.7453615069389343,0.605803370475769,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,4,47,lag1,mean,0.5032832622528076,0.6470765471458435,0.48070228099823,0.3425086736679077,0.6358889937400818,0.5067919492721558,8,47
development_common_h5_canonical,W-BASE,1297840a4fa109cd06ce0396966e53f9c221c73f974912d1e91a66264e19c7ee,45,45,5,47,lag1,mean,0.45878636837005615,0.6310479640960693,0.4203938841819763,0.2954334616661072,0.5390310883522034,0.4329892098903656,8,47
