physical_global_batch,accumulation,parameter_group,reference_norm,candidate_norm,cosine,relative_norm_difference
4,8,class_embed_head,106.8906478881836,106.8906478881836,0.9999999403953552,0.0
4,8,mask_embed_head,1088.82568359375,1088.82568359375,1.0,0.0
4,8,query_projection,3.8137149810791016,3.8137149810791016,1.0,0.0
4,8,first_cross_attention,503.3885192871094,503.3885192871094,1.0,0.0
4,8,last_cross_attention,239.34481811523438,239.34481811523438,1.0,0.0
4,8,ptv3_decoder,3828.9560546875,3828.9560546875,1.0,0.0
8,4,class_embed_head,106.8906478881836,106.20280456542969,0.9990828037261963,0.006435018744328755
8,4,mask_embed_head,1088.82568359375,2104.611572265625,0.9974355697631836,0.932918743539552
8,4,query_projection,3.8137149810791016,7.299715995788574,0.9605940580368042,0.914069622927904
8,4,first_cross_attention,503.3885192871094,976.256591796875,0.9924331307411194,0.9393699983055507
8,4,last_cross_attention,239.34481811523438,442.9088439941406,0.9887641668319702,0.8505052563155924
8,4,ptv3_decoder,3828.9560546875,7368.6201171875,0.9957667589187622,0.9244462490413433
