population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,visual_content_control,T,policy,reducer,relative_t_mAP_retention,t2_t_mAP,t_mAP,reference_count,master_count
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,2,commit0,mean,1.0,0.01401206199079752,0.01401206199079752,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,3,commit0,mean,1.2862256259198448,0.01401206199079752,0.018022673204541206,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,4,commit0,mean,1.177631846996847,0.01401206199079752,0.0165010504424572,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,5,commit0,mean,1.5098950591801301,0.01401206199079752,0.02115674316883087,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,2,lag1,latest,1.0,0.5286858081817627,0.5286858081817627,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,3,lag1,latest,0.7828825904668791,0.5286858081817627,0.41389891505241394,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,4,lag1,latest,0.6558569702665517,0.5286858081817627,0.34674227237701416,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,5,lag1,latest,0.5564506764243379,0.5286858081817627,0.2941875755786896,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,2,lag1,max,1.0,0.5286858081817627,0.5286858081817627,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,3,lag1,max,0.7973534804770664,0.5286858081817627,0.4215494692325592,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,4,lag1,max,0.6763227016927857,0.5286858081817627,0.35756221413612366,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,5,lag1,max,0.5808727765754561,0.5286858081817627,0.30709919333457947,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,2,lag1,mean,1.0,0.5286858081817627,0.5286858081817627,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,3,lag1,mean,0.8172300266655362,0.5286858081817627,0.4320579171180725,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,4,lag1,mean,0.6652313966959629,0.5286858081817627,0.3516983985900879,8,47
development_common_h5_canonical,FH-CONT,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,45,45,native,5,lag1,mean,0.5692423434104378,0.5286858081817627,0.3009503483772278,8,47
