comparison,reference_id,T,metric,candidate_value,baseline_value,delta
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,2,t_mAP,0.30925002694129944,0.30784478783607483,0.0014052391052246094
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,2,t_mAP50,0.39597877860069275,0.3945139944553375,0.0014647841453552246
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,2,t_mAP25,0.4489597678184509,0.4706820845603943,-0.02172231674194336
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,2,t_REC,0.49503180384635925,0.4838651418685913,0.011166661977767944
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,2,prefix_overall_mAP,0.391099214553833,0.40304121375083923,-0.011941999197006226
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,3,t_mAP,0.16285686194896698,0.12717647850513458,0.0356803834438324
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,3,t_mAP50,0.22833411395549774,0.188120037317276,0.04021407663822174
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,3,t_mAP25,0.2856099307537079,0.23237091302871704,0.053239017724990845
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,3,t_REC,0.35533085465431213,0.29492777585983276,0.06040307879447937
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,3,prefix_overall_mAP,0.30154210329055786,0.24160438776016235,0.05993771553039551
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,4,t_mAP,0.10802601277828217,0.06633218377828598,0.041693828999996185
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,4,t_mAP50,0.15669609606266022,0.09907220304012299,0.05762389302253723
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,4,t_mAP25,0.20632104575634003,0.13186216354370117,0.07445888221263885
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,4,t_REC,0.23781901597976685,0.16337370872497559,0.07444530725479126
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,4,prefix_overall_mAP,0.2766686975955963,0.1583828330039978,0.11828586459159851
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,5,t_mAP,0.07024573534727097,0.040022220462560654,0.030223514884710312
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,5,t_mAP50,0.10569580644369125,0.05687505006790161,0.04882075637578964
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,5,t_mAP25,0.1516125649213791,0.07617445290088654,0.07543811202049255
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,5,t_REC,0.1684800535440445,0.11172998696565628,0.056750066578388214
M3-V-CORE_vs_FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,5,prefix_overall_mAP,0.24802224338054657,0.11589862406253815,0.13212361931800842
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,2,t_mAP,0.26884594559669495,0.26727616786956787,0.0015697777271270752
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,2,t_mAP50,0.41713377833366394,0.4119803309440613,0.005153447389602661
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,2,t_mAP25,0.6093602180480957,0.6073065996170044,0.0020536184310913086
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,2,t_REC,0.3809589147567749,0.37405917048454285,0.006899744272232056
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,2,prefix_overall_mAP,0.3483470380306244,0.3411456346511841,0.007201403379440308
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,3,t_mAP,0.1643608659505844,0.09025612473487854,0.07410474121570587
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,3,t_mAP50,0.29610300064086914,0.16899774968624115,0.127105250954628
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,3,t_mAP25,0.4585874378681183,0.2629736661911011,0.1956137716770172
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,3,t_REC,0.290913462638855,0.2236672043800354,0.06724625825881958
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,3,prefix_overall_mAP,0.2771965563297272,0.17882120609283447,0.0983753502368927
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,4,t_mAP,0.108216792345047,0.01779315620660782,0.09042363613843918
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,4,t_mAP50,0.1957346349954605,0.03392450138926506,0.16181013360619545
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,4,t_mAP25,0.3494255542755127,0.09183035045862198,0.2575952038168907
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,4,t_REC,0.19429346919059753,0.09870360046625137,0.09558986872434616
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,4,prefix_overall_mAP,0.23282983899116516,0.08189160376787186,0.1509382352232933
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,5,t_mAP,0.06750360131263733,0.006460894830524921,0.06104270648211241
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,5,t_mAP50,0.13832128047943115,0.018965860828757286,0.11935541965067387
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,5,t_mAP25,0.24320071935653687,0.045689962804317474,0.1975107565522194
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,5,t_REC,0.14108441770076752,0.049267154186964035,0.09181726351380348
M3-V-CORE_vs_FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,5,prefix_overall_mAP,0.1976451575756073,0.04594236984848976,0.15170278772711754
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,2,t_mAP,0.39064744114875793,0.3932216763496399,-0.002574235200881958
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,2,t_mAP50,0.6132506728172302,0.6529557704925537,-0.039705097675323486
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,2,t_mAP25,0.729880690574646,0.7284912467002869,0.0013894438743591309
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,2,t_REC,0.4816927909851074,0.4929054081439972,-0.01121261715888977
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,2,prefix_overall_mAP,0.5302954316139221,0.5390943288803101,-0.00879889726638794
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,3,t_mAP,0.31372085213661194,0.3133901059627533,0.0003307461738586426
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,3,t_mAP50,0.5500009059906006,0.558432936668396,-0.00843203067779541
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,3,t_mAP25,0.6015730500221252,0.6105626821517944,-0.00898963212966919
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,3,t_REC,0.40737608075141907,0.4246779978275299,-0.01730191707611084
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,3,prefix_overall_mAP,0.45102226734161377,0.423931360244751,0.027090907096862793
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,4,t_mAP,0.21264222264289856,0.15209698677062988,0.06054523587226868
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,4,t_mAP50,0.390238493680954,0.2863239645957947,0.1039145290851593
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,4,t_mAP25,0.46048927307128906,0.3272448778152466,0.13324439525604248
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,4,t_REC,0.31962963938713074,0.3131944537162781,0.006435185670852661
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,4,prefix_overall_mAP,0.3422050476074219,0.2574104070663452,0.08479464054107666
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,5,t_mAP,0.15860985219478607,0.10108388215303421,0.05752597004175186
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,5,t_mAP50,0.28521546721458435,0.1898999810218811,0.09531548619270325
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,5,t_mAP25,0.3629988729953766,0.23512260615825653,0.12787626683712006
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,5,t_REC,0.2367592602968216,0.22458335757255554,0.012175902724266052
M3-V-CORE_vs_FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,5,prefix_overall_mAP,0.30673250555992126,0.18785083293914795,0.11888167262077332
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,2,t_mAP,0.3295556902885437,0.3183897137641907,0.011165976524353027
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,2,t_mAP50,0.4665369987487793,0.41735371947288513,0.049183279275894165
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,2,t_mAP25,0.8161839842796326,0.7379128932952881,0.07827109098434448
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,2,t_REC,0.4109211564064026,0.36970558762550354,0.04121556878089905
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,2,prefix_overall_mAP,0.39996522665023804,0.38018083572387695,0.019784390926361084
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,3,t_mAP,0.23908545076847076,0.17397423088550568,0.06511121988296509
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,3,t_mAP50,0.34982049465179443,0.21568255126476288,0.13413794338703156
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,3,t_mAP25,0.7153158783912659,0.49874284863471985,0.21657302975654602
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,3,t_REC,0.31975308060646057,0.2534979581832886,0.066255122423172
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,3,prefix_overall_mAP,0.353745698928833,0.23671722412109375,0.11702847480773926
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,4,t_mAP,0.170738086104393,0.0982595682144165,0.0724785178899765
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,4,t_mAP50,0.2213234305381775,0.11574193090200424,0.10558149963617325
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,4,t_mAP25,0.6358388662338257,0.3362821340560913,0.2995567321777344
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,4,t_REC,0.24855966866016388,0.18888887763023376,0.059670791029930115
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,4,prefix_overall_mAP,0.3271922171115875,0.16144970059394836,0.16574251651763916
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,5,t_mAP,0.1606486290693283,0.0557476282119751,0.10490100085735321
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,5,t_mAP50,0.2240411937236786,0.06163293868303299,0.1624082550406456
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,5,t_mAP25,0.5893486142158508,0.21548068523406982,0.373867928981781
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,5,t_REC,0.2028806507587433,0.1209876537322998,0.08189299702644348
M3-V-CORE_vs_FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,5,prefix_overall_mAP,0.3190370202064514,0.1020389050245285,0.2169981151819229
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,2,t_mAP,0.2940412759780884,0.2857402563095093,0.008301019668579102
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,2,t_mAP50,0.5187190175056458,0.43420132994651794,0.08451768755912781
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,2,t_mAP25,0.6903168559074402,0.7260804176330566,-0.035763561725616455
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,2,t_REC,0.4728582799434662,0.4860113561153412,-0.013153076171875
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,2,prefix_overall_mAP,0.38241612911224365,0.3806918263435364,0.0017243027687072754
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,3,t_mAP,0.1893187314271927,0.15322303771972656,0.036095693707466125
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,3,t_mAP50,0.309398353099823,0.23335596919059753,0.07604238390922546
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,3,t_mAP25,0.536805272102356,0.472514271736145,0.06429100036621094
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,3,t_REC,0.39158034324645996,0.3511931598186493,0.04038718342781067
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,3,prefix_overall_mAP,0.32863083481788635,0.24224257469177246,0.08638826012611389
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,4,t_mAP,0.03993533179163933,0.07131942361593246,-0.03138409182429314
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,4,t_mAP50,0.07976064085960388,0.1312476396560669,-0.05148699879646301
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,4,t_mAP25,0.27854007482528687,0.28138214349746704,-0.0028420686721801758
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,4,t_REC,0.2520550489425659,0.22376807034015656,0.028286978602409363
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,4,prefix_overall_mAP,0.15976575016975403,0.12805765867233276,0.031708091497421265
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,5,t_mAP,0.011174337938427925,0.01286579854786396,-0.0016914606094360352
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,5,t_mAP50,0.028748029842972755,0.05715619772672653,-0.028408167883753777
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,5,t_mAP25,0.21782277524471283,0.17765899002552032,0.040163785219192505
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,5,t_REC,0.10980817675590515,0.07018452137708664,0.03962365537881851
M3-V-CORE_vs_FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,5,prefix_overall_mAP,0.13394948840141296,0.04336074739694595,0.09058874100446701
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,2,t_mAP,0.18655072152614594,0.176283061504364,0.010267660021781921
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,2,t_mAP50,0.33073681592941284,0.34837523102760315,-0.017638415098190308
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,2,t_mAP25,0.433247447013855,0.4437906742095947,-0.010543227195739746
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,2,t_REC,0.3070395886898041,0.289754182100296,0.017285406589508057
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,2,prefix_overall_mAP,0.2802509069442749,0.27745282649993896,0.0027980804443359375
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,3,t_mAP,0.08742867410182953,0.04318314418196678,0.04424552991986275
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,3,t_mAP50,0.18403902649879456,0.10796868056058884,0.07607034593820572
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,3,t_mAP25,0.2864362895488739,0.18055357038974762,0.10588271915912628
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,3,t_REC,0.1846507042646408,0.15837101638317108,0.026279687881469727
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,3,prefix_overall_mAP,0.21030424535274506,0.1312236189842224,0.07908062636852264
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,4,t_mAP,0.04581708461046219,0.015674829483032227,0.030142255127429962
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,4,t_mAP50,0.09756925702095032,0.03392238914966583,0.06364686787128448
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,4,t_mAP25,0.16762474179267883,0.07738252729177475,0.09024221450090408
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,4,t_REC,0.12226692587137222,0.09280262142419815,0.029464304447174072
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,4,prefix_overall_mAP,0.18730737268924713,0.10171137005090714,0.08559600263834
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,5,t_mAP,0.01487391721457243,0.0038678450509905815,0.011006072163581848
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,5,t_mAP50,0.039019033312797546,0.008333984762430191,0.030685048550367355
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,5,t_mAP25,0.08686061203479767,0.02620033733546734,0.06066027469933033
M3-V-CORE_vs_FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,5,t_REC,0.05828340724110603,0.052764713764190674,0.0055186934769153595
