metric,T,estimand,reference_count,mean_delta,bootstrap_resamples,bootstrap_seed,interval_level,interval_lower,interval_upper
t_mAP,2,equal_reference_descriptive,6,0.005022572974363963,1000,45,0.95,0.0008925721049308777,0.00897008143365383
t_mAP,5,equal_reference_descriptive,6,0.04383463397001227,1000,45,0.95,0.015098347223829479,0.0746338378249978
t_mAP50,2,equal_reference_descriptive,6,0.013829280932744345,1000,45,0.95,-0.015488212555646894,0.047775821263591436
t_mAP50,5,equal_reference_descriptive,6,0.07136279965440433,1000,45,0.95,0.021736232144758103,0.12112300869387883
t_mAP25,2,equal_reference_descriptive,6,0.00228084127108256,1000,45,0.95,-0.02092832326889038,0.034100224574406944
t_mAP25,5,equal_reference_descriptive,6,0.14591952071835598,1000,45,0.95,0.06461922569045175,0.2425354883695642
t_REC,2,equal_reference_descriptive,6,0.008700281381607056,1000,45,0.95,-0.004795505478978157,0.02348228022456169
t_REC,5,equal_reference_descriptive,6,0.047963096449772515,1000,45,0.95,0.021960485726594925,0.0739657071729501
prefix_overall_mAP,2,equal_reference_descriptive,6,0.0017945468425750732,1000,45,0.95,-0.005636051297187805,0.009574100996057188
prefix_overall_mAP,5,equal_reference_descriptive,6,0.1347299087792635,1000,45,0.95,0.10596730721493561,0.17235387613375983
