variant,T,A_t_mAP,R_t_mAP,Dmax_t_mAP
FH-R1-native,2,0.2287774682044983,1.0,0.14721111208200455
FH-R1-native,3,0.14830534160137177,0.6482515204198581,0.14721111208200455
FH-R1-native,4,0.10274506360292435,0.4491048196716784,0.14721111208200455
FH-R1-native,5,0.08156635612249374,0.35653142227093654,0.14721111208200455
B4-commit0,2,0.2196367383003235,1.0,0.16110148653388023
B4-commit0,3,0.13549813628196716,0.616919270111778,0.16110148653388023
B4-commit0,4,0.08015920221805573,0.3649626325649076,0.16110148653388023
B4-commit0,5,0.05853525176644325,0.26650938371887595,0.16110148653388023
R1+B4-lag1,2,0.24475130438804626,1.0,0.20985546708106995
R1+B4-lag1,3,0.12390219420194626,0.5062371149021655,0.20985546708106995
R1+B4-lag1,4,0.06147771328687668,0.2511844153010335,0.20985546708106995
R1+B4-lag1,5,0.03489583730697632,0.1425767163702219,0.20985546708106995
FH-R1-lag1,2,0.24330571293830872,1.0,0.2267424389719963
FH-R1-lag1,3,0.1059584692120552,0.43549519627975797,0.2267424389719963
FH-R1-lag1,4,0.047023363411426544,0.19326863657882762,0.2267424389719963
FH-R1-lag1,5,0.01656327396631241,0.06807597637673268,0.2267424389719963
W-BASE,2,0.2192353904247284,1.0,0.20724939368665218
W-BASE,3,0.09105879813432693,0.41534716615742195,0.20724939368665218
W-BASE,4,0.03685019910335541,0.16808508440158726,0.20724939368665218
W-BASE,5,0.01198599673807621,0.05467181514287241,0.20724939368665218
Q-TALA,2,0.22656604647636414,1.0,0.18009109795093536
Q-TALA,3,0.13419601321220398,0.5923041660445958,0.18009109795093536
Q-TALA,4,0.07777059078216553,0.3432579240873973,0.18009109795093536
Q-TALA,5,0.04647494852542877,0.20512759633768488,0.18009109795093536
M3-BASE-CONT,2,0.22398841381072998,1.0,0.17593847587704659
M3-BASE-CONT,3,0.13341481983661652,0.5956326828107811,0.17593847587704659
M3-BASE-CONT,4,0.07877085357904434,0.3516737863307771,0.17593847587704659
M3-BASE-CONT,5,0.048049937933683395,0.2145197473217769,0.17593847587704659
M3-V-CORE,2,0.22317181527614594,1.0,0.18467338383197784
M3-V-CORE,3,0.1355685442686081,0.6074626587629793,0.18467338383197784
M3-V-CORE,4,0.06760766357183456,0.30293997245207205,0.18467338383197784
M3-V-CORE,5,0.03849843144416809,0.1725057951270922,0.18467338383197784
FH-MATCH,2,0.2247328907251358,1.0,0.21089540235698223
FH-MATCH,3,0.09700798988342285,0.4316590667721641,0.21089540235698223
FH-MATCH,4,0.0372735857963562,0.16585727917300913,0.21089540235698223
FH-MATCH,5,0.013837488368153572,0.061573044886775376,0.21089540235698223
FH-CONT,2,0.20803871750831604,1.0,0.1956955548375845
FH-CONT,3,0.08525927364826202,0.40982406866094007,0.1956955548375845
FH-CONT,4,0.032786983996629715,0.15760039472132922,0.1956955548375845
FH-CONT,5,0.012343162670731544,0.05933108422588764,0.1956955548375845
D-LAST-commit0,2,0.2201777994632721,1.0,0.16310754045844078
D-LAST-commit0,3,0.1381274312734604,0.6273449530796199,0.16310754045844078
D-LAST-commit0,4,0.08026881515979767,0.36456361792818864,0.16310754045844078
D-LAST-commit0,5,0.057070259004831314,0.25920078747245,0.16310754045844078
D-LAST-lag1,2,0.24922862648963928,1.0,0.18489713966846466
D-LAST-lag1,3,0.15534649789333344,0.623309208421896,0.18489713966846466
D-LAST-lag1,4,0.09011446684598923,0.36157350026456686,0.18489713966846466
D-LAST-lag1,5,0.06433148682117462,0.25812238235742535,0.18489713966846466
D-EMA-commit0,2,0.2201777994632721,1.0,0.16070999205112457
D-EMA-commit0,3,0.13822579383850098,0.6277916946007013,0.16070999205112457
D-EMA-commit0,4,0.07885473221540451,0.3581411586800707,0.16070999205112457
D-EMA-commit0,5,0.05946780741214752,0.2700899343944409,0.16070999205112457
D-EMA-lag1,2,0.24922862648963928,1.0,0.18538561463356018
D-EMA-lag1,3,0.15490299463272095,0.6215297047314123,0.18538561463356018
D-EMA-lag1,4,0.08870398253202438,0.3559141009658933,0.18538561463356018
D-EMA-lag1,5,0.0638430118560791,0.2561624350914325,0.18538561463356018
