comparison,T,metric,candidate_value,baseline_value,delta,strict_positive
M3-V-CORE_vs_B4-commit0,2,t_mAP,0.22317181527614594,0.2196367383003235,0.0035350769758224487,True
M3-V-CORE_vs_B4-commit0,2,t_mAP50,0.40844929218292236,0.3817283809185028,0.026720911264419556,True
M3-V-CORE_vs_B4-commit0,2,t_mAP25,0.5830579400062561,0.5520954728126526,0.030962467193603516,True
M3-V-CORE_vs_B4-commit0,2,t_REC,0.38741055130958557,0.3610108196735382,0.026399731636047363,True
M3-V-CORE_vs_B4-commit0,2,prefix_overall_mAP,0.2979135513305664,0.28713828325271606,0.010775268077850342,True
M3-V-CORE_vs_B4-commit0,3,t_mAP,0.1355685442686081,0.13549813628196716,7.040798664093018e-05,True
M3-V-CORE_vs_B4-commit0,3,t_mAP50,0.2631383240222931,0.24735097587108612,0.01578734815120697,True
M3-V-CORE_vs_B4-commit0,3,t_mAP25,0.4325440227985382,0.4003000557422638,0.032243967056274414,True
M3-V-CORE_vs_B4-commit0,3,t_REC,0.29307350516319275,0.271001398563385,0.02207210659980774,True
M3-V-CORE_vs_B4-commit0,3,prefix_overall_mAP,0.24371780455112457,0.2384580373764038,0.005259767174720764,True
M3-V-CORE_vs_B4-commit0,4,t_mAP,0.06760766357183456,0.08015920221805573,-0.012551538646221161,False
M3-V-CORE_vs_B4-commit0,4,t_mAP50,0.13299645483493805,0.13886228203773499,-0.005865827202796936,False
M3-V-CORE_vs_B4-commit0,4,t_mAP25,0.2990099787712097,0.2739720344543457,0.025037944316864014,True
M3-V-CORE_vs_B4-commit0,4,t_REC,0.2068200707435608,0.20148883759975433,0.0053312331438064575,True
M3-V-CORE_vs_B4-commit0,4,prefix_overall_mAP,0.1730845421552658,0.19503113627433777,-0.02194659411907196,False
M3-V-CORE_vs_B4-commit0,5,t_mAP,0.03849843144416809,0.05853525176644325,-0.020036820322275162,False
M3-V-CORE_vs_B4-commit0,5,t_mAP50,0.07539387047290802,0.10458720475435257,-0.02919333428144455,False
M3-V-CORE_vs_B4-commit0,5,t_mAP25,0.2066548466682434,0.21571432054042816,-0.009059473872184753,False
M3-V-CORE_vs_B4-commit0,5,t_REC,0.13715143501758575,0.15866969525814056,-0.02151826024055481,False
M3-V-CORE_vs_B4-commit0,5,prefix_overall_mAP,0.14723852276802063,0.1762351244688034,-0.028996601700782776,False
M3-V-CORE_vs_R1+B4-lag1,2,t_mAP,0.22317181527614594,0.24475130438804626,-0.02157948911190033,False
M3-V-CORE_vs_R1+B4-lag1,2,t_mAP50,0.40844929218292236,0.4173288345336914,-0.008879542350769043,False
M3-V-CORE_vs_R1+B4-lag1,2,t_mAP25,0.5830579400062561,0.5742934942245483,0.008764445781707764,True
M3-V-CORE_vs_R1+B4-lag1,2,t_REC,0.38741055130958557,0.4097220301628113,-0.022311478853225708,False
M3-V-CORE_vs_R1+B4-lag1,2,prefix_overall_mAP,0.2979135513305664,0.3262116312980652,-0.02829807996749878,False
M3-V-CORE_vs_R1+B4-lag1,3,t_mAP,0.1355685442686081,0.12390219420194626,0.011666350066661835,True
M3-V-CORE_vs_R1+B4-lag1,3,t_mAP50,0.2631383240222931,0.22952699661254883,0.03361132740974426,True
M3-V-CORE_vs_R1+B4-lag1,3,t_mAP25,0.4325440227985382,0.37898075580596924,0.05356326699256897,True
M3-V-CORE_vs_R1+B4-lag1,3,t_REC,0.29307350516319275,0.3002873659133911,-0.007213860750198364,False
M3-V-CORE_vs_R1+B4-lag1,3,prefix_overall_mAP,0.24371780455112457,0.2259443998336792,0.017773404717445374,True
M3-V-CORE_vs_R1+B4-lag1,4,t_mAP,0.06760766357183456,0.06147771328687668,0.006129950284957886,True
M3-V-CORE_vs_R1+B4-lag1,4,t_mAP50,0.13299645483493805,0.11258092522621155,0.0204155296087265,True
M3-V-CORE_vs_R1+B4-lag1,4,t_mAP25,0.2990099787712097,0.23774409294128418,0.06126588582992554,True
