population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,visual_content_control,T,episode_count,identity_linker,policy,correct_recoveries,deployment_id_switches,fragmentation_count,fragmentation_opportunities,gap_opportunities,identity_transition_opportunities,merge_count,merge_opportunities,recovery_attempts,fragmentation_rate,gap_recovery_accuracy,gap_recovery_attempt_coverage,gap_recovery_recall,merge_rate,normalized_id_switch_rate,reference_count,master_count,order_count,identity_event_scope,birth_count,false_birth_count,reactivation_count,false_reactivation_count,rejected_birth_count,false_birth_rate,false_reactivation_rate
protocol_b_43_masters_3_orders,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,native,2,129,lag1-route-then-class-iou-v1,lag1,0,366,366,646,0,646,14,294,0,0.56656346749226,N/A,N/A,N/A,0.047619047619047616,0.56656346749226,6,43,129,full_protocol_run,3127,1841,1467,871,0,0.5887432043492165,0.5937286980231765
protocol_b_43_masters_3_orders,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,native,3,129,lag1-route-then-class-iou-v1,lag1,46,725,825,1524,272,1313,32,731,133,0.5413385826771654,0.3458646616541353,0.4889705882352941,0.16911764705882354,0.04377564979480164,0.5521706016755522,6,43,129,full_protocol_run,3127,1841,1467,871,0,0.5887432043492165,0.5937286980231765
protocol_b_43_masters_3_orders,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,native,4,129,lag1-route-then-class-iou-v1,lag1,119,1110,1313,2496,696,1980,75,1258,353,0.5260416666666666,0.3371104815864023,0.507183908045977,0.17097701149425287,0.05961844197138315,0.5606060606060606,6,43,129,full_protocol_run,3127,1841,1467,871,0,0.5887432043492165,0.5937286980231765
protocol_b_43_masters_3_orders,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,native,5,129,lag1-route-then-class-iou-v1,lag1,186,1492,1771,3528,1093,2661,109,1866,569,0.501984126984127,0.3268892794376098,0.5205855443732845,0.17017383348581885,0.05841371918542337,0.5606914693724164,6,43,129,full_protocol_run,3127,1841,1467,871,0,0.5887432043492165,0.5937286980231765
protocol_b_43_masters_3_orders,M3-BASE-CONT,a0aa8f73aac5b27aa0aac972ac72cbf1a7dfb3f6d6a1ba103cbf0a92ba793ed6,45,45,native,2,129,lag1-route-then-class-iou-v1,lag1,0,407,407,645,0,645,17,255,0,0.6310077519379845,N/A,N/A,N/A,0.06666666666666667,0.6310077519379845,6,43,129,full_protocol_run,3099,1851,1462,896,0,0.5972894482090997,0.612859097127223
protocol_b_43_masters_3_orders,M3-BASE-CONT,a0aa8f73aac5b27aa0aac972ac72cbf1a7dfb3f6d6a1ba103cbf0a92ba793ed6,45,45,native,3,129,lag1-route-then-class-iou-v1,lag1,42,782,898,1527,272,1301,34,663,140,0.5880812049770793,0.3,0.5147058823529411,0.15441176470588236,0.05128205128205128,0.601076095311299,6,43,129,full_protocol_run,3099,1851,1462,896,0,0.5972894482090997,0.612859097127223
protocol_b_43_masters_3_orders,M3-BASE-CONT,a0aa8f73aac5b27aa0aac972ac72cbf1a7dfb3f6d6a1ba103cbf0a92ba793ed6,45,45,native,4,129,lag1-route-then-class-iou-v1,lag1,109,1207,1441,2510,696,1997,67,1136,354,0.5741035856573705,0.307909604519774,0.5086206896551724,0.15660919540229884,0.05897887323943662,0.6044066099148723,6,43,129,full_protocol_run,3099,1851,1462,896,0,0.5972894482090997,0.612859097127223
protocol_b_43_masters_3_orders,M3-BASE-CONT,a0aa8f73aac5b27aa0aac972ac72cbf1a7dfb3f6d6a1ba103cbf0a92ba793ed6,45,45,native,5,129,lag1-route-then-class-iou-v1,lag1,168,1610,1936,3553,1093,2695,96,1713,568,0.544891640866873,0.29577464788732394,0.5196706312900274,0.1537053979871912,0.05604203152364273,0.5974025974025974,6,43,129,full_protocol_run,3099,1851,1462,896,0,0.5972894482090997,0.612859097127223
protocol_b_43_masters_3_orders,FH-CONT,6672569c9524d38a0f932c9d8351d6606b9b26a574236a59d4799f225178d4f5,45,45,native,2,129,lag1-route-then-class-iou-v1,lag1,0,360,360,637,0,637,8,285,0,0.565149136577708,N/A,N/A,N/A,0.028070175438596492,0.565149136577708,6,43,129,full_protocol_run,0,0,0,0,0,N/A,N/A
protocol_b_43_masters_3_orders,FH-CONT,6672569c9524d38a0f932c9d8351d6606b9b26a574236a59d4799f225178d4f5,45,45,native,3,129,lag1-route-then-class-iou-v1,lag1,2,675,841,1475,275,1265,17,651,139,0.5701694915254237,0.014388489208633094,0.5054545454545455,0.007272727272727273,0.026113671274961597,0.5335968379446641,6,43,129,full_protocol_run,0,0,0,0,0,N/A,N/A
protocol_b_43_masters_3_orders,FH-CONT,6672569c9524d38a0f932c9d8351d6606b9b26a574236a59d4799f225178d4f5,45,45,native,4,129,lag1-route-then-class-iou-v1,lag1,7,994,1412,2431,705,1917,34,1053,352,0.5808309337721103,0.019886363636363636,0.49929078014184397,0.009929078014184398,0.032288698955365625,0.5185185185185185,6,43,129,full_protocol_run,0,0,0,0,0,N/A,N/A
protocol_b_43_masters_3_orders,FH-CONT,6672569c9524d38a0f932c9d8351d6606b9b26a574236a59d4799f225178d4f5,45,45,native,5,129,lag1-route-then-class-iou-v1,lag1,10,1312,2007,3456,1101,2593,45,1494,569,0.5807291666666666,0.01757469244288225,0.516802906448683,0.009082652134423252,0.030120481927710843,0.5059776320863865,6,43,129,full_protocol_run,0,0,0,0,0,N/A,N/A
