method,reference_scene_id,master_sequence_id,order_id,horizon,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall,update_scan_count,update_point_count,cumulative_scan_count
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,4,0.29497355222702026,0.4246031641960144,0.5277777910232544,0.327160507440567,0.6111111044883728,0.6111111044883728,0.6566234827041626,0.8707561492919922,0.9166666865348816,0.8209876418113708,11,11,15,16,1,2,5,5,0,1.0,0.9375,0.5,0.0,0.0,4,173539,9
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,4,0.4197530746459961,0.6111111044883728,0.616435170173645,0.4197530746459961,0.6111111044883728,0.6666666865348816,0.5746992826461792,0.7611110806465149,0.9000000357627869,0.7654321193695068,0,11,1,16,1,16,5,5,4,0.0,0.0625,0.0625,0.8,0.8,2,55166,6
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,5,0.23456789553165436,0.3611111044883728,0.4722222089767456,0.2530864179134369,0.4444444477558136,0.5555555820465088,0.7876983880996704,0.9285714030265808,0.9285714030265808,0.8015872836112976,16,16,21,22,4,5,6,5,0,1.0,0.9545454545454546,0.8,0.0,0.0,5,205984,14
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,5,0.37654322385787964,0.5555555820465088,0.5568783283233643,0.37654322385787964,0.5555555820465088,0.6111111044883728,0.7039682269096375,0.8214285969734192,0.8928571343421936,0.8015872836112976,0,16,2,22,1,21,6,5,4,0.0,0.09090909090909091,0.047619047619047616,0.8,0.6666666666666666,2,32445,8
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,2,0.7144097089767456,0.890625,0.9375,0.7847222089767456,0.9375,0.9375,0.8611111044883728,1.0,1.0,0.8888888955116272,4,4,4,4,1,1,0,0,0,1.0,1.0,1.0,,,2,90078,2
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,2,0.6956018805503845,0.9375,0.9375,0.7430555820465088,0.9375,0.9375,0.8611111044883728,1.0,1.0,0.8888888955116272,0,4,0,4,0,4,0,0,0,0.0,0.0,0.0,,,2,38440,2
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,3,0.4166666567325592,0.5277777910232544,0.5277777910232544,0.5,0.6111111044883728,0.6111111044883728,0.6944444179534912,0.7857142686843872,0.7857142686843872,0.8730158805847168,8,8,8,8,2,2,1,0,0,1.0,1.0,1.0,,0.0,3,112650,5
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,3,0.5850970149040222,0.841269850730896,0.841269850730896,0.6975308656692505,0.9444444179534912,0.9444444179534912,0.7515872716903687,0.8928571343421936,0.8928571343421936,0.8730158805847168,0,8,0,8,0,8,1,0,0,0.0,0.0,0.0,,0.0,2,22572,4
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,4,0.2469135820865631,0.3888888955116272,0.3888888955116272,0.2469135820865631,0.3888888955116272,0.3888888955116272,0.6111111044883728,0.75,0.75,0.6984127163887024,11,11,12,12,3,3,3,1,0,1.0,1.0,1.0,0.0,0.0,4,141135,9
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,4,0.43209877610206604,0.6388888955116272,0.6388888955116272,0.48765432834625244,0.7222222089767456,0.7222222089767456,0.6111111044883728,0.75,0.75,0.6984127163887024,0,11,0,11,0,11,3,0,0,0.0,0.0,0.0,,0.0,2,28485,6
