method,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
FullHistory,all,2,129,0.19099636375904083,0.2987154722213745,0.4959089159965515,0.34165626764297485,0.5186951160430908,0.6918497681617737,0.37085068225860596,0.5460096001625061,0.7594894170761108,0.49325576424598694,458,463,458,463,42,47,0,0,0,0.9892008639308856,0.9892008639308856,0.8936170212765957,,
FullHistory,all,3,129,0.10789728909730911,0.18514050543308258,0.34857818484306335,0.2476949393749237,0.4108293354511261,0.5680026412010193,0.3669058680534363,0.5608996748924255,0.767978847026825,0.49847909808158875,931,950,1066,1087,141,162,275,87,0,0.98,0.9806807727690893,0.8703703703703703,0.0,0.0
FullHistory,all,4,129,0.06899910420179367,0.13188578188419342,0.24188090860843658,0.18835905194282532,0.32543787360191345,0.4589711129665375,0.36049994826316833,0.5663458108901978,0.7679016590118408,0.49829205870628357,1442,1469,1810,1869,294,353,705,266,9,0.9816201497617427,0.9684323167469235,0.8328611898016998,0.03383458646616541,0.01276595744680851
FullHistory,all,5,129,0.045340124517679214,0.08561473339796066,0.16709297895431519,0.1365537792444229,0.23615474998950958,0.369904488325119,0.36372849345207214,0.5437174439430237,0.7705991864204407,0.4884997308254242,1978,2017,2613,2699,488,574,1101,411,11,0.9806643529995042,0.9681363467951093,0.8501742160278746,0.0267639902676399,0.009990917347865577
Persist4D-V2,all,2,129,0.2072410136461258,0.32339704036712646,0.5257684588432312,0.34868067502975464,0.5337235331535339,0.6804587841033936,0.3617435097694397,0.5408530831336975,0.7627933025360107,0.4963539242744446,47,463,47,463,80,496,0,0,0,0.10151187904967603,0.10151187904967603,0.16129032258064516,,
Persist4D-V2,all,3,129,0.12310197949409485,0.21627987921237946,0.3861774206161499,0.2529574930667877,0.41096726059913635,0.5479671955108643,0.3690519332885742,0.570050060749054,0.7803565859794617,0.5231457352638245,96,963,99,1106,159,1166,272,89,80,0.09968847352024922,0.08951175406871609,0.13636363636363635,0.898876404494382,0.29411764705882354
Persist4D-V2,all,4,129,0.07023176550865173,0.14179670810699463,0.26698482036590576,0.17581450939178467,0.30697211623191833,0.4262063801288605,0.3589281737804413,0.5807260870933533,0.7905157208442688,0.5050413608551025,154,1488,167,1865,245,1943,696,246,207,0.10349462365591398,0.08954423592493298,0.12609366958311888,0.8414634146341463,0.2974137931034483
Persist4D-V2,all,5,129,0.05250302702188492,0.11147091537714005,0.23007622361183167,0.13842646777629852,0.25305312871932983,0.365384966135025,0.3714047074317932,0.5718337893486023,0.7954360842704773,0.5076167583465576,226,2029,236,2673,317,2754,1093,395,341,0.11138491867915229,0.08829031051253274,0.11510530137981119,0.8632911392405064,0.3119853613906679
