method,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
FullHistory,canonical,2,43,0.20722658932209015,0.3289628326892853,0.5393747687339783,0.349545419216156,0.5150136351585388,0.7182619571685791,0.36980727314949036,0.5628725290298462,0.7723667621612549,0.4997531473636627,160,162,160,162,22,24,0,0,0,0.9876543209876543,0.9876543209876543,0.9166666666666666,,
FullHistory,canonical,3,43,0.11683275550603867,0.2039884626865387,0.35731008648872375,0.24738429486751556,0.4011823534965515,0.5718505382537842,0.36100059747695923,0.5500369668006897,0.7591304183006287,0.4869191348552704,326,333,376,383,51,58,105,33,0,0.978978978978979,0.9817232375979112,0.8793103448275862,0.0,0.0
FullHistory,canonical,4,43,0.07123789936304092,0.1347436159849167,0.25174641609191895,0.18176354467868805,0.30681535601615906,0.4578271806240082,0.3538123667240143,0.5496121048927307,0.7469495534896851,0.5013357400894165,493,503,615,629,106,120,232,78,2,0.9801192842942346,0.9777424483306836,0.8833333333333333,0.02564102564102564,0.008620689655172414
FullHistory,canonical,5,43,0.04427722096443176,0.08125066012144089,0.17315047979354858,0.13959765434265137,0.23920784890651703,0.3770503103733063,0.3493248224258423,0.5321940779685974,0.7450615167617798,0.4845113158226013,661,674,866,890,172,196,373,129,2,0.9807121661721068,0.9730337078651685,0.8775510204081632,0.015503875968992248,0.005361930294906166
Persist4D-V2,canonical,2,43,0.2149520218372345,0.34914353489875793,0.5593777894973755,0.3534661531448364,0.5257987380027771,0.6989193558692932,0.36135682463645935,0.555243730545044,0.78228759765625,0.5034977197647095,13,162,13,162,27,176,0,0,0,0.08024691358024691,0.08024691358024691,0.1534090909090909,,
Persist4D-V2,canonical,3,43,0.12587131559848785,0.22425144910812378,0.4102586805820465,0.2581102252006531,0.39729318022727966,0.5655595660209656,0.3651871085166931,0.5621477961540222,0.7882253527641296,0.5032063126564026,31,333,34,387,54,407,103,36,32,0.09309309309309309,0.08785529715762273,0.13267813267813267,0.8888888888888888,0.3106796116504854
Persist4D-V2,canonical,4,43,0.08434075117111206,0.16474628448486328,0.32691219449043274,0.19350217282772064,0.31409481167793274,0.47098445892333984,0.3651706278324127,0.5591285228729248,0.7846797704696655,0.5028339624404907,49,504,54,633,78,657,229,82,70,0.09722222222222222,0.08530805687203792,0.1187214611872146,0.8536585365853658,0.3056768558951965
Persist4D-V2,canonical,5,43,0.05635813623666763,0.118157297372818,0.2766639292240143,0.14681090414524078,0.2527553141117096,0.4111800491809845,0.3605973720550537,0.5526551604270935,0.7804216742515564,0.5031508207321167,68,675,74,893,103,922,368,134,117,0.10074074074074074,0.08286674132138858,0.11171366594360087,0.8731343283582089,0.3179347826086957
FullHistory,reverse,2,43,0.21109874546527863,0.3429367244243622,0.5463166832923889,0.3575153052806854,0.5420021414756775,0.7300193309783936,0.3819788098335266,0.5625064373016357,0.7700338959693909,0.5036863684654236,163,165,163,165,16,18,0,0,0,0.9878787878787879,0.9878787878787879,0.8888888888888888,,
FullHistory,reverse,3,43,0.11031090468168259,0.1929326206445694,0.35779789090156555,0.2456331104040146,0.3952787518501282,0.572920560836792,0.3576786518096924,0.5482119917869568,0.7732046246528625,0.4838184714317322,326,331,377,384,56,63,104,35,0,0.9848942598187311,0.9817708333333334,0.8888888888888888,0.0,0.0
FullHistory,reverse,4,43,0.07150053977966309,0.1303333193063736,0.2440800666809082,0.17215292155742645,0.29243531823158264,0.44661569595336914,0.36842235922813416,0.5665820240974426,0.7625626921653748,0.504564106464386,495,501,610,627,105,122,230,79,2,0.9880239520958084,0.9728867623604466,0.860655737704918,0.02531645569620253,0.008695652173913044
FullHistory,reverse,5,43,0.04792429134249687,0.09073711186647415,0.17801950871944427,0.13858845829963684,0.23992878198623657,0.37533876299858093,0.36924096941947937,0.5443105101585388,0.7675338983535767,0.47831910848617554,664,672,866,889,169,192,369,130,4,0.9880952380952381,0.9741282339707537,0.8802083333333334,0.03076923076923077,0.01084010840108401
Persist4D-V2,reverse,2,43,0.21162836253643036,0.3367443382740021,0.5386040210723877,0.3542424142360687,0.5319663286209106,0.6997557282447815,0.3749467134475708,0.561781108379364,0.7685652375221252,0.5104965567588806,12,165,12,165,25,178,0,0,0,0.07272727272727272,0.07272727272727272,0.1404494382022472,,
Persist4D-V2,reverse,3,43,0.12758111953735352,0.2215031236410141,0.37803176045417786,0.24586574733257294,0.3960317373275757,0.5467223525047302,0.36367639899253845,0.5669835805892944,0.7693859338760376,0.510774552822113,34,333,31,385,51,405,103,34,34,0.1021021021021021,0.08051948051948052,0.1259259259259259,1.0,0.3300970873786408
