level_a_AP,level_a_AP25,level_a_AP50,level_a_REC,level_a_REC25,level_a_REC50,level_a_identity_correct_recoveries,level_a_identity_eligible_identity_count,level_a_identity_eligible_observation_count,level_a_identity_fragmentation_count,level_a_identity_gap_opportunities,level_a_identity_gap_recovery_accuracy,level_a_identity_gap_recovery_recall,level_a_identity_identity_switches,level_a_identity_matched_identity_transitions,level_a_identity_matched_observation_count,level_a_identity_merge_count,level_a_identity_normalized_id_switch_rate,level_a_identity_observation_coverage,level_a_identity_recovery_attempts,level_a_offline_reconstructed_t-REC,level_a_offline_reconstructed_t-REC25,level_a_offline_reconstructed_t-REC50,level_a_offline_reconstructed_t-mAP,level_a_offline_reconstructed_t-mAP25,level_a_offline_reconstructed_t-mAP50,level_a_offline_reconstructed_t_REC,level_a_offline_reconstructed_t_REC25,level_a_offline_reconstructed_t_REC50,level_a_offline_reconstructed_t_mAP,level_a_offline_reconstructed_t_mAP25,level_a_offline_reconstructed_t_mAP50,level_a_online_t-REC,level_a_online_t-REC25,level_a_online_t-REC50,level_a_online_t-mAP,level_a_online_t-mAP25,level_a_online_t-mAP50,level_a_online_t_REC,level_a_online_t_REC25,level_a_online_t_REC50,level_a_online_t_mAP,level_a_online_t_mAP25,level_a_online_t_mAP50,level_a_raw_local_AP,level_a_raw_local_AP25,level_a_raw_local_AP50,level_a_raw_local_REC,level_a_raw_local_REC25,level_a_raw_local_REC50,level_b_correct_recoveries,level_b_eligible_identity_count,level_b_eligible_observation_count,level_b_fragmentation_count,level_b_gap_opportunities,level_b_gap_recovery_accuracy,level_b_gap_recovery_recall,level_b_identity_switches,level_b_matched_identity_transitions,level_b_matched_observation_count,level_b_merge_count,level_b_normalized_id_switch_rate,level_b_observation_coverage,level_b_recovery_attempts,method,method_code,scene_id
0.012129629629629629,0.01712962962962963,0.012129629629629629,0.027522935779816515,0.03669724770642202,0.027522935779816515,0,33,109,0,2,0.0,0.0,0,0,3,0,0.0,0.027522935779816515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012129629629629629,0.01712962962962963,0.012129629629629629,0.027522935779816515,0.03669724770642202,0.027522935779816515,0,33,109,0,2,0.0,0.0,0,0,4,0,0.0,0.03669724770642202,0,Pairwise Feature Association,B1,scene_a
0.012129629629629629,0.01712962962962963,0.012129629629629629,0.027522935779816515,0.03669724770642202,0.027522935779816515,0,33,109,0,2,0.0,0.0,0,0,3,0,0.0,0.027522935779816515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012129629629629629,0.01712962962962963,0.012129629629629629,0.027522935779816515,0.03669724770642202,0.027522935779816515,0,33,109,0,2,0.0,0.0,0,0,4,0,0.0,0.03669724770642202,0,Pairwise Feature-Class Association,B2,scene_a
0.012129629629629629,0.01712962962962963,0.012129629629629629,0.027522935779816515,0.03669724770642202,0.027522935779816515,0,33,109,0,2,0.0,0.0,0,0,3,0,0.0,0.027522935779816515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012129629629629629,0.01712962962962963,0.012129629629629629,0.027522935779816515,0.03669724770642202,0.027522935779816515,0,33,109,0,2,0.0,0.0,0,0,4,0,0.0,0.03669724770642202,0,EMA Temporal Association,B3,scene_a
0.012129629629629629,0.01712962962962963,0.012129629629629629,0.027522935779816515,0.03669724770642202,0.027522935779816515,0,33,109,0,2,0.0,0.0,0,0,3,1,0.0,0.027522935779816515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012129629629629629,0.01712962962962963,0.012129629629629629,0.027522935779816515,0.03669724770642202,0.027522935779816515,0,33,109,0,2,0.0,0.0,0,0,4,1,0.0,0.03669724770642202,0,Persist4D,B4,scene_a
0.0014367816091954023,0.021385941644562336,0.0021551724137931034,0.005952380952380952,0.026785714285714284,0.008928571428571428,0,31,112,0,5,0.0,0.0,0,0,1,0,0.0,0.008928571428571428,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014367816091954023,0.021385941644562336,0.0021551724137931034,0.005952380952380952,0.026785714285714284,0.008928571428571428,0,33,116,0,6,0.0,0.0,0,0,3,0,0.0,0.02586206896551724,0,Pairwise Feature Association,B1,scene_b
0.0014367816091954023,0.021385941644562336,0.0021551724137931034,0.005952380952380952,0.026785714285714284,0.008928571428571428,0,31,112,0,5,0.0,0.0,0,0,1,0,0.0,0.008928571428571428,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014367816091954023,0.021385941644562336,0.0021551724137931034,0.005952380952380952,0.026785714285714284,0.008928571428571428,0,33,116,0,6,0.0,0.0,0,0,3,0,0.0,0.02586206896551724,0,Pairwise Feature-Class Association,B2,scene_b
0.0014367816091954023,0.021385941644562336,0.0021551724137931034,0.005952380952380952,0.026785714285714284,0.008928571428571428,0,31,112,0,5,0.0,0.0,0,0,1,0,0.0,0.008928571428571428,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014367816091954023,0.021385941644562336,0.0021551724137931034,0.005952380952380952,0.026785714285714284,0.008928571428571428,0,33,116,0,6,0.0,0.0,0,0,3,0,0.0,0.02586206896551724,0,EMA Temporal Association,B3,scene_b
0.0014367816091954023,0.021385941644562336,0.0021551724137931034,0.005952380952380952,0.026785714285714284,0.008928571428571428,0,31,112,0,5,0.0,0.0,0,0,1,0,0.0,0.008928571428571428,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014367816091954023,0.021385941644562336,0.0021551724137931034,0.005952380952380952,0.026785714285714284,0.008928571428571428,0,33,116,0,6,0.0,0.0,0,0,3,0,0.0,0.02586206896551724,0,Persist4D,B4,scene_b
0.005158730158730159,0.055952380952380955,0.008333333333333333,0.01564945226917058,0.07042253521126761,0.028169014084507043,0,15,71,0,0,0.0,0.0,0,1,2,0,0.0,0.028169014084507043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005158730158730159,0.055952380952380955,0.008333333333333333,0.01564945226917058,0.07042253521126761,0.028169014084507043,0,15,71,0,0,0.0,0.0,0,2,4,0,0.0,0.056338028169014086,0,Pairwise Feature Association,B1,scene_c
0.005158730158730159,0.055952380952380955,0.008333333333333333,0.01564945226917058,0.07042253521126761,0.028169014084507043,0,15,71,0,0,0.0,0.0,0,1,2,0,0.0,0.028169014084507043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005158730158730159,0.055952380952380955,0.008333333333333333,0.01564945226917058,0.07042253521126761,0.028169014084507043,0,15,71,1,0,0.0,0.0,1,2,4,0,0.5,0.056338028169014086,0,Pairwise Feature-Class Association,B2,scene_c
