population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,visual_content_control,T,episode_count,policy,reducer,prefix_overall_mAP,local_current_AP,t_REC,t_mAP,t_mAP25,t_mAP50,reference_count,master_count
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,2,47,commit0,mean,0.043703749775886536,0.6566435098648071,0.058619871735572815,0.009098710492253304,0.011169135570526123,0.01085567381232977,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,3,47,commit0,mean,0.019162051379680634,0.6683213114738464,0.0495905801653862,0.01600366272032261,0.018274225294589996,0.018195288255810738,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,4,47,commit0,mean,0.016355963423848152,0.6496191024780273,0.03725263103842735,0.013486719690263271,0.015348990447819233,0.015347248874604702,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,5,47,commit0,mean,0.020344559103250504,0.6548339128494263,0.041706349700689316,0.01892019994556904,0.0214828010648489,0.02148098684847355,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,2,47,lag1,latest,0.651333749294281,0.6566435098648071,0.6172293424606323,0.5375716686248779,0.9126362800598145,0.749305248260498,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,3,47,lag1,latest,0.6086357235908508,0.6683213114738464,0.5546736717224121,0.43049541115760803,0.8132753372192383,0.6289196610450745,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,4,47,lag1,latest,0.5274479389190674,0.6496191024780273,0.49167224764823914,0.34448689222335815,0.6725378036499023,0.5207042694091797,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,5,47,lag1,latest,0.44641855359077454,0.6548339128494263,0.4330858886241913,0.2753552794456482,0.5390033721923828,0.4155474603176117,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,2,47,lag1,max,0.651333749294281,0.6566435098648071,0.6172293424606323,0.5375716686248779,0.9126362800598145,0.749305248260498,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,3,47,lag1,max,0.6031363010406494,0.6294716596603394,0.5546736717224121,0.4350380301475525,0.8080645203590393,0.6387075185775757,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,4,47,lag1,max,0.5448155403137207,0.5892899036407471,0.49167224764823914,0.36303073167800903,0.7001888155937195,0.5473386645317078,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,5,47,lag1,max,0.4801154136657715,0.5711353421211243,0.4330858886241913,0.29695382714271545,0.5968341827392578,0.4616868793964386,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,2,47,lag1,mean,0.651333749294281,0.6566435098648071,0.6172293424606323,0.5375716686248779,0.9126362800598145,0.749305248260498,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,3,47,lag1,mean,0.6075184345245361,0.6611416339874268,0.5546736717224121,0.43754997849464417,0.8133429884910583,0.636168897151947,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,4,47,lag1,mean,0.5241591930389404,0.6394108533859253,0.49167224764823914,0.34578144550323486,0.6760692596435547,0.5235093832015991,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,5,47,lag1,mean,0.4324474036693573,0.6259336471557617,0.4330858886241913,0.27610331773757935,0.5478525161743164,0.4216758608818054,8,47
