method,T,failure_category,count
B4,T2,F1,333
B4,T2,F2,97
B4,T2,F3,2
B4,T2,F4,34
B4,T2,F5,0
B4,T2,F6,114
B4,T2,F7,189
B4,T2,unclassified,0
B4,T3,F1,477
B4,T3,F2,198
B4,T3,F3,16
B4,T3,F4,68
B4,T3,F5,12
B4,T3,F6,186
B4,T3,F7,231
B4,T3,unclassified,0
B4,T4,F1,620
B4,T4,F2,322
B4,T4,F3,26
B4,T4,F4,106
B4,T4,F5,40
B4,T4,F6,248
B4,T4,F7,281
B4,T4,unclassified,0
B4,T5,F1,766
B4,T5,F2,451
B4,T5,F3,45
B4,T5,F4,139
B4,T5,F5,78
B4,T5,F6,310
B4,T5,F7,311
B4,T5,unclassified,0
P6B,T2,F1,350
P6B,T2,F2,86
P6B,T2,F3,2
P6B,T2,F4,33
P6B,T2,F5,0
P6B,T2,F6,98
P6B,T2,F7,215
P6B,T2,unclassified,0
P6B,T3,F1,497
P6B,T3,F2,174
P6B,T3,F3,13
P6B,T3,F4,62
P6B,T3,F5,13
P6B,T3,F6,170
P6B,T3,F7,274
P6B,T3,unclassified,0
P6B,T4,F1,652
P6B,T4,F2,275
P6B,T4,F3,21
P6B,T4,F4,105
P6B,T4,F5,37
P6B,T4,F6,230
P6B,T4,F7,360
P6B,T4,unclassified,0
P6B,T5,F1,802
P6B,T5,F2,392
P6B,T5,F3,35
P6B,T5,F4,125
P6B,T5,F5,71
P6B,T5,F6,288
P6B,T5,F7,423
P6B,T5,unclassified,0
