method,T,t_mAP,t_REC,identity_switches,transition_opportunities,identity_switch_rate,wrong_reactivations,predicted_reactivation_events,wrong_reactivation_rate,correct_reactivations,reactivation_attempts,gap_opportunities,reactivation_accuracy,reactivation_recall,false_births,births,rejected_births,false_birth_rate
B4,T2,0.16651403903961182,0.23247739672660828,20,101,0.19801980198019803,0,0,,0,0,0,,,189,541,0,0.34935304990757854
B4,T3,0.10029252618551254,0.1518893539905548,45,277,0.1624548736462094,12,49,0.24489795918367346,37,49,71,0.7551020408163265,0.5211267605633803,231,603,0,0.38308457711442784
B4,T4,0.023581834509968758,0.06789838522672653,81,513,0.15789473684210525,40,123,0.3252032520325203,83,123,194,0.6747967479674797,0.42783505154639173,281,664,0,0.42319277108433734
B4,T5,0.01193772628903389,0.03523138910531998,123,784,0.1568877551020408,78,224,0.3482142857142857,146,224,345,0.6517857142857143,0.42318840579710143,311,698,0,0.4455587392550143
P6B,T2,0.15969251096248627,0.24517640471458435,18,101,0.1782178217821782,0,0,,0,0,0,,,149,490,66,0.26798561151079137
P6B,T3,0.10272689163684845,0.17314861714839935,43,276,0.15579710144927536,13,49,0.2653061224489796,36,49,71,0.7346938775510204,0.5070422535211268,190,563,84,0.2936630602782071
P6B,T4,0.025164136663079262,0.07805363088846207,78,512,0.15234375,37,119,0.31092436974789917,82,119,192,0.6890756302521008,0.4270833333333333,234,617,126,0.3149394347240915
P6B,T5,0.019323833286762238,0.05590704455971718,121,783,0.1545338441890166,71,211,0.33649289099526064,140,211,338,0.6635071090047393,0.41420118343195267,273,666,150,0.33455882352941174
