method,reference_scene_id,master_sequence_id,order_id,T,prediction_digest,F1,F2,F3,F4,F5,F6,F7,unclassified
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,sha256_seed45,T2,cd002370d1197133b2f3aeaafbae844cb316576488a68adc11d5e971a1961438,13,3,0,1,0,4,6,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,sha256_seed45,T3,cd002370d1197133b2f3aeaafbae844cb316576488a68adc11d5e971a1961438,20,3,1,3,1,8,10,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,sha256_seed45,T4,cd002370d1197133b2f3aeaafbae844cb316576488a68adc11d5e971a1961438,22,5,1,3,2,12,11,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,sha256_seed45,T5,cd002370d1197133b2f3aeaafbae844cb316576488a68adc11d5e971a1961438,27,10,1,3,2,16,14,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,canonical,T2,9d1d15eb6505c983ee445e2297d2a378cd6650aef35678976bd574fcd75cbd5a,8,4,0,0,0,6,5,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,canonical,T3,9d1d15eb6505c983ee445e2297d2a378cd6650aef35678976bd574fcd75cbd5a,11,6,0,0,0,8,5,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,canonical,T4,9d1d15eb6505c983ee445e2297d2a378cd6650aef35678976bd574fcd75cbd5a,21,14,0,1,0,10,5,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,canonical,T5,9d1d15eb6505c983ee445e2297d2a378cd6650aef35678976bd574fcd75cbd5a,25,17,0,1,1,14,5,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,reverse,T2,391631c66271d714c6a9fcad9d540f74d6e807db3517eef8fc05d622f72c235c,16,5,0,1,0,8,7,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,reverse,T3,391631c66271d714c6a9fcad9d540f74d6e807db3517eef8fc05d622f72c235c,19,6,1,1,1,10,7,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,reverse,T4,391631c66271d714c6a9fcad9d540f74d6e807db3517eef8fc05d622f72c235c,25,8,1,1,1,14,8,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,reverse,T5,391631c66271d714c6a9fcad9d540f74d6e807db3517eef8fc05d622f72c235c,32,12,2,1,2,16,15,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,sha256_seed45,T2,51d4aa18670941f78464a339ce5fcee859345139f579b4ae7ca89b95a03bc14a,13,3,0,1,0,4,6,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,sha256_seed45,T3,51d4aa18670941f78464a339ce5fcee859345139f579b4ae7ca89b95a03bc14a,17,6,0,1,1,8,6,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,sha256_seed45,T4,51d4aa18670941f78464a339ce5fcee859345139f579b4ae7ca89b95a03bc14a,22,8,0,1,2,12,12,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,sha256_seed45,T5,51d4aa18670941f78464a339ce5fcee859345139f579b4ae7ca89b95a03bc14a,25,12,1,3,2,16,12,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T2,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,8,1,0,1,0,6,3,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T3,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,18,9,0,2,0,8,3,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T4,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,22,12,0,2,2,12,3,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T5,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,29,15,0,3,3,16,6,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T2,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,7,2,0,1,0,10,4,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T3,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,17,11,0,2,0,12,4,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T4,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,20,12,1,2,0,14,4,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T5,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,26,14,2,2,2,18,4,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T2,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,13,3,0,1,0,4,6,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T3,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,20,3,1,3,1,8,10,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T4,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,22,5,1,3,2,12,11,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T5,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,26,10,1,3,2,16,15,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,T2,d8d6cecbe2c8f071dd79c1ae3c38d64375c675dc34d63d3aafc3b575328521cd,12,6,0,5,0,0,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,T3,d8d6cecbe2c8f071dd79c1ae3c38d64375c675dc34d63d3aafc3b575328521cd,16,11,0,5,0,0,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,T4,d8d6cecbe2c8f071dd79c1ae3c38d64375c675dc34d63d3aafc3b575328521cd,21,13,0,5,4,0,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,T5,d8d6cecbe2c8f071dd79c1ae3c38d64375c675dc34d63d3aafc3b575328521cd,24,18,0,6,4,0,9,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,reverse,T2,bce0d897f3894d3d5965f8038887e5617b4c3598bf0983e8dedc1ba18271ca7b,8,1,1,2,0,0,8,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,reverse,T3,bce0d897f3894d3d5965f8038887e5617b4c3598bf0983e8dedc1ba18271ca7b,10,1,1,4,1,0,9,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,reverse,T4,bce0d897f3894d3d5965f8038887e5617b4c3598bf0983e8dedc1ba18271ca7b,15,3,1,8,3,0,16,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,reverse,T5,bce0d897f3894d3d5965f8038887e5617b4c3598bf0983e8dedc1ba18271ca7b,20,7,2,8,7,0,18,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,9,4,0,1,0,0,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,12,8,0,1,0,2,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,17,12,0,5,2,2,10,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,22,17,1,5,6,2,11,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,canonical,T2,aa045e7d996427ecc5d4bad400698ceea79dcc5460acdb6b4eecfadcfca29163,7,0,0,2,0,0,4,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,canonical,T3,aa045e7d996427ecc5d4bad400698ceea79dcc5460acdb6b4eecfadcfca29163,10,4,0,3,0,0,8,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,canonical,T4,aa045e7d996427ecc5d4bad400698ceea79dcc5460acdb6b4eecfadcfca29163,14,6,2,4,0,0,8,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,canonical,T5,aa045e7d996427ecc5d4bad400698ceea79dcc5460acdb6b4eecfadcfca29163,20,12,2,9,0,0,9,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,reverse,T2,c5d237452c8dfd4db8dbcbf714cda71dc3e6b9868415e8b543e5e71ffaa0739d,9,3,0,5,0,0,8,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,reverse,T3,c5d237452c8dfd4db8dbcbf714cda71dc3e6b9868415e8b543e5e71ffaa0739d,11,6,0,5,0,0,8,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,reverse,T4,c5d237452c8dfd4db8dbcbf714cda71dc3e6b9868415e8b543e5e71ffaa0739d,16,8,0,5,0,0,11,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,reverse,T5,c5d237452c8dfd4db8dbcbf714cda71dc3e6b9868415e8b543e5e71ffaa0739d,18,9,0,7,0,0,11,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,9,4,0,1,0,0,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,12,8,0,1,0,2,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,17,12,0,5,2,2,10,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,22,17,1,5,6,2,11,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T2,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,8,5,0,1,0,0,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T3,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,13,7,0,5,2,0,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T4,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,16,12,0,6,2,0,9,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T5,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,20,14,1,7,3,0,9,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T2,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,8,3,0,0,0,0,5,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T3,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,13,4,0,0,0,0,8,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T4,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,15,5,0,2,0,0,8,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T5,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,19,10,0,7,0,0,12,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,9,4,0,1,0,0,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,12,8,0,1,0,2,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,17,12,0,5,2,2,10,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,22,17,1,5,6,2,11,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T2,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,7,2,1,1,0,0,5,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T3,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,13,7,1,7,0,0,7,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T4,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,17,12,1,7,0,0,7,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T5,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,22,14,1,7,5,0,7,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,reverse,T2,ee5dfe110e474f8fc6827efcd6fca1786f51dfd148df603252f7e7c14c6fc230,8,1,0,3,0,0,3,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,reverse,T3,ee5dfe110e474f8fc6827efcd6fca1786f51dfd148df603252f7e7c14c6fc230,13,3,0,7,3,0,8,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,reverse,T4,ee5dfe110e474f8fc6827efcd6fca1786f51dfd148df603252f7e7c14c6fc230,18,7,1,7,7,0,10,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,reverse,T5,ee5dfe110e474f8fc6827efcd6fca1786f51dfd148df603252f7e7c14c6fc230,20,10,1,8,7,0,10,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,9,4,0,1,0,0,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,12,8,0,1,0,2,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,17,12,0,5,2,2,10,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,22,17,1,5,6,2,11,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,canonical,T2,473db1ebe5aca4c1a8c62122556096daed7f1774430ad709af1d8eead2b08775,9,4,0,1,0,0,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,canonical,T3,473db1ebe5aca4c1a8c62122556096daed7f1774430ad709af1d8eead2b08775,13,6,1,2,1,0,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,canonical,T4,473db1ebe5aca4c1a8c62122556096daed7f1774430ad709af1d8eead2b08775,19,12,1,7,1,0,7,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,canonical,T5,473db1ebe5aca4c1a8c62122556096daed7f1774430ad709af1d8eead2b08775,23,17,1,7,1,0,7,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,reverse,T2,709fe3016e2f02deed6d959a612402e987a0887c52e7d5cd4268dcb53311851c,7,0,0,1,0,0,9,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,reverse,T3,709fe3016e2f02deed6d959a612402e987a0887c52e7d5cd4268dcb53311851c,12,4,1,5,0,0,10,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,reverse,T4,709fe3016e2f02deed6d959a612402e987a0887c52e7d5cd4268dcb53311851c,14,7,1,6,0,0,10,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,reverse,T5,709fe3016e2f02deed6d959a612402e987a0887c52e7d5cd4268dcb53311851c,19,9,1,6,0,0,13,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,9,4,0,1,0,0,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,12,8,0,1,0,2,6,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,17,12,0,5,2,2,10,0
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,22,17,1,5,6,2,11,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,T2,e2cc155819264b00aaf0afacdc7c152fb9fc5d9bcfd7c2d9313204f5cc5e1ce0,12,2,0,0,0,8,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,T3,e2cc155819264b00aaf0afacdc7c152fb9fc5d9bcfd7c2d9313204f5cc5e1ce0,15,5,0,0,0,12,11,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,T4,e2cc155819264b00aaf0afacdc7c152fb9fc5d9bcfd7c2d9313204f5cc5e1ce0,18,7,0,0,0,14,11,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,T5,e2cc155819264b00aaf0afacdc7c152fb9fc5d9bcfd7c2d9313204f5cc5e1ce0,29,11,0,1,0,14,16,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,reverse,T2,11faf6d0bb7284058456595aebf715373d8e3b01c0e278050198ca187aa4232a,14,0,0,0,0,4,7,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,reverse,T3,11faf6d0bb7284058456595aebf715373d8e3b01c0e278050198ca187aa4232a,20,2,0,1,0,8,9,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,reverse,T4,11faf6d0bb7284058456595aebf715373d8e3b01c0e278050198ca187aa4232a,27,4,0,4,0,10,16,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,reverse,T5,11faf6d0bb7284058456595aebf715373d8e3b01c0e278050198ca187aa4232a,29,7,3,4,1,14,18,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,sha256_seed45,T2,010c260bc092fb1596c9e6aacf77d8dbf331349d270163d24a9a1a0abca5195c,13,3,0,1,0,4,6,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,sha256_seed45,T3,010c260bc092fb1596c9e6aacf77d8dbf331349d270163d24a9a1a0abca5195c,20,3,1,2,1,8,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,sha256_seed45,T4,010c260bc092fb1596c9e6aacf77d8dbf331349d270163d24a9a1a0abca5195c,25,5,1,2,1,12,15,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,sha256_seed45,T5,010c260bc092fb1596c9e6aacf77d8dbf331349d270163d24a9a1a0abca5195c,28,9,1,2,1,16,16,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,canonical,T2,b1a02bcc35d7c02babbbbbb60c0258bc49e609c131f302c83bf3de587a23617a,15,1,0,0,0,6,8,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,canonical,T3,b1a02bcc35d7c02babbbbbb60c0258bc49e609c131f302c83bf3de587a23617a,22,2,0,0,0,10,13,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,canonical,T4,b1a02bcc35d7c02babbbbbb60c0258bc49e609c131f302c83bf3de587a23617a,27,5,0,0,0,14,17,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,canonical,T5,b1a02bcc35d7c02babbbbbb60c0258bc49e609c131f302c83bf3de587a23617a,30,8,0,0,0,18,18,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,reverse,T2,5c7e6e9a9a2d0d01d4d250f4c9127cf1be24e3ddc30822eab7f3ed6a63e61241,13,2,0,0,0,6,10,0
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,reverse,T3,5c7e6e9a9a2d0d01d4d250f4c9127cf1be24e3ddc30822eab7f3ed6a63e61241,15,5,3,0,0,10,12,0
