method,reference_scene_id,master_sequence_id,order_id,T,prediction_digest,F1,F2,F3,F4,F5,F6,F7,unclassified
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T4,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,15,12,0,7,1,2,8,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T5,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,19,14,2,8,1,2,8,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T2,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,8,3,0,0,0,0,5,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T3,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,12,4,0,0,0,0,7,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T4,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,14,5,0,2,0,0,7,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T5,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,18,11,0,7,3,0,7,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,9,4,0,1,0,0,6,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,12,8,0,1,0,2,6,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,16,13,0,5,2,2,8,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,21,17,1,7,6,2,9,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T2,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,6,2,1,1,0,0,4,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T3,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,12,7,1,6,0,0,6,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T4,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,16,12,1,6,0,0,6,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T5,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,21,14,1,6,4,0,6,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,reverse,T2,ee5dfe110e474f8fc6827efcd6fca1786f51dfd148df603252f7e7c14c6fc230,8,1,0,3,0,0,3,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,reverse,T3,ee5dfe110e474f8fc6827efcd6fca1786f51dfd148df603252f7e7c14c6fc230,12,4,0,7,3,0,6,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,reverse,T4,ee5dfe110e474f8fc6827efcd6fca1786f51dfd148df603252f7e7c14c6fc230,17,8,1,8,7,0,8,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,reverse,T5,ee5dfe110e474f8fc6827efcd6fca1786f51dfd148df603252f7e7c14c6fc230,19,11,1,9,7,0,8,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,9,4,0,1,0,0,6,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,12,8,0,1,0,2,6,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,16,13,0,5,2,2,8,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,21,17,1,7,6,2,9,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,canonical,T2,473db1ebe5aca4c1a8c62122556096daed7f1774430ad709af1d8eead2b08775,9,4,0,1,0,0,6,0
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,canonical,T3,473db1ebe5aca4c1a8c62122556096daed7f1774430ad709af1d8eead2b08775,13,6,1,2,1,0,6,0
