method,reference_scene_id,master_sequence_id,order_id,T,prediction_digest,t_mAP,t_REC,identity_switches,transition_opportunities,identity_switch_rate,wrong_reactivations,predicted_reactivation_events,wrong_reactivation_rate,correct_reactivations,reactivation_attempts,gap_opportunities,reactivation_accuracy,reactivation_recall,false_births,births,rejected_births,false_birth_rate
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T3,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,0.04444444552063942,0.059259261935949326,2,5,0.4,0,0,,0,0,4,,0.0,3,17,0,0.17647058823529413
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T4,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,0.02777777798473835,0.03703703731298447,4,13,0.3076923076923077,2,8,0.25,6,8,13,0.75,0.46153846153846156,3,17,0,0.17647058823529413
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T5,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,0.02083333395421505,0.03703703731298447,6,25,0.24,3,12,0.25,9,12,17,0.75,0.5294117647058824,6,20,0,0.3
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T2,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,0.28773149847984314,0.41604939103126526,0,10,0.0,0,0,,0,0,0,,,4,20,0,0.2
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T3,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,0.09606481343507767,0.1419752985239029,1,11,0.09090909090909091,0,0,,0,0,1,,0.0,4,20,0,0.2
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T4,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,0.009259259328246117,0.012345679104328156,2,16,0.125,0,4,0.0,4,4,7,1.0,0.5714285714285714,4,20,0,0.2
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,reverse,T5,e1b12447f1dbc798fbac9c88fcdcb16842aa6e9af59fc791aca901f318d57484,0.009259259328246117,0.012345679104328156,4,27,0.14814814814814814,2,10,0.2,8,10,16,0.8,0.5,4,20,0,0.2
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T2,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,0.0,0.0,1,1,1.0,0,0,,0,0,0,,,6,12,0,0.5
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T3,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,0.02499999850988388,0.03333333134651184,3,5,0.6,1,2,0.5,1,2,4,0.5,0.25,10,18,0,0.5555555555555556
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T4,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,0.009259259328246117,0.012345679104328156,3,16,0.1875,2,3,0.6666666666666666,1,3,5,0.3333333333333333,0.2,11,19,0,0.5789473684210527
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,sha256_seed45,T5,a9011f3445845d2cf6786deb1f41052cda45b5b57f4222838c0ad10aa03532f6,0.009259259328246117,0.012345679104328156,5,27,0.18518518518518517,2,4,0.5,2,4,7,0.5,0.2857142857142857,15,23,0,0.6521739130434783
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,T2,d8d6cecbe2c8f071dd79c1ae3c38d64375c675dc34d63d3aafc3b575328521cd,0.10717593133449554,0.11079812049865723,0,3,0.0,0,0,,0,0,0,,,6,17,0,0.35294117647058826
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,T3,d8d6cecbe2c8f071dd79c1ae3c38d64375c675dc34d63d3aafc3b575328521cd,0.0694444477558136,0.07042253762483597,0,5,0.0,0,2,0.0,2,2,2,1.0,1.0,6,17,0,0.35294117647058826
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,T4,d8d6cecbe2c8f071dd79c1ae3c38d64375c675dc34d63d3aafc3b575328521cd,0.0694444477558136,0.0694444477558136,0,13,0.0,4,10,0.4,6,10,10,0.6,0.6,6,17,0,0.35294117647058826
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,T5,d8d6cecbe2c8f071dd79c1ae3c38d64375c675dc34d63d3aafc3b575328521cd,0.0694444477558136,0.0694444477558136,2,16,0.125,4,11,0.36363636363636365,7,11,12,0.6363636363636364,0.5833333333333334,8,19,1,0.4
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,reverse,T2,bce0d897f3894d3d5965f8038887e5617b4c3598bf0983e8dedc1ba18271ca7b,0.375,0.375,2,2,1.0,0,0,,0,0,0,,,3,13,5,0.16666666666666666
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,reverse,T3,bce0d897f3894d3d5965f8038887e5617b4c3598bf0983e8dedc1ba18271ca7b,0.375,0.375,2,4,0.5,1,2,0.5,1,2,3,0.5,0.3333333333333333,4,14,5,0.21052631578947367
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,reverse,T4,bce0d897f3894d3d5965f8038887e5617b4c3598bf0983e8dedc1ba18271ca7b,0.0625,0.0625,4,8,0.5,3,4,0.75,1,4,8,0.25,0.125,9,19,7,0.34615384615384615
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,reverse,T5,bce0d897f3894d3d5965f8038887e5617b4c3598bf0983e8dedc1ba18271ca7b,0.06018518656492233,0.06018518656492233,6,19,0.3157894736842105,7,10,0.7,3,10,18,0.3,0.16666666666666666,10,21,8,0.3448275862068966
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.26423609256744385,0.32571426033973694,1,1,1.0,0,0,,0,0,0,,,4,15,2,0.23529411764705882
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.2604166567325592,0.30000001192092896,1,3,0.3333333333333333,0,0,,0,0,0,,,4,15,2,0.23529411764705882
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.0069444444961845875,0.02857142873108387,3,7,0.42857142857142855,2,3,0.6666666666666666,1,3,6,0.3333333333333333,0.16666666666666666,6,17,4,0.2857142857142857
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.043981485068798065,0.06481482088565826,5,17,0.29411764705882354,6,9,0.6666666666666666,3,9,14,0.3333333333333333,0.21428571428571427,7,19,4,0.30434782608695654
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,canonical,T2,aa045e7d996427ecc5d4bad400698ceea79dcc5460acdb6b4eecfadcfca29163,0.2777777910232544,0.2777777910232544,0,0,,0,0,,0,0,0,,,4,12,0,0.3333333333333333
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,canonical,T3,aa045e7d996427ecc5d4bad400698ceea79dcc5460acdb6b4eecfadcfca29163,0.2777777910232544,0.2777777910232544,2,3,0.6666666666666666,0,1,0.0,1,1,3,1.0,0.3333333333333333,7,15,1,0.4375
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,canonical,T4,aa045e7d996427ecc5d4bad400698ceea79dcc5460acdb6b4eecfadcfca29163,0.2430555522441864,0.2430555522441864,4,14,0.2857142857142857,0,8,0.0,8,8,12,1.0,0.6666666666666666,7,16,1,0.4117647058823529
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,canonical,T5,aa045e7d996427ecc5d4bad400698ceea79dcc5460acdb6b4eecfadcfca29163,0.04398148134350777,0.05092592537403107,4,17,0.23529411764705882,0,8,0.0,8,8,13,1.0,0.6153846153846154,7,16,2,0.3888888888888889
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,reverse,T2,c5d237452c8dfd4db8dbcbf714cda71dc3e6b9868415e8b543e5e71ffaa0739d,0.14629630744457245,0.1906103491783142,0,5,0.0,0,0,,0,0,0,,,5,17,3,0.25
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,reverse,T3,c5d237452c8dfd4db8dbcbf714cda71dc3e6b9868415e8b543e5e71ffaa0739d,0.12337962538003922,0.14835681021213531,0,9,0.0,0,0,,0,0,0,,,5,17,3,0.25
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,reverse,T4,c5d237452c8dfd4db8dbcbf714cda71dc3e6b9868415e8b543e5e71ffaa0739d,0.044675927609205246,0.06759259104728699,1,18,0.05555555555555555,0,6,0.0,6,6,7,1.0,0.8571428571428571,7,19,4,0.30434782608695654
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,reverse,T5,c5d237452c8dfd4db8dbcbf714cda71dc3e6b9868415e8b543e5e71ffaa0739d,0.02083333395421505,0.0416666716337204,1,20,0.05,0,8,0.0,8,8,10,1.0,0.8,7,19,4,0.30434782608695654
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.26423609256744385,0.32571426033973694,1,1,1.0,0,0,,0,0,0,,,4,15,2,0.23529411764705882
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.2604166567325592,0.30000001192092896,1,3,0.3333333333333333,0,0,,0,0,0,,,4,15,2,0.23529411764705882
