method,reference_scene_id,master_sequence_id,order_id,T,prediction_digest,t_mAP,t_REC,identity_switches,transition_opportunities,identity_switch_rate,wrong_reactivations,predicted_reactivation_events,wrong_reactivation_rate,correct_reactivations,reactivation_attempts,gap_opportunities,reactivation_accuracy,reactivation_recall,false_births,births,rejected_births,false_birth_rate
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.2604166567325592,0.30000001192092896,1,3,0.3333333333333333,0,0,,0,0,0,,,4,15,2,0.23529411764705882
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.0069444444961845875,0.02857142873108387,3,7,0.42857142857142855,2,3,0.6666666666666666,1,3,6,0.3333333333333333,0.16666666666666666,6,17,4,0.2857142857142857
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.043981485068798065,0.06481482088565826,5,17,0.29411764705882354,6,9,0.6666666666666666,3,9,14,0.3333333333333333,0.21428571428571427,7,19,4,0.30434782608695654
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,canonical,T2,473db1ebe5aca4c1a8c62122556096daed7f1774430ad709af1d8eead2b08775,0.26423609256744385,0.32571426033973694,1,1,1.0,0,0,,0,0,0,,,4,15,2,0.23529411764705882
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,canonical,T3,473db1ebe5aca4c1a8c62122556096daed7f1774430ad709af1d8eead2b08775,0.2395833283662796,0.2708333432674408,3,11,0.2727272727272727,1,7,0.14285714285714285,6,7,8,0.8571428571428571,0.75,4,16,2,0.2222222222222222
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,canonical,T4,473db1ebe5aca4c1a8c62122556096daed7f1774430ad709af1d8eead2b08775,0.0486111156642437,0.0694444477558136,3,14,0.21428571428571427,1,7,0.14285714285714285,6,7,10,0.8571428571428571,0.6,5,17,2,0.2631578947368421
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,canonical,T5,473db1ebe5aca4c1a8c62122556096daed7f1774430ad709af1d8eead2b08775,0.0486111156642437,0.0694444477558136,3,16,0.1875,1,9,0.1111111111111111,8,9,13,0.8888888888888888,0.6153846153846154,5,17,2,0.2631578947368421
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,reverse,T2,709fe3016e2f02deed6d959a612402e987a0887c52e7d5cd4268dcb53311851c,0.1392746865749359,0.23655913770198822,0,0,,0,0,,0,0,0,,,7,15,2,0.4117647058823529
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,reverse,T3,709fe3016e2f02deed6d959a612402e987a0887c52e7d5cd4268dcb53311851c,0.0833333358168602,0.11267605423927307,1,6,0.16666666666666666,0,2,0.0,2,2,3,1.0,0.6666666666666666,7,17,3,0.35
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,reverse,T4,709fe3016e2f02deed6d959a612402e987a0887c52e7d5cd4268dcb53311851c,0.08101851493120193,0.10328639298677444,1,10,0.1,0,2,0.0,2,2,4,1.0,0.5,7,17,3,0.35
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,reverse,T5,709fe3016e2f02deed6d959a612402e987a0887c52e7d5cd4268dcb53311851c,0.057870373129844666,0.07870370894670486,2,19,0.10526315789473684,0,8,0.0,8,8,11,1.0,0.7272727272727273,9,19,4,0.391304347826087
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.26423609256744385,0.32571426033973694,1,1,1.0,0,0,,0,0,0,,,4,15,2,0.23529411764705882
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.2604166567325592,0.30000001192092896,1,3,0.3333333333333333,0,0,,0,0,0,,,4,15,2,0.23529411764705882
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.0069444444961845875,0.02857142873108387,3,7,0.42857142857142855,2,3,0.6666666666666666,1,3,6,0.3333333333333333,0.16666666666666666,6,17,4,0.2857142857142857
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_04-scene0309_03-scene0309_00-scene0309_02-scene0309_01,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.043981485068798065,0.06481482088565826,5,17,0.29411764705882354,6,9,0.6666666666666666,3,9,14,0.3333333333333333,0.21428571428571427,7,19,4,0.30434782608695654
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,T2,e2cc155819264b00aaf0afacdc7c152fb9fc5d9bcfd7c2d9313204f5cc5e1ce0,0.41338735818862915,0.566049337387085,0,12,0.0,0,0,,0,0,0,,,5,20,5,0.2
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,T3,e2cc155819264b00aaf0afacdc7c152fb9fc5d9bcfd7c2d9313204f5cc5e1ce0,0.21342593431472778,0.30401232838630676,0,22,0.0,0,0,,0,0,0,,,6,21,5,0.23076923076923078
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,T4,e2cc155819264b00aaf0afacdc7c152fb9fc5d9bcfd7c2d9313204f5cc5e1ce0,0.19143518805503845,0.29012346267700195,0,27,0.0,0,1,0.0,1,1,3,1.0,0.3333333333333333,6,21,5,0.23076923076923078
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,T5,e2cc155819264b00aaf0afacdc7c152fb9fc5d9bcfd7c2d9313204f5cc5e1ce0,0.04496528208255768,0.0842592641711235,1,28,0.03571428571428571,0,1,0.0,1,1,9,1.0,0.1111111111111111,8,23,8,0.25806451612903225
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,reverse,T2,11faf6d0bb7284058456595aebf715373d8e3b01c0e278050198ca187aa4232a,0.0,0.0,0,0,,0,0,,0,0,0,,,6,8,1,0.6666666666666666
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,reverse,T3,11faf6d0bb7284058456595aebf715373d8e3b01c0e278050198ca187aa4232a,0.0486111119389534,0.08148147165775299,2,5,0.4,0,0,,0,0,0,,,8,16,1,0.47058823529411764
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,reverse,T4,11faf6d0bb7284058456595aebf715373d8e3b01c0e278050198ca187aa4232a,0.02569444291293621,0.04814814776182175,4,15,0.26666666666666666,0,0,,0,0,0,,,12,21,4,0.48
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,reverse,T5,11faf6d0bb7284058456595aebf715373d8e3b01c0e278050198ca187aa4232a,0.02569444291293621,0.04814814776182175,7,27,0.25925925925925924,1,1,1.0,0,1,1,0.0,0.0,13,22,5,0.48148148148148145
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,sha256_seed45,T2,010c260bc092fb1596c9e6aacf77d8dbf331349d270163d24a9a1a0abca5195c,0.0,0.0,1,1,1.0,0,0,,0,0,0,,,4,10,2,0.3333333333333333
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,sha256_seed45,T3,010c260bc092fb1596c9e6aacf77d8dbf331349d270163d24a9a1a0abca5195c,0.04999999701976776,0.06666666269302368,3,5,0.6,1,2,0.5,1,2,4,0.5,0.25,8,18,2,0.4
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,sha256_seed45,T4,010c260bc092fb1596c9e6aacf77d8dbf331349d270163d24a9a1a0abca5195c,0.0416666679084301,0.0555555559694767,3,18,0.16666666666666666,1,3,0.3333333333333333,2,3,5,0.6666666666666666,0.4,10,20,5,0.4
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,sha256_seed45,T5,010c260bc092fb1596c9e6aacf77d8dbf331349d270163d24a9a1a0abca5195c,0.03888889029622078,0.05185185372829437,4,28,0.14285714285714285,1,3,0.3333333333333333,2,3,5,0.6666666666666666,0.4,11,21,5,0.4230769230769231
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,canonical,T2,b1a02bcc35d7c02babbbbbb60c0258bc49e609c131f302c83bf3de587a23617a,0.1024305522441864,0.18888889253139496,0,0,,0,0,,0,0,0,,,6,13,2,0.4
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,canonical,T3,b1a02bcc35d7c02babbbbbb60c0258bc49e609c131f302c83bf3de587a23617a,0.10339505970478058,0.1697530895471573,0,8,0.0,0,0,,0,0,0,,,9,18,4,0.4090909090909091
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,canonical,T4,b1a02bcc35d7c02babbbbbb60c0258bc49e609c131f302c83bf3de587a23617a,0.10648148506879807,0.16049383580684662,0,21,0.0,0,1,0.0,1,1,1,1.0,1.0,10,20,7,0.37037037037037035
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,canonical,T5,b1a02bcc35d7c02babbbbbb60c0258bc49e609c131f302c83bf3de587a23617a,0.019675927236676216,0.030864199623465538,0,31,0.0,0,1,0.0,1,1,1,1.0,1.0,11,21,7,0.39285714285714285
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,reverse,T2,5c7e6e9a9a2d0d01d4d250f4c9127cf1be24e3ddc30822eab7f3ed6a63e61241,0.1961805522441864,0.2947531044483185,0,10,0.0,0,0,,0,0,0,,,5,20,5,0.2
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,reverse,T3,5c7e6e9a9a2d0d01d4d250f4c9127cf1be24e3ddc30822eab7f3ed6a63e61241,0.1632523238658905,0.23734568059444427,3,22,0.13636363636363635,0,1,0.0,1,1,1,1.0,1.0,6,21,6,0.2222222222222222
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,reverse,T4,5c7e6e9a9a2d0d01d4d250f4c9127cf1be24e3ddc30822eab7f3ed6a63e61241,0.12251157313585281,0.18302468955516815,4,33,0.12121212121212122,0,2,0.0,2,2,3,1.0,0.6666666666666666,6,21,6,0.2222222222222222
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,reverse,T5,5c7e6e9a9a2d0d01d4d250f4c9127cf1be24e3ddc30822eab7f3ed6a63e61241,0.009259259328246117,0.012345679104328156,5,34,0.14705882352941177,0,2,0.0,2,2,7,1.0,0.2857142857142857,8,23,6,0.27586206896551724
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,sha256_seed45,T2,bbc1490a815e5cd9ec7603c364b6a7209937c22bc813529bf15909293cb89a81,0.14085647463798523,0.21481482684612274,0,0,,0,0,,0,0,0,,,7,17,1,0.3888888888888889
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,sha256_seed45,T3,bbc1490a815e5cd9ec7603c364b6a7209937c22bc813529bf15909293cb89a81,0.09432870149612427,0.13271604478359222,0,10,0.0,0,0,,0,0,0,,,7,17,2,0.3684210526315789
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,sha256_seed45,T4,bbc1490a815e5cd9ec7603c364b6a7209937c22bc813529bf15909293cb89a81,0.09432870149612427,0.13271604478359222,0,22,0.0,0,1,0.0,1,1,2,1.0,0.5,8,18,6,0.3333333333333333
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_01-scene0449_02-scene0449_00-scene0449_04-scene0449_05,sha256_seed45,T5,bbc1490a815e5cd9ec7603c364b6a7209937c22bc813529bf15909293cb89a81,0.009259259328246117,0.012345679104328156,1,32,0.03125,0,1,0.0,1,1,3,1.0,0.3333333333333333,10,20,6,0.38461538461538464
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,canonical,T2,04b5a05db98a60d7e097859af30e0cb6ca7460f5a5ff53bdc9059ca847847398,0.1627121865749359,0.29320991039276123,0,5,0.0,0,0,,0,0,0,,,5,18,4,0.22727272727272727
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,canonical,T3,04b5a05db98a60d7e097859af30e0cb6ca7460f5a5ff53bdc9059ca847847398,0.19020062685012817,0.2777777910232544,0,18,0.0,0,1,0.0,1,1,1,1.0,1.0,6,20,7,0.2222222222222222
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,canonical,T4,04b5a05db98a60d7e097859af30e0cb6ca7460f5a5ff53bdc9059ca847847398,0.08950617164373398,0.12962962687015533,0,28,0.0,0,1,0.0,1,1,1,1.0,1.0,7,21,7,0.25
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,canonical,T5,04b5a05db98a60d7e097859af30e0cb6ca7460f5a5ff53bdc9059ca847847398,0.0833333358168602,0.11574073880910873,0,33,0.0,0,2,0.0,2,2,4,1.0,0.5,7,21,7,0.25
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,reverse,T2,895490740fd149b85574f10a2b7575fbf183885f63c5adf32b4252356832f6b7,0.16689816117286682,0.3293209671974182,1,5,0.2,0,0,,0,0,0,,,2,15,0,0.13333333333333333
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,reverse,T3,895490740fd149b85574f10a2b7575fbf183885f63c5adf32b4252356832f6b7,0.1675925850868225,0.260185182094574,2,15,0.13333333333333333,0,0,,0,0,0,,,6,21,3,0.25
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,reverse,T4,895490740fd149b85574f10a2b7575fbf183885f63c5adf32b4252356832f6b7,0.1546296328306198,0.23055554926395416,5,27,0.18518518518518517,0,1,0.0,1,1,1,1.0,1.0,8,23,4,0.2962962962962963
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,reverse,T5,895490740fd149b85574f10a2b7575fbf183885f63c5adf32b4252356832f6b7,0.11967592686414719,0.17623455822467804,6,38,0.15789473684210525,0,2,0.0,2,2,3,1.0,0.6666666666666666,8,23,4,0.2962962962962963
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,sha256_seed45,T2,45b3466b36e584863ceeebd7d1b8b659fa09f7d10cfb0b2610ce50cbc6c43ea4,0.17970679700374603,0.3345679044723511,1,4,0.25,0,0,,0,0,0,,,5,20,2,0.22727272727272727
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,sha256_seed45,T3,45b3466b36e584863ceeebd7d1b8b659fa09f7d10cfb0b2610ce50cbc6c43ea4,0.13032406568527222,0.20617283880710602,2,15,0.13333333333333333,0,1,0.0,1,1,1,1.0,1.0,5,20,2,0.22727272727272727
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,sha256_seed45,T4,45b3466b36e584863ceeebd7d1b8b659fa09f7d10cfb0b2610ce50cbc6c43ea4,0.13148148357868195,0.19382716715335846,3,27,0.1111111111111111,0,2,0.0,2,2,3,1.0,0.6666666666666666,6,21,4,0.24
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,sha256_seed45,T5,45b3466b36e584863ceeebd7d1b8b659fa09f7d10cfb0b2610ce50cbc6c43ea4,0.10746526718139648,0.16296297311782837,3,37,0.08108108108108109,1,3,0.3333333333333333,2,3,4,0.6666666666666666,0.5,6,21,4,0.24
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,canonical,T2,a9104d3742f6407b354d52a29b6ae6a3674c750993eeb6ff4ac9a8d74d764fa0,0.0,0.0,1,1,1.0,0,0,,0,0,0,,,4,10,2,0.3333333333333333
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,canonical,T3,a9104d3742f6407b354d52a29b6ae6a3674c750993eeb6ff4ac9a8d74d764fa0,0.013888888992369175,0.02222222276031971,1,5,0.2,1,4,0.25,3,4,4,0.75,0.75,5,13,3,0.3125
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,canonical,T4,a9104d3742f6407b354d52a29b6ae6a3674c750993eeb6ff4ac9a8d74d764fa0,0.021412037312984467,0.048148151487112045,2,14,0.14285714285714285,1,4,0.25,3,4,5,0.75,0.6,8,18,5,0.34782608695652173
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,canonical,T5,a9104d3742f6407b354d52a29b6ae6a3674c750993eeb6ff4ac9a8d74d764fa0,0.019675927236676216,0.030864199623465538,2,27,0.07407407407407407,1,5,0.2,4,5,6,0.8,0.6666666666666666,9,20,8,0.32142857142857145
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,reverse,T2,79b1ccbd21b750b13bc661b74f8fb1df0072c61a9c546fc2f53b48edc97baf46,0.31365740299224854,0.4364197254180908,1,11,0.09090909090909091,0,0,,0,0,0,,,7,21,1,0.3181818181818182
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,reverse,T3,79b1ccbd21b750b13bc661b74f8fb1df0072c61a9c546fc2f53b48edc97baf46,0.1789351999759674,0.2679012715816498,2,21,0.09523809523809523,0,0,,0,0,1,,0.0,7,21,1,0.3181818181818182
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,reverse,T4,79b1ccbd21b750b13bc661b74f8fb1df0072c61a9c546fc2f53b48edc97baf46,0.03888888657093048,0.051851850003004074,3,22,0.13636363636363635,0,0,,0,0,5,,0.0,9,23,1,0.375
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,reverse,T5,79b1ccbd21b750b13bc661b74f8fb1df0072c61a9c546fc2f53b48edc97baf46,0.011111111380159855,0.014814815483987331,4,27,0.14814814814814814,0,4,0.0,4,4,11,1.0,0.36363636363636365,9,23,1,0.375
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,sha256_seed45,T2,cd002370d1197133b2f3aeaafbae844cb316576488a68adc11d5e971a1961438,0.0,0.0,1,1,1.0,0,0,,0,0,0,,,4,10,2,0.3333333333333333
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,sha256_seed45,T3,cd002370d1197133b2f3aeaafbae844cb316576488a68adc11d5e971a1961438,0.04999999701976776,0.06666666269302368,3,5,0.6,1,2,0.5,1,2,4,0.5,0.25,8,18,2,0.4
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,sha256_seed45,T4,cd002370d1197133b2f3aeaafbae844cb316576488a68adc11d5e971a1961438,0.009259259328246117,0.012345679104328156,4,16,0.25,2,3,0.6666666666666666,1,3,5,0.3333333333333333,0.2,8,18,2,0.4
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,sha256_seed45,T5,cd002370d1197133b2f3aeaafbae844cb316576488a68adc11d5e971a1961438,0.009259259328246117,0.012345679104328156,5,28,0.17857142857142858,2,4,0.5,2,4,7,0.5,0.2857142857142857,9,19,5,0.375
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,canonical,T2,9d1d15eb6505c983ee445e2297d2a378cd6650aef35678976bd574fcd75cbd5a,0.2532407343387604,0.30608469247817993,0,10,0.0,0,0,,0,0,0,,,5,19,0,0.2631578947368421
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,canonical,T3,9d1d15eb6505c983ee445e2297d2a378cd6650aef35678976bd574fcd75cbd5a,0.21649305522441864,0.2730158865451813,0,15,0.0,0,1,0.0,1,1,2,1.0,0.5,5,19,0,0.2631578947368421
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,canonical,T4,9d1d15eb6505c983ee445e2297d2a378cd6650aef35678976bd574fcd75cbd5a,0.0338541679084301,0.0595238097012043,1,16,0.0625,0,1,0.0,1,1,6,1.0,0.16666666666666666,7,21,3,0.2916666666666667
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,canonical,T5,9d1d15eb6505c983ee445e2297d2a378cd6650aef35678976bd574fcd75cbd5a,0.01631944440305233,0.04047618806362152,1,24,0.041666666666666664,1,9,0.1111111111111111,8,9,16,0.8888888888888888,0.5,7,21,5,0.2692307692307692
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,reverse,T2,391631c66271d714c6a9fcad9d540f74d6e807db3517eef8fc05d622f72c235c,0.1024305522441864,0.18888889253139496,0,0,,0,0,,0,0,0,,,8,16,2,0.4444444444444444
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,reverse,T3,391631c66271d714c6a9fcad9d540f74d6e807db3517eef8fc05d622f72c235c,0.013888888992369175,0.02222222276031971,2,4,0.5,1,3,0.3333333333333333,2,3,5,0.6666666666666666,0.4,8,16,2,0.4444444444444444
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,reverse,T4,391631c66271d714c6a9fcad9d540f74d6e807db3517eef8fc05d622f72c235c,0.021412037312984467,0.040123458951711655,3,10,0.3,1,4,0.25,3,4,8,0.75,0.375,9,20,2,0.4090909090909091
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,reverse,T5,391631c66271d714c6a9fcad9d540f74d6e807db3517eef8fc05d622f72c235c,0.009259259328246117,0.012345679104328156,7,22,0.3181818181818182,1,4,0.25,3,4,10,0.75,0.3,15,26,5,0.4838709677419355
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,sha256_seed45,T2,51d4aa18670941f78464a339ce5fcee859345139f579b4ae7ca89b95a03bc14a,0.0,0.0,1,1,1.0,0,0,,0,0,0,,,4,10,2,0.3333333333333333
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,sha256_seed45,T3,51d4aa18670941f78464a339ce5fcee859345139f579b4ae7ca89b95a03bc14a,0.013888888992369175,0.02222222276031971,1,5,0.2,1,4,0.25,3,4,4,0.75,0.75,5,13,3,0.3125
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,sha256_seed45,T4,51d4aa18670941f78464a339ce5fcee859345139f579b4ae7ca89b95a03bc14a,0.011111111380159855,0.017777778208255768,2,15,0.13333333333333333,1,4,0.25,3,4,5,0.75,0.6,7,16,9,0.28
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_04-scene0449_05-scene0449_03-scene0449_01-scene0449_02,sha256_seed45,T5,51d4aa18670941f78464a339ce5fcee859345139f579b4ae7ca89b95a03bc14a,0.011111111380159855,0.014814815483987331,3,24,0.125,1,4,0.25,3,4,5,0.75,0.6,8,18,10,0.2857142857142857
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T2,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,0.18506944179534912,0.3185185194015503,1,4,0.25,0,0,,0,0,0,,,2,15,2,0.11764705882352941
P6B,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_05-scene0449_03-scene0449_01-scene0449_02-scene0449_00,canonical,T3,322c629b5e2cecb140b1c166a887dc626dac08a13c204c08356b8704408412d0,0.04444444552063942,0.059259261935949326,2,5,0.4,0,0,,0,0,4,,0.0,4,17,3,0.2
