capacity,reference_capacity,horizon,metric,reference_scene_id,reference_value,candidate_value,effect
128,100,3,normalized_id_switch_rate,5630cfcf-12bf-2860-8784-83d28a611a83,0.031746031746031744,0.031746031746031744,0.0
128,100,3,normalized_id_switch_rate,8eabc45f-5af7-2f32-8528-640861d2a135,0.23076923076923078,0.23076923076923078,0.0
128,100,3,normalized_id_switch_rate,ddc73797-765b-241a-9e2c-097c5989baf6,0.16279069767441862,0.16279069767441862,0.0
128,100,4,causal_prefix_t_REC,10b17940-3938-2467-8a7a-958300ba83d3,0.31184964900215467,0.31184964900215467,0.0
128,100,4,causal_prefix_t_REC,137a8158-1db5-2cc0-8003-31c12610471e,0.2150949840951297,0.2150949840951297,0.0
128,100,4,causal_prefix_t_REC,280d8ebb-6cc6-2788-9153-98959a2da801,0.3031217008829117,0.3031217008829117,0.0
128,100,4,causal_prefix_t_REC,5630cfcf-12bf-2860-8784-83d28a611a83,0.22222222586472828,0.22222222586472828,0.0
128,100,4,causal_prefix_t_REC,8eabc45f-5af7-2f32-8528-640861d2a135,0.07700878152002891,0.07700878152002891,0.0
128,100,4,causal_prefix_t_REC,ddc73797-765b-241a-9e2c-097c5989baf6,0.08360768342390656,0.08360768342390656,0.0
128,100,4,gap_recovery_recall,10b17940-3938-2467-8a7a-958300ba83d3,0.38823529411764707,0.38823529411764707,0.0
128,100,4,gap_recovery_recall,137a8158-1db5-2cc0-8003-31c12610471e,0.2577903682719547,0.2577903682719547,0.0
128,100,4,gap_recovery_recall,280d8ebb-6cc6-2788-9153-98959a2da801,0.2153846153846154,0.2153846153846154,0.0
128,100,4,gap_recovery_recall,5630cfcf-12bf-2860-8784-83d28a611a83,1.0,1.0,0.0
128,100,4,gap_recovery_recall,8eabc45f-5af7-2f32-8528-640861d2a135,0.5490196078431373,0.5490196078431373,0.0
128,100,4,gap_recovery_recall,ddc73797-765b-241a-9e2c-097c5989baf6,0.12359550561797752,0.12359550561797752,0.0
128,100,4,causal_prefix_t_mAP,10b17940-3938-2467-8a7a-958300ba83d3,0.257998971392711,0.257998971392711,0.0
128,100,4,causal_prefix_t_mAP,137a8158-1db5-2cc0-8003-31c12610471e,0.19936748542305496,0.19936748542305496,0.0
128,100,4,causal_prefix_t_mAP,280d8ebb-6cc6-2788-9153-98959a2da801,0.22556713024775188,0.22556713024775188,0.0
128,100,4,causal_prefix_t_mAP,5630cfcf-12bf-2860-8784-83d28a611a83,0.19012345770994823,0.19012345770994823,0.0
128,100,4,causal_prefix_t_mAP,8eabc45f-5af7-2f32-8528-640861d2a135,0.05799382735664646,0.05799382735664646,0.0
128,100,4,causal_prefix_t_mAP,ddc73797-765b-241a-9e2c-097c5989baf6,0.06229316717427638,0.06229316717427638,0.0
128,100,4,normalized_id_switch_rate,10b17940-3938-2467-8a7a-958300ba83d3,0.037800687285223365,0.037800687285223365,0.0
128,100,4,normalized_id_switch_rate,137a8158-1db5-2cc0-8003-31c12610471e,0.14450867052023122,0.14450867052023122,0.0
128,100,4,normalized_id_switch_rate,280d8ebb-6cc6-2788-9153-98959a2da801,0.08532423208191127,0.08532423208191127,0.0
128,100,4,normalized_id_switch_rate,5630cfcf-12bf-2860-8784-83d28a611a83,0.06629834254143646,0.06629834254143646,0.0
