reference_scene_id,master_sequence_id,order_id,capacity,horizon,observation_sha256,peak_occupied_slots,mean_occupied_slots,endpoint_occupied_slots,peak_occupancy_ratio,mean_occupancy_ratio,peak_active_slots,mean_active_slots,endpoint_active_slots,peak_dormant_slots,mean_dormant_slots,endpoint_dormant_slots,birth_opportunities,accepted_births,rejected_births,birth_rejection_rate,state_bytes,mean_memory_update_latency_ms,mean_total_update_latency_ms,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,normalized_id_switch_rate,fragmentation_count,fragmentation_opportunities,fragmentation_rate,merge_count,merge_opportunities,merge_rate,gap_opportunities,recovery_attempts,correct_recoveries,gap_recovery_accuracy,gap_recovery_recall
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,64,2,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f,12,11.0,12,0.1875,0.171875,10,9.5,9,3,1.5,3,12,12,0,0.0,39048,0.6605215,17.473474,0.4444444477558136,0.7222222089767456,0.7916666865348816,0.4444444477558136,0.7222222089767456,0.8333333134651184,0.7857142686843872,0.9285714030265808,1.0,0.7857142686843872,0,4,0.0,0,4,0.0,0,4,0.0,0,0,0,,
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,64,2,ce6852330395c3c0e4caaa666d8b9c0d87ceecb73ed838c1619f61200e16d24b,11,10.5,11,0.171875,0.1640625,10,8.5,7,4,2.0,4,11,11,0,0.0,39048,0.7700245,13.315508999999999,0.4444444477558136,0.4722222089767456,0.5555555820465088,0.5833333134651184,0.625,0.625,0.5,0.6666666865348816,0.6666666865348816,0.6000000238418579,0,2,0.0,0,2,0.0,1,3,0.3333333333333333,0,0,0,,
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,sha256_seed45,64,2,c91ff7909b071242da05a73c93196f8bb6773833f1f64c0156b1e8e85bbfc336,13,11.5,13,0.203125,0.1796875,10,9.5,9,4,2.0,4,13,13,0,0.0,39048,0.6290560000000001,11.8549465,0.654321014881134,0.8333333134651184,0.8333333134651184,0.7361111044883728,0.9375,0.9375,0.6111111044883728,0.7777777910232544,0.7777777910232544,0.7857142686843872,0,5,0.0,0,5,0.0,0,5,0.0,0,0,0,,
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,canonical,64,2,b11724e056d8bcf7ea4bb184e5c62fd53b010181dc83e2d9d52783aee0522358,11,10.5,11,0.171875,0.1640625,10,8.0,6,5,2.5,5,11,11,0,0.0,39048,0.774891,12.480331,0.6770833134651184,0.8125,0.8125,0.7857142686843872,0.9285714030265808,0.9285714030265808,0.7777777910232544,0.8333333134651184,0.8333333134651184,0.9333333373069763,0,4,0.0,0,4,0.0,0,4,0.0,0,0,0,,
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,reverse,64,2,471cc97e93867391e61a84f3f3ea4d30cd2b28cfde27cc3af84d155f711716dd,9,8.0,9,0.140625,0.125,7,6.5,6,3,1.5,3,9,9,0,0.0,39048,0.636436,9.5446575,0.43209877610206604,0.4444444477558136,0.4444444477558136,0.6481481194496155,0.6666666865348816,0.6666666865348816,0.4861111044883728,0.5,0.5,0.9722222089767456,0,3,0.0,0,3,0.0,0,3,0.0,0,0,0,,
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,64,2,b3da19bc7ac9aa8451c40e0030221dcc287194a46fca1bb7fe4ccf1d1849c3a3,11,10.5,11,0.171875,0.1640625,10,8.5,7,4,2.0,4,11,11,0,0.0,39048,0.638082,10.8818765,0.53125,0.625,0.625,0.6190476417541504,0.7142857313156128,0.7142857313156128,0.5714285969734192,0.5714285969734192,0.5714285969734192,0.800000011920929,0,3,0.0,0,3,0.0,0,3,0.0,0,0,0,,
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,canonical,64,2,325867949dc1ea7a94caeb4fd8fb319a1064e30cb6e2b12e7a94297653636988,9,8.0,9,0.140625,0.125,8,7.5,8,1,0.5,1,9,9,0,0.0,39048,0.627024,9.5151525,0.3858024775981903,0.5277777910232544,0.6388888955116272,0.579365074634552,0.7857142686843872,0.9285714030265808,0.422839492559433,0.5833333134651184,0.6666666865348816,0.7592592835426331,0,4,0.0,0,4,0.0,0,4,0.0,0,0,0,,
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,reverse,64,2,7bd29eb5a992d1fa15858714a543b9e5f1a951a29dd94292ea51860c727b333e,11,9.0,11,0.171875,0.140625,9,8.0,9,2,1.0,2,11,11,0,0.0,39048,0.603925,11.848221,0.6597222089767456,0.8125,0.8125,0.7539682388305664,0.9285714030265808,0.9285714030265808,0.6746031641960144,0.7857142686843872,0.7857142686843872,0.7870370149612427,0,4,0.0,0,4,0.0,0,4,0.0,0,0,0,,
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,sha256_seed45,64,2,9b44e2909e2ee7a2f33b540c86051120c0e37558fcd7a5f39f0073d754a9212c,13,11.5,13,0.203125,0.1796875,10,9.5,9,4,2.0,4,13,13,0,0.0,39048,0.6195725000000001,12.073543,0.654321014881134,0.8333333134651184,0.8333333134651184,0.7361111044883728,0.9375,0.9375,0.6111111044883728,0.7777777910232544,0.7777777910232544,0.7857142686843872,0,5,0.0,0,5,0.0,0,5,0.0,0,0,0,,
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,canonical,64,2,9f698f946eb36d3030eafb3a1f9a4d6d64ff6232e63db8fe4ac738c2bc03476b,13,9.5,13,0.203125,0.1484375,11,8.5,11,2,1.0,2,13,13,0,0.0,39048,0.6365455,10.5565055,0.6728395223617554,0.7222222089767456,0.7222222089767456,0.7569444179534912,0.8125,0.8125,0.7698412537574768,0.8571428656578064,0.8571428656578064,0.8981481194496155,0,2,0.0,0,2,0.0,0,2,0.0,0,0,0,,
