event_type,data_role,logical_unit_id,reference_id,method,config_id,absolute_stage,group_count,anchor_count,matched_group_count,new_identity_count,nonresident_count,overlap_lock_count,feature_edge_count,joint_edge_count,overlap_edge_count,missing_overlap_edge_count,zero_norm_query_count,zero_norm_anchor_count,mean_decision_score,mean_decision_margin,assignment_sha256
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,0,98,0,0,98,93,0,0,0,0,0,0,0,0.0,0.0,9515b4163263e4055e1f7aa4596a0f35f636f04122ccb26d7cd8c562beb132ee
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,1,94,98,94,0,89,0,0,0,7396,1816,0,0,0.9852911069038066,0.007912203352502051,32a8f04bfbf6cdee17f4ed6fb3d8a3f8db3417de700084c3eb048a9d066fc72d
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,2,95,94,94,1,90,0,0,0,5950,2980,0,0,0.9744186790365922,0.009112211277610378,43119335e0059cc006f3a49afacd30e2290b9bb9343428c2d9a5e979e543a0cb
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,3,97,95,95,2,92,0,0,0,6723,2492,0,0,0.9652311107547012,0.008313610996167684,b7113d0a75e7685ea1cd7cce88378e3f0847ddccaec4166b865f1ed762223962
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,4,100,97,97,3,95,0,0,0,6084,3616,0,0,0.9572781485319137,0.007786306738853455,a5b3948b6121eda60d351515457ea40a03fb5aa67d1c2ca9fef7ced1b90fc3d0
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,0,98,0,0,98,93,0,0,0,0,0,0,0,0.0,0.0,6f71d3dda2bde88fe90fc4b39d62f529baca8c367a41dd42823a23b26fff5845
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,1,94,98,94,0,89,1,0,0,7396,1816,0,0,0.9854320668159647,0.009366721548932665,d9b9edfde1287af1f72b9fc45eb65975afbec4b5e51b52348a63b893822ca8ef
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,2,95,94,94,1,90,1,0,0,5950,2980,0,0,0.9710753309099298,0.010944466841848273,45c1045eec2b959450872723334d31b6563e989574f42597fa66835f2b5d90bb
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,3,97,95,95,2,92,1,0,0,6723,2492,0,0,0.9618611575401935,0.00935803307700403,6cb0ddb10e19d73e27c70e758585032b15c31848939b27ab17c534b40912bffd
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,4,100,97,97,3,95,3,0,0,6084,3616,0,0,0.9560953038930893,0.02561112642288208,d2d9652885e9186d8e93b42bf05d76863a1d1d69522e6768251a0b5497fe3f32
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,0,98,0,0,98,93,0,0,0,0,0,0,0,0.0,0.0,bf3dba0c35f34aa7fe0a5e5a3c1fb8584136f067d358e9d5ce2233e5ef2455a4
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,1,94,98,94,0,89,0,0,0,7396,1816,0,0,0.9640169758745964,0.018923893887945947,9a8004d0351ed7bc51e088de58a962112252795663336c855789932d0335bef8
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,2,95,94,94,1,90,0,0,0,5950,2980,0,0,0.9148045169679742,0.011493798933531108,b5434d588b0569d2c5fefe9c0944633e840fc73274938c1a80325398ef33544e
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,3,97,95,95,2,92,0,0,0,6723,2492,0,0,0.9485640998968144,0.016292513645801348,421e564b9c81560015697c1086d827f6c37d4b295a433cf967812ee9ff71cf73
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,4,100,97,97,3,95,0,0,0,6084,3616,0,0,0.9484695667028427,0.01580237627029419,4e6e6db1abc8416e6f7e989ec01baface992c9b03ae54d5da203412c5559ee7d
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,0,84,0,0,84,79,0,0,0,0,0,0,0,0.0,0.0,0bed01f3249674c933569f3788dd48785e5fde6eb01e71a1bd6393a1c3091dab
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,1,99,84,84,15,94,0,0,0,5372,2944,0,0,0.8399903906716241,0.007072651025020715,7de6edca0c7187776590dbdaa0c01846740f76ca80748eee2a06321ef85ac4b9
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,2,100,99,99,1,95,0,0,0,6400,3500,0,0,0.9810557663440704,0.006932271718978882,a4a68d474f0cac5aea881793cdf10b799b41cb3f9da91d6b0c2a28bd54203be1
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,3,91,100,91,0,86,0,0,0,6004,3096,0,0,0.9832548983804472,0.0073285109394199245,5eb3dd1feaacd691dc2249f139fc6be01f7fdb58c3e5781c4b8aaf1a00384b87
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A0-U-default,A0-U-tau-0.666666666667,4,99,91,91,8,94,0,0,0,6075,2934,0,0,0.9008367633578753,0.008991284803910688,b604b010cd6da51eff0c87b58255057fb9be24fa3c18cc2886a05364260079a1
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,0,84,0,0,84,79,0,0,0,0,0,0,0,0.0,0.0,27995275e2f8b509b140bc66412cefc12ef024fc8ffe33f5cb9b711780e6b299
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,1,99,84,84,15,94,2,0,0,5372,2944,0,0,0.838969086757814,0.010115359166655877,dda45446f55ebbcde9afdb1be2ba052e0bcbf81b382ccadf8ffd363147bbd21c
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,2,100,99,99,1,95,0,0,0,6400,3500,0,0,0.9810557663440704,0.006932271718978882,9317fe62f070e3abc8a52aeae7e523c9923c511c74e469363c7a3d22d8934e84
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,3,91,100,91,0,86,1,0,0,6004,3096,0,0,0.9824402240606455,0.013076436388623583,b83b928adfcb42e7c9ea7871fb94d4313ef94d801fc013eca9a9aae10c6ce15d
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A1-default,A1-theta-0.65,4,99,91,91,8,94,0,0,0,6075,2934,0,0,0.9008367633578753,0.008991284803910688,6d408985d834a1e307a3e0725b8216c15b40a489c968c356550e73f92b479988
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,0,84,0,0,84,79,0,0,0,0,0,0,0,0.0,0.0,8941ba791561663546cfdcc0c58c466d99b8f97c81532df5e35a91dbae93dbbd
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,1,99,84,84,15,94,0,0,0,5372,2944,0,0,0.8378140673492894,0.015233231313300856,32fdbe75ba91f31ee05eebdb1e9998831e4b4f4a48f56c910c11a3e59f672544
ASSIGNMENT_SUMMARY,DEV-SEL,DEV-SEL:00017,1776ad7e-4db7-2333-89e1-66854e82170c,A2-default,A2-lambda-0.25-tau-0.666666666667,2,100,99,99,1,95,0,0,0,6400,3500,0,0,0.9637061029672622,0.01307018220424652,b006c0a24caf5feb4ac793d089b986853a5701838152c272b051ee5e3b327100
