population_id,data_role,family,config_id,tau,overlap_theta,lambda,T,t_mAP,status,reason
development,DEV-CAL,A0-U,A0-U-tau-0.6,0.6,0.65,0.0,2,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
development,DEV-CAL,A0-U,A0-U-tau-0.6,0.6,0.65,0.0,3,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
development,DEV-CAL,A0-U,A0-U-tau-0.6,0.6,0.65,0.0,4,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
development,DEV-CAL,A0-U,A0-U-tau-0.6,0.6,0.65,0.0,5,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
development,DEV-CAL,A0-U,A0-U-tau-0.666666666667,0.6666666666666666,0.65,0.0,2,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
development,DEV-CAL,A0-U,A0-U-tau-0.666666666667,0.6666666666666666,0.65,0.0,3,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
development,DEV-CAL,A0-U,A0-U-tau-0.666666666667,0.6666666666666666,0.65,0.0,4,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
development,DEV-CAL,A0-U,A0-U-tau-0.666666666667,0.6666666666666666,0.65,0.0,5,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
development,DEV-CAL,A0-U,A0-U-tau-0.73,0.73,0.65,0.0,2,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
development,DEV-CAL,A0-U,A0-U-tau-0.73,0.73,0.65,0.0,3,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
development,DEV-CAL,A0-U,A0-U-tau-0.73,0.73,0.65,0.0,4,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
development,DEV-CAL,A0-U,A0-U-tau-0.73,0.73,0.65,0.0,5,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
development,DEV-CAL,A1,A1-theta-0.5,0.6666666666666666,0.5,0.0,2,,SKIPPED_HEADROOM_GATE,MASK_OR_OTHER_DOMINANT
