variant,rank,selected_within_variant,checkpoint_global_step,checkpoint_sha256,baseline,minimum_t_map_delta,mean_t_map,all_t_positive,t2_delta,t3_delta,t4_delta,t5_delta
C0,1,True,400,574ea496db467f1208eea934d2aa29595b36057c7bad27dcd5cadc88793cdb25,P0,-0.0004070401191711426,0.3990948423743248,False,0.014771342277526855,0.006614476442337036,0.0009614229202270508,-0.0004070401191711426
C0,2,False,300,249f2cb3eb86c63805c54777b2a2fda2b81fb672c59d01ce439aba84573dd33b,P0,-0.002964317798614502,0.4015270844101906,False,0.014622271060943604,0.014432668685913086,0.005578547716140747,-0.002964317798614502
C0,3,False,200,989ce71cc222e9d455f69e66ff0f9724e57342aba2aa86bd0181b0c772e53c86,P0,-0.0035992562770843506,0.39410264045000076,False,0.00048086047172546387,0.003206402063369751,-0.0035992562770843506,0.001883387565612793
C0,4,False,100,0f55233f2083adf467ddee137f76299e87063c22370142fea5ce2ecfb94629e0,P0,-0.020043402910232544,0.3836768716573715,False,0.005055516958236694,-0.005564391613006592,-0.020043402910232544,-0.01917940378189087
C1,1,True,100,44afc0faa72d9e4215b8c27b1d6f0b15a94dd5e9d63da34add9a4868e7f6da0d,P0,-0.007945001125335693,0.39744462817907333,False,0.013927221298217773,0.014155030250549316,-0.007945001125335693,-0.004797905683517456
C1,2,False,300,99aa6da5d9750546c8dd73b079a0a43cc77b51fc642990a64d297e72644c5f98,P0,-0.009044855833053589,0.3947184085845947,False,0.012826800346374512,0.008719772100448608,-0.00806725025177002,-0.009044855833053589
C1,3,False,400,b186bb45114fb2a2cbfdbb4cc05b7459a354738fdf2458506486b28f00a1f948,P0,-0.010553926229476929,0.3919342905282974,False,0.011209726333618164,0.0023716986179351807,-0.009729504585266113,-0.010553926229476929
C1,4,False,200,889a14367cb8f505276ea780debdeb1bef4c3c6a6ee70c95e775f2b13d1a5af1,P0,-0.017618834972381592,0.3879214748740196,False,0.014056801795959473,-0.0022146999835968018,-0.016976535320281982,-0.017618834972381592
C2,1,True,200,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,P0,0.011942774057388306,0.4082611948251724,True,0.020404517650604248,0.013458549976348877,0.011942774057388306,0.012799769639968872
C2,2,False,300,144551fe0c6d94712bb068d4eea90714bd60f227e53a86f9c158f1474d664000,P0,0.0003917515277862549,0.40306418389081955,True,0.021579384803771973,0.01152840256690979,0.0003917515277862549,0.004318028688430786
C2,3,False,100,d94ff38bfbfa8bd0bef04ba45d7b66b6804b6f98ce4c26d0c991ccb5d5a19742,P0,-0.0023104846477508545,0.4013358950614929,False,0.024319767951965332,0.00924825668334961,-0.00035312771797180176,-0.0023104846477508545
C2,4,False,400,81a2dd2fabd3893a6849ced62bb52677a252c30260421ecb1271cb47c3b03730,P0,-0.002632826566696167,0.3989685997366905,False,0.019691109657287598,0.005705296993255615,-0.0013283491134643555,-0.002632826566696167
FH-adapt,1,True,100,ddfda362673ce081dab8d7f790ffa223c336921ad6f85220aa3e6a78bca1a70c,FH-R1,0.003535538911819458,0.4366783946752548,True,0.016520828008651733,0.003535538911819458,0.0076708197593688965,0.010990560054779053
FH-adapt,2,False,400,99a92682eec0d0e8ebc8c108b02709691618592d12041c6a1c496df6a5aada1b,FH-R1,0.002035468816757202,0.4377950578927994,True,0.009119242429733276,0.01738235354423523,0.014647334814071655,0.002035468816757202
FH-adapt,3,False,300,990bcdc32b02b9f676a98a2b0db6bfc4001dcb42796332fa0f34aaf79d36ce8d,FH-R1,0.0012948811054229736,0.43761857599020004,True,0.007520198822021484,0.012054085731506348,0.02160930633544922,0.0012948811054229736
FH-adapt,4,False,200,4403727d373c5f64da467ef1f1088e384c5707d28a0ef91496159427258daaa6,FH-R1,-0.00017347931861877441,0.4368746131658554,False,0.010628432035446167,0.014578968286514282,0.01446869969367981,-0.00017347931861877441
