model,seed,t_mAP,t_mAP50,t_mAP25,overall_mAP,stage1_mAP,stage2_mAP,validation_sequence_count,checkpoint_sha256,portable_config_sha256,elapsed_seconds
sonata,45,0.24160674214363098,0.42130863666534424,0.5741925835609436,0.31546491384506226,0.3788731098175049,0.37038740515708923,154,3d6432711dd9639d9e9203134d846d9a1a29f09b7fb3fbb85375e2127945a199,b473b0249a21eee36e10a399668827956b31a0424c9e4e238dbb63c4adcda45e,272.9377867151052
sonata,46,0.24205704033374786,0.41813141107559204,0.562261164188385,0.32393673062324524,0.37985745072364807,0.38793352246284485,154,3d6432711dd9639d9e9203134d846d9a1a29f09b7fb3fbb85375e2127945a199,b473b0249a21eee36e10a399668827956b31a0424c9e4e238dbb63c4adcda45e,268.61057203868404
sonata,47,0.237391859292984,0.4182227551937103,0.5612418055534363,0.3072062134742737,0.37123337388038635,0.3655904233455658,154,3d6432711dd9639d9e9203134d846d9a1a29f09b7fb3fbb85375e2127945a199,b473b0249a21eee36e10a399668827956b31a0424c9e4e238dbb63c4adcda45e,274.445812293794
concerto,45,0.29230308532714844,0.4707374572753906,0.6036183834075928,0.3762231171131134,0.425308495759964,0.4372425675392151,154,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,4d8598c2fb5bbb872dbfc902af825de426aab4ecff15183b92072dee0dd4bac1,262.39589646691456
concerto,46,0.27339860796928406,0.44220438599586487,0.5772802829742432,0.3646540641784668,0.4164210259914398,0.4282348155975342,154,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,4d8598c2fb5bbb872dbfc902af825de426aab4ecff15183b92072dee0dd4bac1,277.78410413023084
concerto,47,0.2830008566379547,0.45313337445259094,0.5914425849914551,0.36850374937057495,0.41924235224723816,0.4263458251953125,154,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,4d8598c2fb5bbb872dbfc902af825de426aab4ecff15183b92072dee0dd4bac1,258.91250017797574
