model,evidence,seed_count,t_mAP_mean,t_mAP_std,t_mAP50_mean,t_mAP50_std,t_mAP25_mean,t_mAP25_std,overall_mAP_mean,overall_mAP_std,stage1_mAP_mean,stage1_mAP_std,stage2_mAP_mean,stage2_mAP_std
rescene4d_s_paper_reported,external_paper_reported,,0.332,,,,,,0.409,,,,,
our_sonata_reimplementation,measured_same_local_harness,3,0.24035188059012094,0.002573322108604719,0.4192209343115489,0.0018085800439877541,0.5658985177675883,0.00720093178311259,0.31553595264752704,0.008365484797762742,0.37665464480717975,0.004720684865689337,0.37463711698849994,0.011762166362055217
our_concerto_reimplementation,measured_same_local_harness,3,0.2829008499781291,0.00945263545486172,0.4553584059079488,0.014396079775189611,0.5907804171244303,0.01318153000688436,0.3697936435540517,0.005891401930320932,0.4203239579995473,0.004541385578672986,0.43060773611068726,0.005823041494670711
rescene4d_c_paper_reported,external_paper_reported,,0.348,,,,,,0.433,,,,,
