variant,checkpoint_global_step,checkpoint_sha256,reducer,t_mAP_T2,t_mAP_T3,t_mAP_T4,t_mAP_T5,minimum_t_mAP,mean_t_mAP,selected_update
FH-adapt,0,820fe79b8f5ffe41f425c794d7524fbd86d3b7a70f23ad571cbfa2da6e50672b,official,0.4922778308391571,0.44856998324394226,0.39322662353515625,0.37392139434814453,0.37392139434814453,0.42699895799160004,False
FH-adapt,100,ddfda362673ce081dab8d7f790ffa223c336921ad6f85220aa3e6a78bca1a70c,official,0.5087986588478088,0.4521055221557617,0.40089744329452515,0.3849119544029236,0.3849119544029236,0.4366783946752548,True
FH-adapt,200,4403727d373c5f64da467ef1f1088e384c5707d28a0ef91496159427258daaa6,official,0.5029062628746033,0.46314895153045654,0.40769532322883606,0.37374791502952576,0.37374791502952576,0.4368746131658554,False
FH-adapt,300,990bcdc32b02b9f676a98a2b0db6bfc4001dcb42796332fa0f34aaf79d36ce8d,official,0.4997980296611786,0.4606240689754486,0.41483592987060547,0.3752162754535675,0.3752162754535675,0.43761857599020004,False
FH-adapt,400,99a92682eec0d0e8ebc8c108b02709691618592d12041c6a1c496df6a5aada1b,official,0.5013970732688904,0.4659523367881775,0.4078739583492279,0.37595686316490173,0.37595686316490173,0.4377950578927994,False
